sector,S.N.,Symbol_link,Symbol_text,symbol,Symbol,Company_link,Company_text,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Market Capitalization (Rs),Date of Operation,LTP,As Of:
Commercial Bank,1,https://www.sharesansar.com/company/nmb,NMB,nmb,NMB,https://www.sharesansar.com/company/nmb,NMB Bank Limited,NMB Bank Limited,"183,667,060.00",100.00,"18,366,706,000.00","43,088,292,276.00",2015-10-18,234.60,2025-11-19
Commercial Bank,2,https://www.sharesansar.com/company/sbl,SBL,sbl,SBL,https://www.sharesansar.com/company/sbl,Siddhartha Bank Limited,Siddhartha Bank Limited,"147,944,792.00",100.00,"14,794,479,200.00","47,741,784,378.40",2002-12-24,322.70,2025-11-19
Commercial Bank,3,https://www.sharesansar.com/company/kbl,KBL,kbl,KBL,https://www.sharesansar.com/company/kbl,Kumari Bank Limited,Kumari Bank Limited,"262,258,613.00",100.00,"26,225,861,300.00","46,550,903,807.50",2001-04-03,177.50,2025-11-19
Commercial Bank,4,https://www.sharesansar.com/company/mbl,MBL,mbl,MBL,https://www.sharesansar.com/company/mbl,Machhapuchchhre Bank Limited,Machhapuchchhre Bank Limited,"120,862,116.00",100.00,"12,086,211,600.00","25,562,337,534.00",2012-07-09,211.50,2025-11-19
Commercial Bank,5,https://www.sharesansar.com/company/ebl,EBL,ebl,EBL,https://www.sharesansar.com/company/ebl,Everest Bank Limited,Everest Bank Limited,"137,213,760.00",100.00,"13,721,376,000.00","87,542,378,880.00",1994-10-18,638.00,2025-11-19
Commercial Bank,6,https://www.sharesansar.com/company/sbi,SBI,sbi,SBI,https://www.sharesansar.com/company/sbi,Nepal SBI Bank Limited,Nepal SBI Bank Limited,"108,991,581.00",100.00,"10,899,158,100.00","43,018,977,020.70",1993-07-07,394.70,2025-11-19
Commercial Bank,7,https://www.sharesansar.com/company/hbl,HBL,hbl,HBL,https://www.sharesansar.com/company/hbl,Himalayan Bank Limited,Himalayan Bank Limited,"216,566,158.00",100.00,"21,656,615,800.00","40,411,245,082.80",1993-01-18,186.60,2025-11-19
Commercial Bank,8,https://www.sharesansar.com/company/scb,SCB,scb,SCB,https://www.sharesansar.com/company/scb,Standard Chartered Bank Nepal Limited,Standard Chartered Bank Nepal Limited,"100,423,684.00",100.00,"10,042,368,400.00","63,959,844,339.60",1987-02-28,636.90,2025-11-19
Commercial Bank,9,https://www.sharesansar.com/company/nabil,NABIL,nabil,NABIL,https://www.sharesansar.com/company/nabil,Nabil Bank Limited,Nabil Bank Limited,"270,569,984.00",100.00,"27,056,998,400.00","137,178,981,888.00",1984-07-12,507.00,2025-11-19
Commercial Bank,10,https://www.sharesansar.com/company/czbil,CZBIL,czbil,CZBIL,https://www.sharesansar.com/company/czbil,Citizens Bank International Limited,Citizens Bank International Limited,"155,074,638.00",100.00,"15,507,463,800.00","29,309,106,582.00",2007-04-20,189.00,2025-11-19
Commercial Bank,11,https://www.sharesansar.com/company/pcbl,PCBL,pcbl,PCBL,https://www.sharesansar.com/company/pcbl,Prime Commercial Bank Limited,Prime Commercial Bank Limited,"194,025,759.00",100.00,"19,402,575,900.00","48,855,686,116.20",2007-09-24,251.80,2025-11-19
Commercial Bank,12,https://www.sharesansar.com/company/adbl,ADBL,adbl,ADBL,https://www.sharesansar.com/company/adbl,Agricultural Development Bank Limited,Agricultural Development Bank Limited,"138,552,244.00",100.00,"13,855,224,400.00","43,339,141,923.20",1968-01-21,312.80,2025-11-19
Commercial Bank,13,https://www.sharesansar.com/company/sanima,SANIMA,sanima,SANIMA,https://www.sharesansar.com/company/sanima,Sanima Bank Limited,Sanima Bank Limited,"135,815,256.00",100.00,"13,581,525,600.00","41,016,207,312.00",2012-02-15,302.00,2025-11-19
Commercial Bank,14,https://www.sharesansar.com/company/nbl,NBL,nbl,NBL,https://www.sharesansar.com/company/nbl,Nepal Bank Limited,Nepal Bank Limited,"146,940,230.00",100.00,"14,694,023,000.00","34,824,834,510.00",1937-11-15,237.00,2025-11-19
Commercial Bank,15,https://www.sharesansar.com/company/gbime,GBIME,gbime,GBIME,https://www.sharesansar.com/company/gbime,Global IME Bank Limited,Global IME Bank Limited,"381,158,528.00",100.00,"38,115,852,800.00","85,341,394,419.20",2014-04-09,223.90,2025-11-19
Commercial Bank,16,https://www.sharesansar.com/company/nica,NICA,nica,NICA,https://www.sharesansar.com/company/nica,NIC Asia Bank Limited,NIC Asia Bank Limited,"149,175,670.00",100.00,"14,917,567,000.00","45,782,013,123.00",2013-06-30,306.90,2025-11-19
Commercial Bank,17,https://www.sharesansar.com/company/prvu,PRVU,prvu,PRVU,https://www.sharesansar.com/company/prvu,Prabhu Bank Limited,Prabhu Bank Limited,"235,424,899.00",100.00,"23,542,489,900.00","43,647,776,274.60",2014-09-15,185.40,2025-11-19
Commercial Bank,18,https://www.sharesansar.com/company/nimb,NIMB,nimb,NIMB,https://www.sharesansar.com/company/nimb,Nepal Investment Mega Bank Limited,Nepal Investment Mega Bank Limited,"341,285,949.00",100.00,"34,128,594,900.00","64,844,330,310.00",,190.00,2025-11-19
