symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,1,2025-11-19,982.00,"1,001.00",975.70,978.50,-0.66,792.00,"777,057.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,2,2025-11-18,972.30,"1,001.00",972.30,985.00,-0.40,"1,197.00","1,185,073.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,3,2025-11-17,971.00,989.00,971.00,989.00,1.02,"1,572.00","1,542,175.90"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,4,2025-11-16,975.30,990.00,975.30,979.00,-1.51,"1,853.00","1,815,325.80"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,5,2025-11-13,979.20,995.00,979.20,994.00,-0.10,618.00,"612,659.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,6,2025-11-12,976.20,"1,019.80",976.20,995.00,-0.01,739.00,"736,476.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,7,2025-11-11,"1,005.00","1,005.00",988.80,995.10,-0.99,319.00,"318,061.20"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,8,2025-11-10,990.50,"1,010.00",990.40,"1,005.00",0.60,690.00,"689,450.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,9,2025-11-09,"1,020.00","1,020.00",999.00,999.00,-2.06,906.00,"906,429.50"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,10,2025-11-06,"1,030.00","1,030.00",996.00,"1,020.00",0.89,904.00,"910,275.70"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,11,2025-11-05,"1,026.00","1,026.00",998.30,"1,011.00",0.40,"1,985.00","1,989,566.20"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,12,2025-11-04,"1,039.00","1,040.00","1,007.00","1,007.00",-1.27,801.00,"810,648.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,13,2025-11-03,"1,055.00","1,055.00","1,015.00","1,020.00",-1.45,923.00,"948,720.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,14,2025-11-02,"1,009.00","1,049.50","1,009.00","1,035.00",2.68,"2,431.00","2,505,823.90"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,15,2025-10-30,994.00,"1,010.00",980.00,"1,008.00",1.41,828.00,"829,555.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,16,2025-10-29,990.00,"1,020.00",980.00,994.00,-0.50,"3,024.00","3,029,765.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,17,2025-10-28,965.00,999.00,951.00,999.00,2.46,"1,579.00","1,549,629.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,18,2025-10-26,960.00,979.00,960.00,975.00,0.52,944.00,"912,258.00"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,19,2025-10-19,970.00,970.10,965.00,970.00,0.00,"2,231.00","2,162,247.90"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,20,2025-10-16,970.00,986.00,968.10,970.00,-1.42,912.00,"885,901.20"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,21,2025-10-15,998.00,998.00,978.10,984.00,0.40,754.00,"739,281.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,22,2025-10-14,"1,000.00","1,000.00",980.00,980.10,-1.99,892.00,"879,224.60"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,23,2025-10-13,982.00,"1,000.00",970.00,"1,000.00",1.83,"2,112.00","2,057,637.50"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,24,2025-10-12,994.00,"1,010.00",977.30,982.00,-2.80,"2,334.00","2,308,257.30"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,25,2025-10-09,"1,028.00","1,059.00","1,010.00","1,010.30",0.23,"2,574.00","2,625,380.10"
aclbsl,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/aclbsl,26,2025-10-08,"1,008.10","1,010.00",988.00,"1,008.00",-0.01,"2,668.00","2,664,027.50"
