symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,1,2025-11-19,315.00,315.00,312.00,312.80,-0.54,"22,061.00","6,893,003.70"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,2,2025-11-18,314.00,316.90,311.60,314.50,0.26,"24,019.00","7,533,338.60"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,3,2025-11-17,318.20,318.20,310.10,313.70,0.54,"24,424.00","7,619,221.40"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,4,2025-11-16,313.00,314.50,310.10,312.00,0.00,"22,740.00","7,086,510.60"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,5,2025-11-13,313.00,313.90,311.50,312.00,-0.32,"39,923.00","12,469,171.30"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,6,2025-11-12,313.00,316.90,312.00,313.00,-0.25,"19,975.00","6,242,919.60"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,7,2025-11-11,312.00,314.00,312.00,313.80,0.38,"29,052.00","9,089,277.50"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,8,2025-11-10,315.00,315.00,312.00,312.60,-0.76,"60,370.00","18,863,894.30"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,9,2025-11-09,318.00,318.80,312.00,315.00,-0.94,"121,484.00","38,117,064.40"
adbl,Agricultural Development Bank Limited,Commercial Bank,https://www.sharesansar.com/company/adbl,10,2025-11-06,317.00,320.80,316.00,318.00,0.95,"223,177.00","71,060,057.80"
