symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,1,2025-11-19,"1,120.00","1,120.00","1,100.00","1,100.00",-2.65,200.00,"222,000.00"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,2,2025-11-18,"1,115.00","1,115.00","1,115.00","1,130.00",1.39,281.00,"313,431.70"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,3,2025-11-17,"1,092.70","1,092.70","1,092.70","1,114.50",2.00,5.00,"5,572.50"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,4,2025-11-16,"1,092.70","1,092.70","1,092.70","1,092.70",-2.00,25.00,"27,317.50"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,5,2025-11-12,"1,115.00","1,115.00","1,115.00","1,115.00",0.00,100.00,"111,500.00"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,6,2025-11-11,"1,115.00","1,115.00","1,115.00","1,115.00",0.45,25.00,"27,875.00"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,7,2025-11-10,"1,110.00","1,110.00","1,110.00","1,110.00",-0.03,100.00,"111,000.00"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,8,2025-11-09,"1,132.90","1,132.90","1,132.90","1,110.30",-1.99,1.00,"1,110.30"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,9,2025-11-06,"1,111.00","1,111.00","1,111.00","1,132.90",1.97,1.00,"1,132.90"
adbld83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/adbld83,10,2025-11-03,"1,111.00","1,111.00","1,111.00","1,111.00",1.00,100.00,"111,100.00"
