symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,1,2025-11-19,619.00,619.00,593.50,603.00,-0.74,"3,264.00","1,947,103.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,2,2025-11-18,588.00,646.00,588.00,607.50,1.25,"9,378.00","5,617,862.70"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,3,2025-11-17,596.30,608.20,586.00,600.00,-1.36,"4,867.00","2,922,380.10"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,4,2025-11-16,597.00,620.00,586.00,608.30,-0.11,"2,616.00","1,568,930.10"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,5,2025-11-13,597.00,612.00,586.10,609.00,0.08,"13,989.00","8,422,621.70"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,6,2025-11-12,602.00,612.50,595.00,608.50,-0.85,"2,622.00","1,578,541.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,7,2025-11-11,616.00,616.00,604.00,613.70,-2.32,"2,720.00","1,662,708.40"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,8,2025-11-10,616.00,628.30,590.00,628.30,3.53,"14,454.00","8,884,760.20"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,9,2025-11-09,619.00,619.00,590.10,606.90,-0.64,"6,854.00","4,101,846.30"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,10,2025-11-06,610.00,612.00,598.00,610.80,1.63,"4,452.00","2,690,910.40"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,11,2025-11-05,604.00,628.00,592.60,601.00,-2.44,"5,199.00","3,145,642.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,12,2025-11-04,593.00,637.00,593.00,616.00,1.82,"4,339.00","2,632,444.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,13,2025-11-03,611.00,623.20,599.00,605.00,-2.89,"10,071.00","6,095,282.60"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,14,2025-11-02,616.00,630.00,604.00,623.00,-0.80,"6,494.00","4,025,472.20"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,15,2025-10-30,615.00,650.00,603.00,628.00,0.16,"5,197.00","3,223,102.80"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,16,2025-10-29,608.00,644.00,608.00,627.00,1.13,"5,414.00","3,410,493.30"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,17,2025-10-28,617.00,650.00,604.00,620.00,-1.40,"13,622.00","8,510,331.30"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,18,2025-10-26,650.00,650.00,610.00,628.80,-5.16,"4,984.00","3,064,576.80"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,19,2025-10-19,603.00,663.00,590.00,663.00,7.80,"5,705.00","3,473,244.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,20,2025-10-16,603.00,635.00,591.00,615.00,0.00,"6,431.00","3,879,909.60"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,21,2025-10-15,617.00,641.00,606.00,615.00,-2.16,"4,487.00","2,747,125.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,22,2025-10-14,657.00,657.00,609.00,628.60,-6.18,"5,532.00","3,429,852.00"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,23,2025-10-13,610.00,670.00,599.00,670.00,7.72,"9,202.00","5,721,090.40"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,24,2025-10-12,654.00,654.00,605.00,622.00,-6.75,"5,356.00","3,315,190.60"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,25,2025-10-09,620.00,669.00,607.60,667.00,5.54,"5,383.00","3,379,129.20"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,26,2025-10-08,621.00,641.00,600.00,632.00,-0.13,"11,085.00","6,777,585.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,27,2025-10-07,648.80,648.80,617.00,632.80,-4.41,"7,932.00","4,939,207.80"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,28,2025-09-28,646.00,670.00,633.00,662.00,0.62,"8,798.00","5,676,552.10"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,29,2025-09-25,637.00,699.00,627.10,657.90,1.22,"10,914.00","7,120,063.80"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,30,2025-09-24,664.00,664.00,627.00,650.00,-3.92,"9,759.00","6,285,435.30"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,31,2025-09-23,606.00,676.50,606.00,676.50,9.99,"9,255.00","5,774,382.30"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,32,2025-09-21,605.00,628.00,586.00,615.08,-0.23,"10,903.00","6,607,382.00"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,33,2025-09-18,617.00,629.00,616.50,616.50,1.89,90.00,"55,615.00"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,34,2025-09-08,601.10,613.00,577.40,605.05,-1.35,"9,453.00","5,696,419.50"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,35,2025-09-07,610.50,635.00,601.00,613.31,-1.54,"3,092.00","1,888,281.60"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,36,2025-09-04,618.00,627.00,612.00,622.89,-1.10,"7,829.00","4,849,386.10"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,37,2025-09-03,624.20,648.90,615.00,629.79,-1.11,"4,873.00","3,063,507.00"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,38,2025-09-02,624.90,637.00,612.60,636.84,-0.11,"2,117.00","1,329,404.90"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,39,2025-09-01,634.00,658.00,626.10,637.56,0.60,"8,335.00","5,290,143.80"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,40,2025-08-31,643.00,655.80,630.20,633.74,-3.32,"2,411.00","1,532,617.20"
ahl,Asian Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ahl,41,2025-08-28,626.50,677.00,626.50,655.52,2.54,"9,444.00","6,073,765.00"
