symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,1,2025-11-19,281.00,283.00,277.40,281.00,0.00,"61,261.00","17,104,208.60"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,2,2025-11-18,281.70,283.00,279.30,281.00,0.93,"52,839.00","14,878,102.70"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,3,2025-11-17,275.00,281.00,275.00,278.40,-0.07,"89,428.00","24,931,483.50"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,4,2025-11-16,277.00,280.00,276.20,278.60,0.22,"44,579.00","12,362,166.60"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,5,2025-11-13,278.00,282.00,277.00,278.00,0.18,"69,455.00","19,326,218.00"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,6,2025-11-12,280.00,282.50,277.20,277.50,-0.89,"62,592.00","17,415,724.50"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,7,2025-11-11,282.00,282.00,278.00,280.00,0.36,"68,507.00","19,172,428.90"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,8,2025-11-10,280.00,283.80,278.00,279.00,-1.06,"94,024.00","26,324,042.80"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,9,2025-11-09,282.50,287.00,280.00,282.00,-0.88,"109,890.00","30,994,852.00"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,10,2025-11-06,283.00,290.50,283.00,284.50,-0.84,"83,996.00","23,940,060.00"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,11,2025-11-05,286.00,287.00,283.20,286.90,0.14,"82,543.00","23,517,693.40"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,12,2025-11-04,285.30,291.40,283.30,286.50,-1.14,"200,812.00","57,509,692.60"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,13,2025-11-03,290.00,295.00,287.00,289.80,-1.40,"171,557.00","49,695,824.20"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,14,2025-11-02,290.00,295.50,287.00,293.90,2.44,"300,058.00","87,576,545.80"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,15,2025-10-30,281.10,288.00,280.00,286.90,2.10,"216,839.00","61,654,867.30"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,16,2025-10-29,285.00,287.00,279.00,281.00,0.14,"256,816.00","72,750,765.60"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,17,2025-10-28,274.00,283.00,274.00,280.60,3.54,"94,325.00","26,338,586.60"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,18,2025-10-26,269.00,273.00,268.00,271.00,-0.18,"60,504.00","16,368,494.70"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,19,2025-10-19,274.00,286.00,269.90,271.50,0.48,"88,132.00","23,959,490.50"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,20,2025-10-16,271.70,278.50,270.00,270.20,-1.75,"115,412.00","31,296,099.00"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,21,2025-10-15,280.00,281.50,273.40,275.00,-1.72,"113,658.00","31,256,976.90"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,22,2025-10-14,283.90,283.90,276.30,279.80,-0.43,"65,045.00","18,148,964.20"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,23,2025-10-13,279.00,284.00,274.00,281.00,1.66,"200,931.00","55,884,528.80"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,24,2025-10-12,281.30,285.00,276.20,276.40,-3.69,"226,547.00","63,139,063.70"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,25,2025-10-09,287.20,297.00,285.00,287.00,1.92,"238,019.00","68,948,454.10"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,26,2025-10-08,290.00,290.00,278.70,281.60,-2.22,"241,869.00","68,306,579.90"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,27,2025-10-07,295.60,297.90,285.10,288.00,-2.57,"163,794.00","47,281,877.10"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,28,2025-09-28,294.00,295.70,291.20,295.60,1.23,"112,326.00","33,037,676.40"
ahpc,Arun Valley Hydropower Development Company Limited,Hydropower,https://www.sharesansar.com/company/ahpc,29,2025-09-25,293.90,293.90,288.30,292.00,0.34,"99,815.00","29,081,862.90"
