symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,1,2015-02-12,205.00,205.00,205.00,205.00,0.00,"219,761.00","45,051,004.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,2,2014-07-17,110.00,110.00,110.00,110.00,0.00,"27,552.00","3,030,720.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,3,2014-07-16,110.00,110.00,110.00,110.00,0.00,"9,546.00","1,050,060.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,4,2014-06-19,110.00,110.00,110.00,110.00,0.00,"77,696.00","8,546,560.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,5,2014-06-11,110.00,110.00,110.00,110.00,0.00,"207,337.00","22,807,070.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,6,2014-05-22,110.00,110.00,110.00,110.00,0.00,"32,946.00","3,624,060.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,7,2014-05-07,110.00,110.00,110.00,110.00,0.00,"43,421.00","4,776,310.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,8,2014-04-17,110.00,110.00,110.00,110.00,0.00,100.00,"11,000.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,9,2014-04-03,110.00,110.00,110.00,110.00,0.00,"73,938.00","8,133,180.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,10,2014-03-20,100.00,110.00,102.00,110.00,0.00,"7,684.00","841,440.00"
aicpo,Alliance Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/aicpo,11,2014-01-08,100.00,100.00,100.00,100.00,0.00,"14,944.00","1,494,400.00"
