symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,1,2025-11-19,191.00,191.00,187.00,187.10,-0.53,"17,456.00","3,290,810.60"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,2,2025-11-18,185.00,190.00,185.00,188.10,1.13,"30,468.00","5,750,828.60"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,3,2025-11-17,187.90,187.90,184.20,186.00,0.27,"20,152.00","3,747,904.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,4,2025-11-16,187.00,189.00,184.30,185.50,-0.70,"29,570.00","5,486,881.60"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,5,2025-11-13,188.00,188.00,185.00,186.80,0.43,"30,378.00","5,651,431.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,6,2025-11-12,190.00,190.00,185.50,186.00,-0.16,"21,193.00","3,955,886.60"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,7,2025-11-11,188.00,188.90,186.10,186.30,0.05,"33,315.00","6,236,541.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,8,2025-11-10,190.70,190.70,185.20,186.20,-0.43,"27,762.00","5,187,721.70"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,9,2025-11-09,188.00,192.00,187.00,187.00,-1.79,"37,217.00","7,033,841.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,10,2025-11-06,195.80,195.80,190.00,190.40,-0.83,"29,173.00","5,572,991.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,11,2025-11-05,190.00,193.40,186.40,192.00,0.95,"38,207.00","7,263,056.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,12,2025-11-04,196.40,197.90,190.20,190.20,-2.56,"41,445.00","7,963,914.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,13,2025-11-03,199.00,200.90,195.00,195.20,-1.76,"36,109.00","7,127,661.50"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,14,2025-11-02,196.90,199.70,192.90,198.70,2.42,"57,710.00","11,413,966.30"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,15,2025-10-30,188.10,196.80,187.20,194.00,1.57,"76,960.00","14,905,176.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,16,2025-10-29,193.80,196.40,190.50,191.00,-1.44,"53,972.00","10,419,132.50"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,17,2025-10-28,185.00,193.80,183.00,193.80,5.84,"50,987.00","9,739,666.40"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,18,2025-10-26,181.10,185.70,179.00,183.10,-0.49,"22,190.00","4,070,023.70"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,19,2025-10-19,184.00,187.90,184.00,184.00,0.33,"25,767.00","4,771,159.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,20,2025-10-16,186.90,186.90,183.00,183.40,-0.81,"48,520.00","8,947,280.50"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,21,2025-10-15,187.00,188.90,184.00,184.90,-1.23,"40,467.00","7,501,460.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,22,2025-10-14,188.00,193.00,187.00,187.20,-1.47,"30,342.00","5,721,131.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,23,2025-10-13,185.00,194.00,185.00,190.00,1.60,"44,632.00","8,426,093.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,24,2025-10-12,190.00,191.50,185.00,187.00,-2.86,"58,952.00","11,040,437.30"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,25,2025-10-09,192.70,203.00,191.10,192.50,1.85,"66,829.00","13,061,004.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,26,2025-10-08,194.00,194.00,187.50,189.00,-2.02,"77,625.00","14,687,330.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,27,2025-10-07,195.00,198.00,191.10,192.90,-1.83,"48,204.00","9,293,153.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,28,2025-09-28,195.10,197.00,194.00,196.50,0.77,"15,210.00","2,982,434.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,29,2025-09-25,196.00,196.90,193.00,195.00,-0.15,"52,609.00","10,267,081.70"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,30,2025-09-24,201.00,201.00,194.00,195.30,-2.30,"51,286.00","10,080,098.30"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,31,2025-09-23,192.00,200.00,192.00,199.90,5.04,"111,578.00","22,082,117.30"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,32,2025-09-21,173.00,190.30,172.90,190.30,10.00,"159,569.00","29,590,206.70"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,33,2025-09-18,188.00,188.00,173.00,173.00,-9.58,"12,385.00","2,232,859.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,34,2025-09-08,195.20,197.00,191.10,191.33,-2.40,"107,453.00","20,721,941.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,35,2025-09-07,193.20,200.10,193.20,196.04,-0.54,"36,273.00","7,141,951.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,36,2025-09-04,200.00,200.00,196.00,197.11,-0.95,"96,919.00","19,088,123.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,37,2025-09-03,200.20,202.00,198.50,199.01,-0.70,"70,689.00","14,137,502.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,38,2025-09-02,204.90,204.90,200.10,200.42,-1.23,"47,363.00","9,532,992.90"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,39,2025-09-01,200.00,203.40,200.00,202.91,0.72,"36,184.00","7,317,705.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,40,2025-08-31,203.10,205.50,201.00,201.46,-1.28,"80,087.00","16,224,314.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,41,2025-08-28,210.00,210.00,203.50,204.08,-1.81,"80,486.00","16,495,473.10"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,42,2025-08-27,204.00,208.00,202.00,207.85,2.04,"66,153.00","13,614,772.40"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,43,2025-08-26,201.00,205.90,201.00,203.69,-0.16,"40,922.00","8,339,266.20"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,44,2025-08-25,200.40,207.00,200.40,204.01,0.11,"61,146.00","12,446,230.30"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,45,2025-08-24,203.50,207.00,203.50,203.78,-0.65,"53,345.00","10,894,647.40"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,46,2025-08-21,201.10,208.00,201.10,205.11,-0.01,"65,229.00","13,391,284.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,47,2025-08-20,205.00,207.00,205.00,205.13,-0.60,"85,931.00","17,663,854.00"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,48,2025-08-19,208.00,208.10,206.00,206.37,0.07,"64,374.00","13,331,813.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,49,2025-08-18,205.00,207.90,205.00,206.22,-0.01,"99,015.00","20,444,915.70"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,50,2025-08-17,206.30,208.70,206.00,206.25,-0.46,"75,642.00","15,644,523.90"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,51,2025-08-14,209.70,209.70,206.00,207.20,0.29,"98,372.00","20,355,253.80"
akjcl,Ankhukhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/akjcl,52,2025-08-13,208.90,209.00,206.00,206.60,-0.55,"83,007.00","17,222,753.50"
