symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,1,2025-11-19,"1,018.30","1,040.00","1,018.00","1,038.90",-0.01,"33,441.00","34,406,731.20"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,2,2025-11-18,992.70,"1,039.00",992.70,"1,039.00",2.58,"32,770.00","33,385,073.30"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,3,2025-11-17,955.50,"1,020.00",955.50,"1,012.90",3.89,"30,700.00","30,616,685.20"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,4,2025-11-16,973.20,985.00,970.00,975.00,-1.81,"12,447.00","12,151,981.10"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,5,2025-11-13,966.30,993.00,966.30,993.00,0.71,"11,284.00","11,089,809.40"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,6,2025-11-12,965.30,990.00,965.30,986.00,0.11,"9,419.00","9,238,219.50"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,7,2025-11-11,956.50,995.00,956.50,984.90,0.91,"10,439.00","10,193,653.40"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,8,2025-11-10,974.00,980.90,963.00,976.00,0.21,"10,955.00","10,609,326.50"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,9,2025-11-09,979.00,979.00,962.00,974.00,1.25,"10,425.00","10,097,617.80"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,10,2025-11-06,962.40,980.70,961.00,962.00,-2.04,"5,255.00","5,075,433.60"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,11,2025-11-05,951.60,"1,027.00",951.60,982.00,1.13,"16,477.00","15,890,878.80"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,12,2025-11-04,970.00,980.00,943.00,971.00,0.10,"19,680.00","18,828,245.00"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,13,2025-11-03,965.60,"1,001.70",960.00,970.00,-1.55,"8,476.00","8,293,144.40"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,14,2025-11-02,993.80,"1,015.90",985.30,985.30,-2.83,"19,690.00","19,716,437.20"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,15,2025-10-30,"1,043.70","1,043.70",984.60,"1,014.00",-4.79,"10,063.00","10,123,201.70"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,16,2025-10-29,969.30,"1,065.00",969.30,"1,065.00",7.68,"38,345.00","37,606,935.70"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,17,2025-10-28,960.00,990.00,945.50,989.00,2.91,"15,392.00","15,020,888.10"
albsl,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/albsl,18,2025-10-26,930.00,961.00,930.00,961.00,2.31,"4,889.00","4,646,790.10"
