symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,1,2025-11-19,"6,074.50","6,139.90","6,074.50","6,139.90",-0.57,41.00,"249,556.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,2,2025-11-18,"6,075.30","6,174.80","6,075.30","6,174.80",1.64,124.00,"755,448.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,3,2025-11-17,"6,249.90","6,249.90","6,075.30","6,075.30",-1.61,35.00,"215,256.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,4,2025-11-16,"6,124.00","6,215.10","6,124.00","6,174.90",-1.18,85.00,"521,799.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,5,2025-11-13,"6,070.00","6,305.00","6,070.00","6,248.90",1.02,517.00,"3,207,113.80"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,6,2025-11-12,"6,250.00","6,250.00","6,131.10","6,185.90",-1.10,168.00,"1,035,439.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,7,2025-11-11,"6,163.30","6,277.00","6,140.00","6,254.90",-0.54,66.00,"407,418.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,8,2025-11-10,"6,145.00","6,289.00","6,100.20","6,289.00",2.43,"1,004.00","6,236,243.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,9,2025-11-09,"6,050.10","6,140.00","6,032.00","6,140.00",-0.07,778.00,"4,711,606.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,10,2025-11-06,"6,050.00","6,144.00","6,050.00","6,144.00",-0.32,380.00,"2,313,705.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,11,2025-11-05,"6,055.10","6,176.00","6,055.10","6,163.90",-0.20,235.00,"1,434,803.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,12,2025-11-04,"6,063.20","6,176.00","6,063.20","6,176.00",-0.18,337.00,"2,064,785.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,13,2025-11-03,"6,164.20","6,186.90","6,100.00","6,186.90",-1.64,577.00,"3,530,614.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,14,2025-11-02,"6,316.10","6,316.10","6,170.00","6,290.00",-2.40,465.00,"2,881,053.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,15,2025-10-30,"6,076.00","6,445.00","6,025.10","6,445.00",3.95,"1,180.00","7,248,128.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,16,2025-10-29,"6,129.90","6,239.00","6,030.00","6,200.00",-0.88,383.00,"2,353,258.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,17,2025-10-28,"6,272.20","6,273.00","6,146.80","6,255.00",-2.27,544.00,"3,358,515.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,18,2025-10-26,"6,800.00","6,800.00","6,039.00","6,400.20",-4.62,132.00,"848,532.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,19,2025-10-19,"6,210.00","6,710.00","6,002.10","6,710.00",10.00,804.00,"4,997,546.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,20,2025-10-16,"6,126.10","6,248.60","6,003.60","6,100.10",-2.40,"1,396.00","8,513,720.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,21,2025-10-15,"6,151.10","6,395.00","6,143.70","6,250.00",-0.30,503.00,"3,114,189.80"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,22,2025-10-14,"6,131.10","6,378.00","6,122.20","6,268.90",0.35,676.00,"4,202,729.80"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,23,2025-10-13,"6,105.40","6,253.00","6,101.00","6,247.00",0.27,906.00,"5,598,423.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,24,2025-10-12,"6,230.90","6,240.00","6,000.00","6,230.00",-2.01,"1,993.00","12,150,609.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,25,2025-10-09,"6,448.40","6,448.40","6,100.00","6,358.00",-3.37,949.00,"5,857,124.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,26,2025-10-08,"6,081.90","6,580.00","6,081.90","6,580.00",6.03,609.00,"3,742,379.80"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,27,2025-10-07,"6,100.00","6,227.10","6,100.00","6,206.00",-0.29,313.00,"1,924,234.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,28,2025-09-28,"6,122.00","6,224.00","6,122.00","6,224.00",-0.32,204.00,"1,249,870.90"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,29,2025-09-25,"6,162.30","6,284.00","6,080.10","6,244.00",-0.70,939.00,"5,784,182.10"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,30,2025-09-24,"6,030.00","6,288.00","6,030.00","6,288.00",2.33,527.00,"3,220,878.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,31,2025-09-23,"6,000.00","6,263.00","6,000.00","6,145.00",0.71,395.00,"2,395,599.20"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,32,2025-09-21,"6,105.60","6,300.00","5,900.00","6,101.66",-2.06,"1,770.00","10,568,735.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,33,2025-09-08,"5,960.00","6,299.00","5,960.00","6,230.15",2.47,"1,163.00","7,069,763.50"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,34,2025-09-07,"5,915.10","6,176.00","5,913.10","6,080.18",0.79,797.00,"4,803,750.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,35,2025-09-04,"5,800.00","6,199.90","5,800.00","6,032.24",3.09,"8,031.00","46,687,556.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,36,2025-09-03,"5,701.10","5,864.90","5,700.00","5,851.61",0.89,"3,501.00","20,226,162.40"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,37,2025-09-02,"5,719.10","5,832.90","5,719.00","5,800.00",-0.61,386.00,"2,237,588.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,38,2025-09-01,"5,809.80","5,840.00","5,775.10","5,835.33",0.44,435.00,"2,524,830.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,39,2025-08-31,"5,750.00","5,835.00","5,750.00","5,809.80",-0.93,184.00,"1,063,609.50"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,40,2025-08-28,"5,666.20","5,890.00","5,666.20","5,864.55",1.51,819.00,"4,689,747.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,41,2025-08-27,"5,750.00","5,800.00","5,735.10","5,777.51",-1.08,284.00,"1,630,335.30"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,42,2025-08-26,"5,732.10","5,864.90","5,619.00","5,840.55",-0.09,"1,324.00","7,488,603.00"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,43,2025-08-25,"5,660.00","5,965.00","5,660.00","5,845.54",1.30,772.00,"4,433,604.90"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,44,2025-08-24,"5,751.10","5,831.90","5,750.00","5,770.52",-1.08,289.00,"1,663,112.70"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,45,2025-08-21,"5,720.00","5,869.90","5,720.00","5,833.57",0.18,265.00,"1,535,701.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,46,2025-08-20,"5,720.00","5,840.00","5,720.00","5,823.12",-0.17,475.00,"2,743,035.50"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,47,2025-08-19,"5,720.50","5,840.00","5,720.50","5,832.96",-0.07,735.00,"4,272,189.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,48,2025-08-18,"5,778.34","5,840.90","5,730.20","5,837.17",1.02,115.00,"665,281.60"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,49,2025-08-17,"5,701.10","5,829.00","5,701.10","5,778.34",-0.50,769.00,"4,423,400.90"
anlb,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/anlb,50,2025-08-14,"5,700.00","5,844.00","5,700.00","5,807.49",0.61,454.00,"2,617,388.00"
