symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,1,2025-11-19,349.00,372.00,341.90,344.90,-0.86,"781,840.00","274,044,421.30"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,2,2025-11-18,337.90,353.50,336.00,347.90,4.10,"450,595.00","156,865,822.30"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,3,2025-11-17,332.00,338.00,327.00,334.20,0.60,"154,456.00","51,566,362.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,4,2025-11-16,340.00,340.00,325.60,332.20,-3.71,"394,977.00","131,872,425.70"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,5,2025-11-13,346.00,351.30,337.00,345.00,1.47,"100,161.00","34,558,569.50"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,6,2025-11-12,330.00,351.90,330.00,340.00,3.34,"107,121.00","36,682,687.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,7,2025-11-11,324.50,332.00,322.00,329.00,0.30,"31,123.00","10,204,973.60"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,8,2025-11-10,325.00,332.50,321.50,328.00,0.00,"28,212.00","9,141,531.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,9,2025-11-09,337.00,337.00,328.00,328.00,-2.67,"25,099.00","8,286,373.50"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,10,2025-11-06,332.00,337.70,330.10,337.00,1.54,"30,919.00","10,318,893.00"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,11,2025-11-05,340.60,340.60,325.00,331.90,-0.63,"39,066.00","12,936,460.40"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,12,2025-11-04,340.90,345.00,330.00,334.00,-1.74,"37,069.00","12,523,829.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,13,2025-11-03,334.00,350.00,334.00,339.90,2.23,"78,040.00","26,654,305.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,14,2025-11-02,324.00,337.00,321.00,332.50,3.26,"75,783.00","25,095,550.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,15,2025-10-30,311.00,326.00,311.00,322.00,1.58,"40,045.00","12,893,687.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,16,2025-10-29,322.00,326.00,315.90,317.00,-0.94,"27,860.00","8,952,066.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,17,2025-10-28,305.00,320.10,305.00,320.00,6.67,"34,491.00","10,831,082.40"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,18,2025-10-26,312.00,312.00,298.00,300.00,-1.96,"17,239.00","5,188,397.20"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,19,2025-10-19,311.00,311.00,306.00,306.00,0.00,"13,950.00","4,290,385.50"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,20,2025-10-16,307.00,320.00,306.00,306.00,-2.24,"19,122.00","5,894,734.30"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,21,2025-10-15,313.50,315.00,310.40,313.00,-2.10,"8,508.00","2,667,673.60"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,22,2025-10-14,321.00,322.00,313.00,319.70,0.57,"17,864.00","5,622,102.50"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,23,2025-10-13,310.00,322.00,310.00,317.90,1.89,"26,363.00","8,359,233.00"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,24,2025-10-12,320.00,328.00,310.00,312.00,-4.00,"39,644.00","12,505,665.30"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,25,2025-10-09,322.30,335.20,320.00,325.00,2.85,"51,162.00","16,834,712.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,26,2025-10-08,333.00,333.00,315.00,316.00,-3.22,"48,533.00","15,456,674.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,27,2025-10-07,331.00,337.00,322.00,326.50,-3.12,"27,398.00","9,044,760.20"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,28,2025-09-28,318.00,342.00,318.00,337.00,4.01,"29,332.00","9,862,957.40"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,29,2025-09-25,321.10,332.00,321.10,324.00,-0.92,"18,462.00","6,027,289.90"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,30,2025-09-24,333.00,335.00,326.50,327.00,-1.80,"23,042.00","7,571,362.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,31,2025-09-23,326.00,336.00,325.00,333.00,3.88,"50,717.00","16,838,330.10"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,32,2025-09-21,292.10,325.00,292.10,320.56,7.57,"79,574.00","25,199,668.50"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,33,2025-09-18,309.40,310.00,298.00,298.00,-5.61,"4,220.00","1,296,440.00"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,34,2025-09-08,328.00,328.90,315.00,315.70,-3.60,"58,850.00","18,781,565.60"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,35,2025-09-07,328.00,331.80,325.60,327.50,-0.96,"28,502.00","9,365,594.60"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,36,2025-09-04,340.00,340.00,328.10,330.66,-1.00,"40,126.00","13,259,006.80"
barun,Barun Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/barun,37,2025-09-03,345.00,345.00,333.00,334.00,-2.70,"36,573.00","12,347,505.20"
