symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,1,2025-11-19,480.00,487.60,465.00,474.00,0.64,"26,426.00","12,401,869.70"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,2,2025-11-18,474.00,494.00,465.00,471.00,1.29,"14,445.00","6,903,416.00"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,3,2025-11-17,470.00,479.00,465.00,465.00,-1.90,"14,642.00","6,918,322.60"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,4,2025-11-16,486.00,490.00,465.00,474.00,-0.71,"20,668.00","9,822,479.90"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,5,2025-11-13,483.30,512.00,475.00,477.40,-3.18,"38,753.00","18,838,941.20"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,6,2025-11-12,478.30,527.30,478.30,493.10,1.05,"69,293.00","34,226,210.40"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,7,2025-11-11,477.30,496.50,477.30,488.00,0.21,"18,958.00","9,153,202.90"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,8,2025-11-10,485.30,499.00,470.00,487.00,-1.44,"40,762.00","19,746,930.50"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,9,2025-11-09,488.00,504.00,482.60,494.10,-0.76,"45,093.00","22,168,348.90"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,10,2025-11-06,479.40,508.90,473.10,497.90,5.91,"116,375.00","57,689,723.00"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,11,2025-11-05,464.00,477.90,446.00,470.10,3.30,"24,142.00","11,222,262.80"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,12,2025-11-04,476.30,482.90,455.00,455.10,-2.55,"16,334.00","7,590,249.50"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,13,2025-11-03,479.80,487.00,466.10,467.00,-0.95,"12,631.00","6,021,897.70"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,14,2025-11-02,445.00,478.90,445.00,471.50,4.55,"23,596.00","11,025,704.40"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,15,2025-10-30,452.00,452.00,435.00,451.00,1.69,"7,662.00","3,414,126.60"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,16,2025-10-29,454.00,459.90,436.50,443.50,-0.72,"6,516.00","2,944,557.70"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,17,2025-10-28,441.50,446.90,441.00,446.70,3.16,"2,189.00","972,760.50"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,18,2025-10-26,430.00,433.00,427.00,433.00,-0.46,"4,149.00","1,776,907.00"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,19,2025-10-19,422.00,445.00,422.00,435.00,1.14,"4,945.00","2,140,467.30"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,20,2025-10-16,443.00,443.00,430.00,430.10,-1.13,"9,685.00","4,179,921.10"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,21,2025-10-15,432.00,439.90,432.00,435.00,-1.11,"4,178.00","1,817,491.80"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,22,2025-10-14,436.00,451.00,436.00,439.90,-0.95,"5,483.00","2,420,523.50"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,23,2025-10-13,438.00,450.00,434.00,444.10,1.35,"6,513.00","2,877,637.30"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,24,2025-10-12,446.00,454.90,437.00,438.20,-3.69,"13,374.00","5,892,814.90"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,25,2025-10-09,452.80,485.00,452.00,455.00,2.48,"13,321.00","6,186,847.70"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,26,2025-10-08,466.00,466.00,439.00,444.00,-3.44,"17,276.00","7,647,739.80"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,27,2025-10-07,471.00,471.00,457.00,459.80,-2.38,"8,435.00","3,899,029.00"
bfc,Best Finance Company Limited,Finance,https://www.sharesansar.com/company/bfc,28,2025-09-28,476.00,476.00,466.50,471.00,0.86,"6,550.00","3,068,675.70"
