symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,1,2025-08-11,273.80,273.80,273.80,273.80,-1.97,"71,160.00","19,483,608.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,2,2025-08-07,285.00,285.00,279.30,279.30,-2.00,"83,700.00","23,615,955.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,3,2025-06-02,324.00,324.00,324.00,324.00,0.00,"185,000.00","6,660,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,4,2025-05-18,324.00,324.00,324.00,324.00,-1.82,"100,000.00","32,400,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,5,2025-05-15,330.00,330.00,330.00,330.00,-1.84,"100,000.00","33,000,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,6,2025-04-24,343.00,343.00,336.20,336.20,-3.94,"29,220.00","9,886,908.80"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,7,2025-03-12,350.00,350.00,350.00,350.00,0.00,"54,000.00","18,900,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,8,2025-03-04,350.00,350.00,350.00,350.00,0.00,"2,000.00","700,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,9,2023-06-27,188.00,188.00,188.00,188.00,2.73,"3,000.00","564,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,10,2023-03-23,183.00,183.00,183.00,183.00,0.00,"63,437.00","11,608,971.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,11,2022-06-01,270.00,270.00,270.00,270.00,0.00,"33,954.00","9,167,580.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,12,2022-04-19,270.00,270.00,270.00,270.00,-1.82,"14,709.00","3,971,430.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,13,2022-02-13,275.00,275.00,275.00,275.00,0.00,"25,000.00","6,875,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,14,2021-10-28,267.00,267.00,267.00,267.00,5.12,"7,500.00","2,002,500.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,15,2021-08-19,254.00,254.00,254.00,254.00,-1.93,"25,000.00","6,350,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,16,2021-08-05,259.00,259.00,259.00,259.00,-1.89,"132,301.00","34,265,959.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,17,2021-08-04,264.00,264.00,264.00,264.00,-1.86,"150,000.00","39,600,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,18,2021-08-03,269.00,269.00,269.00,269.00,0.00,"4,100.00","1,102,900.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,19,2021-02-25,101.00,101.00,100.00,100.00,-0.99,"35,079.00","3,513,525.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,20,2021-01-26,101.00,101.00,101.00,101.00,1.00,500.00,"50,500.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,21,2021-01-20,100.00,100.00,100.00,100.00,0.00,"10,802.00","1,080,200.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,22,2020-10-21,100.00,100.00,100.00,100.00,0.00,200.00,"20,000.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,23,2020-07-20,100.00,100.00,100.00,100.00,0.00,"16,875.00","1,687,500.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,24,2020-07-19,100.00,100.00,100.00,100.00,0.00,"36,896.00","3,689,600.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,25,2019-12-16,100.00,100.00,100.00,100.00,0.00,"136,048.00","13,604,800.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,26,2019-11-11,100.00,100.00,100.00,100.00,-2.91,"7,329.00","732,900.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,27,2018-06-12,103.00,103.00,103.00,103.00,-1.90,"150,631.00","15,514,993.00"
bfcpo,Best Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/bfcpo,28,2017-11-23,103.00,102.00,102.00,102.00,0.00,"11,952.00","1,219,104.00"
