symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,1,2025-11-19,463.00,490.00,463.00,488.00,5.17,"124,282.00","59,643,893.30"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,2,2025-11-18,453.90,465.00,446.00,464.00,4.27,"62,716.00","28,753,713.30"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,3,2025-11-17,432.10,445.00,432.10,445.00,1.14,"26,235.00","11,534,196.50"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,4,2025-11-16,447.00,454.90,432.00,440.00,-1.57,"21,049.00","9,232,122.20"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,5,2025-11-13,436.90,458.00,436.90,447.00,0.45,"37,162.00","16,560,855.40"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,6,2025-11-12,443.00,455.00,437.20,445.00,-1.11,"27,435.00","12,205,345.60"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,7,2025-11-11,425.10,460.00,425.10,450.00,3.85,"81,917.00","36,744,444.20"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,8,2025-11-10,441.00,448.60,428.60,433.30,-1.50,"26,547.00","11,632,550.20"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,9,2025-11-09,419.10,452.90,416.00,439.90,4.22,"56,050.00","24,437,513.40"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,10,2025-11-06,424.00,430.00,417.80,422.10,-0.45,"19,186.00","8,121,419.50"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,11,2025-11-05,420.00,430.00,415.00,424.00,-0.70,"18,083.00","7,583,120.50"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,12,2025-11-04,433.00,445.50,420.00,427.00,-2.29,"21,850.00","9,433,240.50"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,13,2025-11-03,433.00,447.80,429.00,437.00,-0.91,"32,879.00","14,376,208.40"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,14,2025-11-02,440.00,446.70,432.00,441.00,0.85,"40,403.00","17,824,989.30"
bhcl,Bikash Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bhcl,15,2025-10-30,409.00,448.80,409.00,437.30,5.37,"40,896.00","17,641,471.40"
