symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,1,2025-11-19,180.50,182.00,178.60,179.60,-0.77,"80,077.00","14,372,838.30"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,2,2025-11-18,180.00,182.00,180.00,181.00,1.40,"60,578.00","10,967,066.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,3,2025-11-17,178.00,180.70,178.00,178.50,0.28,"63,737.00","11,439,561.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,4,2025-11-16,175.00,180.00,175.00,178.00,0.56,"86,074.00","15,407,744.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,5,2025-11-13,176.00,178.90,175.00,177.00,0.00,"65,759.00","11,636,415.20"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,6,2025-11-12,181.00,181.00,176.50,177.00,-1.12,"75,582.00","13,440,369.50"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,7,2025-11-11,180.00,181.00,177.00,179.00,0.56,"52,389.00","9,392,943.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,8,2025-11-10,180.00,180.00,177.00,178.00,-0.34,"51,758.00","9,230,633.80"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,9,2025-11-09,183.00,183.00,178.50,178.60,-1.33,"57,202.00","10,256,343.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,10,2025-11-06,183.50,183.50,180.00,181.00,-0.66,"86,482.00","15,649,937.80"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,11,2025-11-05,183.00,185.00,181.50,182.20,-0.87,"38,790.00","7,074,061.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,12,2025-11-04,187.00,187.00,182.30,183.80,-1.08,"52,318.00","9,616,981.20"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,13,2025-11-03,190.00,190.00,184.20,185.80,-0.64,"101,233.00","18,895,276.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,14,2025-11-02,182.50,189.70,182.00,187.00,2.52,"106,629.00","19,856,724.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,15,2025-10-30,185.00,185.00,177.80,182.40,0.05,"78,958.00","14,365,389.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,16,2025-10-29,185.00,186.70,180.00,182.30,-0.11,"92,829.00","17,086,986.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,17,2025-10-28,176.00,183.00,175.00,182.50,3.69,"81,081.00","14,585,938.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,18,2025-10-26,177.00,178.00,173.50,176.00,-0.56,"54,992.00","9,599,342.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,19,2025-10-19,179.00,179.00,174.70,177.00,0.85,"48,174.00","8,518,686.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,20,2025-10-16,178.00,180.00,175.50,175.50,-1.40,"55,863.00","9,860,537.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,21,2025-10-15,180.00,180.00,175.70,178.00,-0.67,"77,118.00","13,681,842.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,22,2025-10-14,181.50,183.90,179.20,179.20,-1.48,"59,481.00","10,754,029.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,23,2025-10-13,182.00,184.30,178.50,181.90,-0.05,"89,376.00","16,249,119.80"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,24,2025-10-12,186.00,187.00,180.00,182.00,-2.15,"129,206.00","23,496,441.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,25,2025-10-09,184.60,195.70,184.60,186.00,2.76,"127,902.00","24,088,865.20"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,26,2025-10-08,188.90,189.00,180.00,181.00,-4.23,"228,636.00","41,587,295.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,27,2025-10-07,190.00,192.00,186.00,189.00,-2.33,"133,187.00","25,081,209.70"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,28,2025-09-28,194.00,195.80,191.10,193.50,0.78,"66,858.00","12,845,900.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,29,2025-09-25,193.00,195.00,190.00,192.00,-0.83,"72,903.00","14,005,027.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,30,2025-09-24,200.00,200.00,190.00,193.60,-2.81,"107,851.00","20,964,577.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,31,2025-09-23,187.30,199.20,186.00,199.20,8.44,"283,139.00","55,311,305.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,32,2025-09-21,164.00,183.70,164.00,183.70,10.00,"300,743.00","53,908,480.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,33,2025-09-18,180.50,180.50,167.00,167.00,-9.29,"40,058.00","6,838,818.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,34,2025-09-08,188.70,189.00,184.00,184.10,-2.03,"122,783.00","22,713,241.20"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,35,2025-09-07,185.20,190.00,185.20,187.91,-0.53,"217,764.00","40,983,714.50"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,36,2025-09-04,192.00,192.00,187.90,188.92,-0.86,"184,613.00","34,818,733.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,37,2025-09-03,195.00,195.00,190.20,190.56,-1.38,"148,580.00","28,475,787.00"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,38,2025-09-02,199.00,199.00,193.00,193.23,-1.13,"147,169.00","28,600,508.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,39,2025-09-01,198.60,198.60,195.00,195.44,-0.61,"127,488.00","24,932,177.50"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,40,2025-08-31,198.50,199.50,196.10,196.64,-0.95,"136,945.00","27,041,131.70"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,41,2025-08-28,201.00,202.00,198.00,198.52,-0.39,"141,798.00","28,261,387.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,42,2025-08-27,201.00,201.00,197.60,199.29,0.36,"194,173.00","38,601,253.90"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,43,2025-08-26,200.00,201.00,198.20,198.58,-0.18,"84,326.00","16,786,061.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,44,2025-08-25,197.10,200.00,197.10,198.93,0.82,"120,674.00","23,969,375.30"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,45,2025-08-24,202.00,202.00,197.00,197.31,-1.14,"207,247.00","41,242,137.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,46,2025-08-21,199.00,206.00,196.00,199.59,-1.37,"714,789.00","141,955,069.30"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,47,2025-08-20,205.00,207.00,202.00,202.37,-0.29,"122,174.00","24,784,862.80"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,48,2025-08-19,204.50,207.00,202.00,202.96,-0.67,"205,440.00","41,923,619.80"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,49,2025-08-18,203.60,210.00,197.90,204.33,2.32,"587,716.00","119,483,246.50"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,50,2025-08-17,202.00,204.30,199.00,199.69,-0.35,"547,124.00","109,909,192.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,51,2025-08-14,205.00,206.00,195.00,200.40,-0.96,"1,853,556.00","368,418,918.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,52,2025-08-13,212.70,212.70,201.00,202.35,-3.45,"1,667,514.00","341,121,096.40"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,53,2025-08-12,212.00,215.50,209.00,209.59,-0.80,"261,460.00","55,075,548.30"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,54,2025-08-11,222.30,222.30,209.00,211.27,-3.09,"784,628.00","167,118,504.10"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,55,2025-08-07,220.90,229.00,217.30,218.01,0.66,"468,475.00","102,975,250.60"
bhl,Balephi Hydropower Limited,Hydropower,https://www.sharesansar.com/company/bhl,56,2025-08-06,214.00,227.00,211.90,216.57,2.50,"1,057,048.00","232,065,947.30"
