symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,1,2025-11-19,436.00,439.90,423.50,425.30,-1.55,"1,785.00","759,504.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,2,2025-11-18,430.00,433.90,426.00,432.00,1.89,"5,726.00","2,459,265.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,3,2025-11-17,420.10,425.00,419.20,424.00,0.95,"6,218.00","2,623,495.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,4,2025-11-16,420.00,425.00,416.50,420.00,-0.07,"5,605.00","2,356,391.20"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,5,2025-11-13,420.00,423.00,414.30,420.30,0.10,"3,408.00","1,428,858.30"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,6,2025-11-12,415.60,419.90,414.00,419.90,-0.97,"10,463.00","4,347,159.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,7,2025-11-11,417.00,426.00,416.00,424.00,0.00,"10,007.00","4,195,846.40"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,8,2025-11-10,432.00,432.00,418.40,424.00,-1.05,"5,413.00","2,295,032.10"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,9,2025-11-09,428.00,430.00,420.00,428.50,-1.27,"12,993.00","5,479,560.40"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,10,2025-11-06,440.60,440.60,426.00,434.00,0.02,"5,699.00","2,442,719.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,11,2025-11-05,421.20,434.80,421.20,433.90,1.14,"1,660.00","713,859.20"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,12,2025-11-04,430.00,440.00,423.10,429.00,-2.19,"16,266.00","6,977,238.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,13,2025-11-03,435.00,447.00,430.00,438.60,-0.09,"9,654.00","4,229,907.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,14,2025-11-02,430.00,455.00,430.00,439.00,0.25,"21,830.00","9,621,688.20"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,15,2025-10-30,420.50,439.00,412.10,437.90,2.07,"10,658.00","4,599,777.70"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,16,2025-10-29,436.90,436.90,415.00,429.00,-0.23,"7,660.00","3,225,647.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,17,2025-10-28,408.90,431.40,408.90,430.00,7.23,"6,128.00","2,564,030.30"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,18,2025-10-26,401.00,403.00,393.00,401.00,-1.60,"3,106.00","1,233,216.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,19,2025-10-19,411.00,411.00,396.00,407.50,1.12,"2,470.00","989,571.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,20,2025-10-16,415.00,429.00,395.10,403.00,-4.05,"15,761.00","6,339,744.40"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,21,2025-10-15,446.70,446.70,420.00,420.00,-4.11,"5,768.00","2,460,758.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,22,2025-10-14,444.70,448.90,430.40,438.00,-1.51,"7,122.00","3,072,901.20"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,23,2025-10-13,430.00,445.70,430.00,444.70,1.76,"2,306.00","1,013,299.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,24,2025-10-12,465.00,465.00,431.20,437.00,-6.02,"16,700.00","7,333,005.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,25,2025-10-09,477.30,480.00,461.30,465.00,-0.64,"15,121.00","7,100,009.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,26,2025-10-08,492.00,492.00,455.00,468.00,-2.99,"18,014.00","8,367,301.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,27,2025-10-07,496.70,499.80,472.10,482.40,-0.94,"6,939.00","3,323,871.60"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,28,2025-09-28,487.90,495.50,481.00,487.00,-0.18,"7,898.00","3,832,979.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,29,2025-09-25,485.20,494.90,483.10,487.90,-1.23,"6,000.00","2,921,718.10"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,30,2025-09-24,490.00,498.70,485.00,494.00,-0.80,"5,156.00","2,542,479.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,31,2025-09-23,489.40,498.70,481.10,498.00,3.61,"4,969.00","2,441,295.20"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,32,2025-09-21,457.00,492.00,451.00,480.64,4.03,"9,277.00","4,384,166.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,33,2025-09-18,469.90,469.90,462.00,462.00,-3.64,"1,000.00","468,320.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,34,2025-09-08,486.00,503.20,477.00,479.46,-2.82,"18,318.00","8,872,585.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,35,2025-09-07,500.00,503.80,493.00,493.36,-1.26,"13,434.00","6,677,100.60"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,36,2025-09-04,482.80,501.90,482.80,499.67,1.42,"6,617.00","3,261,875.40"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,37,2025-09-03,505.00,507.00,490.00,492.65,-1.82,"16,612.00","8,270,050.60"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,38,2025-09-02,502.40,515.80,500.20,501.80,-0.94,"11,893.00","5,996,733.70"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,39,2025-09-01,506.00,512.00,505.00,506.58,0.16,"13,155.00","6,679,933.70"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,40,2025-08-31,507.40,517.50,502.00,505.75,-2.31,"14,723.00","7,497,123.60"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,41,2025-08-28,511.80,526.00,511.80,517.73,-0.86,"14,074.00","7,294,096.40"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,42,2025-08-27,502.90,524.00,502.90,522.20,1.77,"11,055.00","5,737,335.00"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,43,2025-08-26,505.70,526.00,505.70,513.13,-0.55,"14,722.00","7,582,559.10"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,44,2025-08-25,522.00,526.00,514.50,515.97,-0.58,"12,293.00","6,376,497.50"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,45,2025-08-24,519.00,530.00,518.00,519.00,-0.42,"13,197.00","6,866,252.30"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,46,2025-08-21,521.20,535.90,517.40,521.18,-1.28,"23,007.00","12,080,377.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,47,2025-08-20,522.00,540.00,522.00,527.92,-0.87,"11,101.00","5,905,584.90"
bnhc,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/bnhc,48,2025-08-19,544.00,544.00,529.00,532.58,-0.27,"16,154.00","8,619,417.90"
