symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,1,2025-11-19,"11,499.00","11,590.00","11,350.10","11,590.00",2.79,190.00,"2,183,686.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,2,2025-11-18,"11,210.00","11,570.00","11,210.00","11,275.00",-1.10,171.00,"1,940,903.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,3,2025-11-17,"11,350.00","11,570.00","11,350.00","11,400.00",1.15,295.00,"3,376,492.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,4,2025-11-16,"10,997.90","11,550.00","10,997.90","11,270.00",4.35,670.00,"7,502,221.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,5,2025-11-13,"10,800.00","11,000.00","10,780.10","10,800.00",0.00,247.00,"2,688,465.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,6,2025-11-12,"10,900.00","10,900.00","10,800.00","10,800.00",-0.92,90.00,"976,752.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,7,2025-11-11,"10,701.00","10,990.00","10,701.00","10,900.00",0.00,90.00,"982,860.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,8,2025-11-10,"11,073.00","11,073.00","10,830.00","10,900.00",0.37,60.00,"655,821.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,9,2025-11-09,"11,010.00","11,019.00","10,800.00","10,860.00",-1.27,192.00,"2,096,112.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,10,2025-11-06,"11,188.70","11,188.80","10,871.00","11,000.00",-0.67,180.00,"1,983,042.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,11,2025-11-05,"10,900.00","11,074.70","10,900.00","11,074.70",3.38,124.00,"1,365,258.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,12,2025-11-04,"10,900.00","11,099.90","10,700.00","10,713.00",-1.61,130.00,"1,412,382.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,13,2025-11-03,"11,001.00","11,001.00","10,888.00","10,888.00",-1.02,55.00,"602,795.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,14,2025-11-02,"11,000.00","11,194.90","10,852.00","11,000.00",0.00,134.00,"1,478,029.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,15,2025-10-30,"10,890.00","11,000.00","10,760.10","11,000.00",1.01,91.00,"996,724.10"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,16,2025-10-29,"11,099.90","11,099.90","10,890.10","10,890.10",-1.89,23.00,"252,940.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,17,2025-10-28,"10,800.00","11,099.90","10,780.00","11,099.90",0.94,150.00,"1,641,257.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,18,2025-10-26,"11,195.00","11,195.00","10,660.00","10,996.90",-0.91,170.00,"1,847,407.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,19,2025-10-19,"10,690.00","11,098.00","10,690.00","11,098.00",1.74,30.00,"324,780.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,20,2025-10-16,"10,800.00","10,908.00","10,700.00","10,908.00",1.93,80.00,"861,470.00"
bnt,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,https://www.sharesansar.com/company/bnt,21,2025-10-15,"10,924.30","10,924.30","10,701.00","10,701.00",-0.08,100.00,"1,076,613.00"
