symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,1,2025-11-19,"1,122.00","1,122.00","1,122.00","1,122.00",2.00,77.00,"86,394.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,2,2025-11-17,"1,100.00","1,100.00","1,100.00","1,100.00",0.01,98.00,"107,800.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,3,2025-11-16,"1,090.20","1,099.90","1,090.20","1,099.90",-0.01,102.00,"111,947.30"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,4,2025-11-13,"1,100.00","1,100.00","1,100.00","1,100.00",-1.43,100.00,"110,000.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,5,2025-11-11,"1,116.00","1,116.00","1,116.00","1,116.00",1.92,50.00,"55,800.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,6,2025-11-09,"1,095.00","1,095.00","1,095.00","1,095.00",-1.53,25.00,"27,375.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,7,2025-11-06,"1,112.00","1,112.00","1,112.00","1,112.00",-1.85,25.00,"27,800.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,8,2025-11-03,"1,133.00","1,133.00","1,133.00","1,133.00",0.27,159.00,"180,147.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,9,2025-10-19,"1,082.00","1,130.00","1,082.00","1,130.00",4.53,209.00,"233,306.60"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,10,2025-10-15,"1,081.10","1,081.10","1,081.00","1,081.00",-1.01,100.00,"108,102.50"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,11,2025-10-14,"1,092.00","1,092.00","1,092.00","1,092.00",-1.97,25.00,"27,300.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,12,2025-10-13,"1,092.40","1,129.00","1,092.40","1,114.00",1.98,150.00,"168,960.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,13,2025-10-12,"1,092.40","1,092.40","1,092.40","1,092.40",2.00,50.00,"54,620.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,14,2025-10-08,"1,075.00","1,075.00","1,071.00","1,071.00",-0.83,150.00,"160,850.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,15,2025-09-23,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82,25.00,"27,000.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,16,2025-09-07,"1,099.90","1,122.00","1,099.90","1,100.00",0.79,909.00,"1,007,337.50"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,17,2025-09-03,"1,091.40","1,091.40","1,091.40","1,091.40",0.00,65.00,"70,941.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,18,2025-09-02,"1,065.90","1,091.40","1,065.00","1,091.40",4.44,343.00,"368,147.40"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,19,2025-08-31,"1,055.00","1,055.00","1,045.00","1,045.00",-2.60,65.00,"68,425.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,20,2025-08-25,"1,072.90","1,072.90","1,072.90","1,072.90",1.99,10.00,"10,729.00"
bokd86,8.5% BOK Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/bokd86,21,2025-08-24,"1,032.20","1,052.00","1,032.20","1,052.00",0.00,50.00,"52,105.00"
