symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,1,2025-11-19,716.40,743.00,715.20,719.70,-1.55,"80,104.00","57,899,031.90"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,2,2025-11-18,740.00,755.00,730.00,731.00,-0.81,"122,730.00","91,289,879.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,3,2025-11-17,726.90,741.50,706.50,737.00,3.41,"154,072.00","112,592,349.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,4,2025-11-16,701.00,713.00,697.00,712.70,1.67,"49,411.00","34,761,994.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,5,2025-11-13,691.00,715.00,691.00,701.00,-0.57,"107,021.00","75,608,261.90"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,6,2025-11-12,739.50,739.50,700.00,705.00,-2.76,"110,673.00","78,630,007.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,7,2025-11-11,751.70,751.70,721.00,725.00,-1.63,"51,279.00","37,328,187.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,8,2025-11-10,736.00,747.60,719.10,737.00,0.14,"106,665.00","77,566,939.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,9,2025-11-09,762.00,769.00,730.10,736.00,-3.41,"184,087.00","136,868,323.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,10,2025-11-06,790.50,790.50,751.00,762.00,-1.68,"228,775.00","176,643,567.90"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,11,2025-11-05,769.20,780.00,743.00,775.00,2.76,"121,049.00","91,851,681.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,12,2025-11-04,790.50,790.50,751.10,754.20,-2.68,"165,109.00","126,350,611.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,13,2025-11-03,780.00,787.50,756.00,775.00,-0.13,"130,668.00","100,171,609.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,14,2025-11-02,779.00,795.00,765.10,776.00,-0.39,"326,140.00","254,823,410.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,15,2025-10-30,751.70,795.00,724.30,779.00,5.70,"262,538.00","201,437,343.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,16,2025-10-29,749.00,769.00,735.00,737.00,-0.27,"303,178.00","227,213,143.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,17,2025-10-28,665.10,739.00,665.10,739.00,9.99,"270,992.00","194,773,968.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,18,2025-10-26,676.20,676.20,648.00,671.90,1.34,"44,051.00","29,137,250.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,19,2025-10-19,660.00,686.00,648.00,663.00,0.45,"55,757.00","36,752,006.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,20,2025-10-16,687.40,687.40,656.00,660.00,-2.08,"98,102.00","65,492,640.50"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,21,2025-10-15,674.00,689.00,653.00,674.00,0.90,"137,298.00","91,544,932.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,22,2025-10-14,700.00,700.00,662.20,668.00,-3.47,"89,112.00","60,176,131.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,23,2025-10-13,635.00,692.00,623.00,692.00,8.98,"111,568.00","73,475,178.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,24,2025-10-12,699.90,699.90,630.10,635.00,-9.27,"233,100.00","152,734,599.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,25,2025-10-09,714.00,757.50,695.00,699.90,-0.01,"116,488.00","83,026,179.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,26,2025-10-08,707.60,728.00,697.00,700.00,-3.05,"127,998.00","90,921,417.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,27,2025-10-07,778.20,778.20,721.10,722.00,-5.37,"120,205.00","88,703,536.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,28,2025-09-28,773.10,775.00,760.00,763.00,0.66,"32,520.00","24,917,768.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,29,2025-09-25,778.20,778.20,755.00,758.00,-0.66,"38,823.00","29,468,813.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,30,2025-09-24,810.60,810.60,762.00,763.00,-4.00,"85,067.00","65,946,783.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,31,2025-09-23,793.40,804.00,770.10,794.80,2.18,"126,602.00","99,938,022.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,32,2025-09-21,727.10,783.90,723.00,777.87,6.98,"181,085.00","138,542,804.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,33,2025-09-18,784.30,784.30,725.00,727.10,-9.14,"13,203.00","9,673,463.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,34,2025-09-08,832.00,832.00,793.00,800.21,-1.91,"124,839.00","100,232,360.50"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,35,2025-09-07,847.30,847.30,810.30,815.76,-1.80,"99,921.00","82,064,384.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,36,2025-09-04,812.00,835.00,797.00,830.73,3.93,"188,515.00","153,395,259.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,37,2025-09-03,808.10,818.00,797.10,799.35,-1.08,"105,950.00","85,244,809.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,38,2025-09-02,822.00,829.00,806.00,808.10,-1.40,"73,161.00","59,471,186.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,39,2025-09-01,828.00,828.00,810.00,819.61,0.62,"86,935.00","71,146,806.50"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,40,2025-08-31,844.00,844.00,813.00,814.59,-2.15,"107,610.00","88,612,814.90"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,41,2025-08-28,835.10,868.00,830.00,832.50,-2.30,"166,350.00","140,817,308.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,42,2025-08-27,835.70,859.50,833.20,852.13,1.97,"204,568.00","173,654,694.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,43,2025-08-26,815.00,840.00,812.00,835.70,2.43,"172,377.00","142,578,721.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,44,2025-08-25,788.90,824.00,788.90,815.85,1.36,"116,787.00","94,773,664.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,45,2025-08-24,820.00,831.00,800.00,804.94,-2.55,"169,085.00","137,310,316.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,46,2025-08-21,841.00,841.00,824.00,825.98,-1.86,"162,373.00","134,656,317.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,47,2025-08-20,858.00,870.00,838.00,841.65,-2.44,"125,874.00","107,693,908.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,48,2025-08-19,830.00,874.00,830.00,862.66,3.22,"204,032.00","175,096,008.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,49,2025-08-18,810.00,844.00,810.00,835.76,1.97,"253,547.00","209,598,599.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,50,2025-08-17,849.00,865.90,817.00,819.60,-1.56,"186,015.00","154,189,685.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,51,2025-08-14,850.10,868.00,821.70,832.57,-2.20,"246,820.00","207,080,553.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,52,2025-08-13,871.90,875.00,845.40,851.32,-0.41,"150,344.00","129,531,129.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,53,2025-08-12,860.00,879.00,840.00,854.85,-1.40,"228,766.00","196,079,869.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,54,2025-08-11,892.60,909.60,860.00,866.97,-2.30,"334,911.00","297,187,851.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,55,2025-08-07,914.90,915.00,884.30,887.40,-1.64,"210,491.00","188,380,057.30"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,56,2025-08-06,885.00,920.00,885.00,902.19,0.22,"141,629.00","128,670,589.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,57,2025-08-05,952.00,952.00,893.00,900.22,-3.74,"334,414.00","305,823,745.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,58,2025-08-04,936.30,954.70,928.00,935.24,0.59,"289,095.00","271,496,777.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,59,2025-08-03,945.00,965.00,922.20,929.73,-0.13,"277,614.00","261,050,994.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,60,2025-07-31,920.00,952.00,920.00,930.98,-0.74,"247,702.00","232,270,513.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,61,2025-07-30,983.00,983.00,935.00,937.89,-3.29,"313,010.00","297,052,587.00"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,62,2025-07-29,990.00,"1,000.00",956.00,969.81,-0.66,"371,429.00","360,672,201.20"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,63,2025-07-28,971.10,"1,008.00",971.10,976.24,-1.47,"308,980.00","304,542,669.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,64,2025-07-27,"1,013.00","1,053.00",985.00,990.85,-4.11,"459,326.00","463,948,216.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,65,2025-07-24,995.00,"1,065.00",995.00,"1,033.28",4.24,"455,934.00","471,615,662.70"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,66,2025-07-23,989.00,"1,008.60",952.00,991.25,2.21,"629,729.00","622,527,131.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,67,2025-07-22,970.30,990.00,955.00,969.83,1.94,"530,534.00","516,705,538.10"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,68,2025-07-21,960.00,973.90,940.80,951.37,-0.69,"594,489.00","567,987,062.40"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,69,2025-07-20,970.00,983.00,951.00,957.99,-1.22,"666,775.00","642,734,267.60"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,70,2025-07-17,965.00,995.00,947.00,969.81,1.31,"623,288.00","606,866,071.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,71,2025-07-16,890.00,960.60,886.20,957.29,6.79,"666,414.00","618,726,694.80"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,72,2025-07-15,870.00,922.00,861.00,896.45,4.15,"581,609.00","523,263,063.50"
bpcl,Butwal Power Company Limited,Hydropower,https://www.sharesansar.com/company/bpcl,73,2025-07-14,812.60,864.20,812.60,860.69,3.81,"464,681.00","394,590,644.10"
