symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,1,2025-11-20,8.90,8.93,8.90,8.90,-1.66,700.00,"6,234.20"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,2,2025-11-19,9.10,9.20,9.05,9.05,-0.44,"6,467.00","59,031.35"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,3,2025-11-18,9.04,9.10,8.92,9.09,2.48,"23,527.00","212,923.88"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,4,2025-11-17,8.70,8.87,8.70,8.87,0.11,"1,100.00","9,740.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,5,2025-11-16,8.71,8.86,8.71,8.86,0.91,820.00,"7,163.60"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,6,2025-11-12,9.00,9.00,8.78,8.78,-1.90,"99,600.00","877,845.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,7,2025-11-11,9.10,9.10,8.92,8.95,-3.56,"28,985.00","258,663.20"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,8,2025-11-10,9.10,9.28,9.10,9.28,1.98,200.00,"1,838.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,9,2025-11-09,9.00,9.11,9.00,9.10,-0.55,"20,500.00","186,536.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,10,2025-11-04,9.10,9.15,9.10,9.15,-0.97,700.00,"6,375.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,11,2025-11-03,9.08,9.24,9.08,9.24,0.22,"10,100.00","92,790.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,12,2025-11-02,9.10,9.22,9.06,9.22,-0.43,"17,735.00","161,127.70"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,13,2025-10-30,9.10,9.26,9.10,9.26,1.76,"11,500.00","104,890.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,14,2025-10-29,9.25,9.25,9.10,9.10,-0.55,"1,800.00","16,574.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,15,2025-10-26,9.15,9.15,9.15,9.15,0.00,"14,000.00","128,100.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,16,2025-10-19,9.15,9.15,9.15,9.15,0.44,150.00,"1,372.50"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,17,2025-10-16,9.12,9.12,8.94,9.11,-0.11,"32,056.00","292,223.16"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,18,2025-10-15,9.11,9.20,9.11,9.12,0.11,"264,862.00","2,427,677.54"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,19,2025-10-14,9.26,9.26,9.10,9.11,0.33,"196,150.00","1,801,965.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,20,2025-10-13,9.00,9.08,9.00,9.08,1.79,"31,800.00","288,423.00"
c30mf,Citizens Super 30 Mutual Fund,Mutual Fund,https://www.sharesansar.com/company/c30mf,21,2025-10-12,9.10,9.15,8.92,8.92,-1.98,"22,900.00","208,086.00"
