symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,1,2023-02-22,130.00,130.00,130.00,130.00,0.00,"6,277.00","816,010.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,2,2023-02-15,130.00,130.00,130.00,130.00,0.00,"68,040.00","8,845,200.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,3,2023-02-05,130.00,130.00,130.00,130.00,0.00,"25,108.00","3,264,040.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,4,2023-01-02,130.00,130.00,130.00,130.00,7.44,"58,680.00","7,628,400.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,5,2022-07-08,121.00,121.00,121.00,121.00,0.00,"5,023.00","607,783.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,6,2022-05-09,121.00,121.00,121.00,121.00,0.00,"3,105.00","375,705.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,7,2022-04-06,121.00,121.00,121.00,121.00,-1.63,"62,767.00","7,594,807.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,8,2022-01-03,161.00,161.00,161.00,161.00,0.00,"31,920.00","5,139,120.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,9,2021-11-23,161.00,161.00,161.00,161.00,0.00,"16,544.00","2,663,584.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,10,2021-09-29,161.00,161.00,161.00,161.00,0.00,"11,956.00","1,924,916.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,11,2021-08-18,161.00,161.00,161.00,161.00,-0.62,"8,369.00","1,347,409.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,12,2021-03-22,101.00,101.00,101.00,101.00,-0.98,"21,520.00","2,173,520.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,13,2021-02-02,102.00,102.00,102.00,102.00,0.00,"43,000.00","4,386,000.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,14,2021-01-21,102.00,102.00,102.00,102.00,0.00,"275,255.00","28,076,010.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,15,2020-12-08,102.00,102.00,102.00,102.00,2.00,"31,000.00","3,162,000.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,16,2020-10-29,100.00,100.00,100.00,100.00,0.00,"22,141.00","2,214,100.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,17,2020-09-15,100.00,100.00,100.00,100.00,0.00,"4,694.00","469,400.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,18,2020-08-27,100.00,100.00,100.00,100.00,0.00,"60,000.00","6,000,000.00"
cblpo,Civil Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/cblpo,19,2020-03-05,100.00,100.00,100.00,100.00,-0.25,"55,354.00","5,535,400.00"
