symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,1,2025-11-19,"1,181.00","1,181.00","1,181.00","1,181.00",-1.58,100.00,"118,100.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,2,2025-11-18,"1,224.00","1,224.00","1,224.00","1,200.00",-1.96,1.00,"1,200.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,3,2025-11-16,"1,200.00","1,224.00","1,200.00","1,224.00",1.58,75.00,"90,600.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,4,2025-11-12,"1,205.00","1,205.00","1,205.00","1,205.00",-0.91,25.00,"30,125.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,5,2025-11-10,"1,240.00","1,240.00","1,240.00","1,216.10",0.01,41.00,"50,816.10"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,6,2025-11-09,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94,50.00,"60,800.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,7,2025-11-06,"1,240.00","1,240.00","1,240.00","1,240.00",0.81,25.00,"31,000.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,8,2025-11-03,"1,254.00","1,254.00","1,230.00","1,230.00",-1.05,130.00,"161,885.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,9,2025-11-02,"1,243.10","1,243.10","1,243.10","1,243.10",-1.96,25.00,"31,077.50"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,10,2025-10-19,"1,266.00","1,268.00","1,266.00","1,268.00",1.85,"9,020.00","11,437,320.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,11,2025-10-15,"1,245.00","1,245.00","1,245.00","1,245.00",-0.68,"9,000.00","11,205,000.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,12,2025-10-13,"1,229.00","1,266.00","1,229.00","1,253.50",1.99,"1,275.00","1,602,587.50"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,13,2025-10-09,"1,229.00","1,229.00","1,229.00","1,229.00",0.00,50.00,"61,450.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,14,2025-10-08,"1,229.00","1,229.00","1,229.00","1,229.00",-1.99,25.00,"30,725.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,15,2025-10-07,"1,140.00","1,254.00","1,140.00","1,254.00",10.00,673.00,"843,716.80"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,16,2025-09-25,"1,140.00","1,140.00","1,140.00","1,140.00",-0.87,25.00,"28,500.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,17,2025-09-24,"1,155.00","1,155.00","1,150.00","1,150.00",1.14,50.00,"57,625.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,18,2025-09-23,"1,140.00","1,160.00","1,137.00","1,137.00",-2.22,100.00,"114,925.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,19,2025-09-21,"1,160.00","1,162.80","1,160.00","1,162.80",2.00,55.00,"63,870.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,20,2025-09-08,"1,140.00","1,140.00","1,140.00","1,140.00",-1.72,25.00,"28,500.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,21,2025-09-07,"1,160.00","1,160.00","1,160.00","1,160.00",0.87,137.00,"158,920.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,22,2025-09-04,"1,131.00","1,150.00","1,131.00","1,150.00",1.68,50.00,"57,025.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,23,2025-09-03,"1,131.00","1,131.00","1,131.00","1,131.00",0.44,25.00,"28,275.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,24,2025-08-28,"1,126.00","1,126.00","1,126.00","1,126.00",-0.79,25.00,"28,150.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,25,2025-08-27,"1,135.00","1,135.00","1,135.00","1,135.00",0.71,25.00,"28,375.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,26,2025-08-21,"1,127.00","1,127.00","1,127.00","1,127.00",0.00,25.00,"28,175.00"
ccbd88,10.50% Century Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/ccbd88,27,2025-08-20,"1,127.00","1,127.00","1,127.00","1,127.00",-2.00,25.00,"28,175.00"
