symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,1,2015-06-23,170.00,170.00,170.00,170.00,0.00,"13,267.00","2,255,390.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,2,2015-06-22,170.00,170.00,170.00,170.00,0.00,"44,332.00","7,536,440.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,3,2015-06-21,170.00,170.00,170.00,170.00,0.00,"30,558.00","5,194,860.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,4,2015-06-16,170.00,170.00,170.00,170.00,0.00,"10,000.00","1,700,000.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,5,2014-09-29,132.00,132.00,132.00,132.00,0.00,"15,355.00","2,026,860.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,6,2014-06-17,130.00,132.00,132.00,132.00,0.00,"22,335.00","2,948,220.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,7,2014-04-27,130.00,130.00,130.00,130.00,0.00,"34,846.00","4,529,980.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,8,2014-03-26,130.00,130.00,130.00,130.00,0.00,"3,070.00","399,100.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,9,2014-03-11,130.00,130.00,130.00,130.00,0.00,"30,536.00","3,969,680.00"
cdblpo,City Development Bank Limited promoter Share,Promoter Share,https://www.sharesansar.com/company/cdblpo,10,2013-10-03,0.00,130.00,130.00,130.00,0.00,"60,720.00","7,893,600.00"
