symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,1,2019-09-01,100.00,100.00,100.00,100.00,0.00,"40,001.00","4,000,100.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,2,2019-06-10,100.00,100.00,100.00,100.00,-0.99,"159,334.00","15,933,400.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,3,2018-12-06,101.00,101.00,101.00,101.00,0.00,"1,000.00","101,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,4,2018-12-05,101.00,101.00,101.00,101.00,0.00,"18,000.00","1,818,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,5,2018-10-28,101.00,101.00,101.00,101.00,0.00,"43,000.00","4,343,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,6,2018-10-15,101.00,101.00,101.00,101.00,0.00,"72,800.00","7,352,800.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,7,2018-03-27,100.00,100.00,100.00,100.00,0.00,"53,700.00","5,370,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,8,2018-03-26,100.00,100.00,100.00,100.00,0.00,"60,000.00","6,000,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,9,2017-07-18,100.00,100.00,100.00,100.00,0.00,"82,500.00","8,250,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,10,2017-07-17,105.00,103.00,100.00,100.00,0.00,"313,110.00","31,662,750.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,11,2017-05-22,105.00,105.00,105.00,105.00,0.00,"30,000.00","3,150,000.00"
ceflpo,City Express Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ceflpo,12,2017-05-21,105.00,105.00,105.00,105.00,0.00,"35,000.00","3,675,000.00"
