symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,1,2025-11-19,485.00,485.00,480.00,482.80,0.06,"28,461.00","13,703,610.50"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,2,2025-11-18,477.00,488.80,477.00,482.50,-0.31,"55,715.00","26,955,807.20"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,3,2025-11-17,477.10,487.00,476.00,484.00,0.69,"24,186.00","11,709,386.00"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,4,2025-11-16,486.10,487.10,479.30,480.70,-0.80,"56,601.00","27,322,774.80"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,5,2025-11-13,484.00,490.40,480.50,484.60,-1.10,"41,395.00","19,979,539.50"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,6,2025-11-12,488.00,497.70,480.20,490.00,0.41,"15,183.00","7,393,951.10"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,7,2025-11-11,480.20,494.00,480.20,488.00,0.64,"10,301.00","5,001,767.80"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,8,2025-11-10,486.60,490.00,480.50,484.90,-0.35,"32,092.00","15,538,114.90"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,9,2025-11-09,482.00,492.00,481.80,486.60,-0.69,"16,590.00","8,070,120.60"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,10,2025-11-06,487.10,495.00,485.00,490.00,0.00,"25,034.00","12,237,121.90"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,11,2025-11-05,486.10,495.00,485.40,490.00,-0.99,"25,860.00","12,639,272.50"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,12,2025-11-04,498.00,500.00,490.10,494.90,-0.22,"20,821.00","10,282,849.30"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,13,2025-11-03,500.00,509.00,495.00,496.00,-1.39,"31,400.00","15,698,901.40"
chcl,Chilime Hydro power Company Limited,Hydropower,https://www.sharesansar.com/company/chcl,14,2025-11-02,514.00,514.00,500.00,503.00,-0.20,"37,649.00","19,002,374.20"
