symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,1,2025-11-19,530.00,551.00,530.00,532.00,1.10,"10,029.00","5,357,667.40"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,2,2025-11-18,530.00,535.00,526.10,526.20,-0.72,"4,909.00","2,597,308.40"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,3,2025-11-17,530.50,541.00,525.00,530.00,-1.67,"9,897.00","5,257,775.30"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,4,2025-11-16,534.10,544.70,530.00,539.00,-1.08,"4,973.00","2,672,786.30"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,5,2025-11-13,536.30,546.70,528.00,544.90,-0.42,"5,673.00","3,064,539.70"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,6,2025-11-12,525.30,577.00,525.30,547.20,2.09,"7,854.00","4,236,733.20"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,7,2025-11-11,552.80,552.80,518.70,536.00,-4.96,"10,999.00","5,858,510.20"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,8,2025-11-10,515.00,564.00,508.60,564.00,9.94,"4,772.00","2,452,877.30"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,9,2025-11-09,519.00,520.00,510.10,513.00,-2.27,"2,776.00","1,431,238.20"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,10,2025-11-06,530.00,530.20,517.00,524.90,-0.91,"5,002.00","2,629,923.40"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,11,2025-11-05,533.00,533.00,515.00,529.70,0.67,"3,741.00","1,941,443.60"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,12,2025-11-04,542.00,585.00,526.10,526.20,-2.92,"5,905.00","3,173,049.30"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,13,2025-11-03,542.00,552.00,536.00,542.00,0.00,"4,402.00","2,389,874.20"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,14,2025-11-02,520.10,555.00,520.00,542.00,2.63,"5,377.00","2,902,112.80"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,15,2025-10-30,530.00,534.90,525.00,528.10,-0.36,"4,652.00","2,466,465.90"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,16,2025-10-29,534.50,577.00,528.10,530.00,0.38,"6,859.00","3,664,629.90"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,17,2025-10-28,502.80,529.90,502.80,528.00,2.92,"2,049.00","1,070,413.10"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,18,2025-10-26,515.00,518.00,503.00,513.00,-1.33,"1,318.00","673,017.40"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,19,2025-10-19,510.00,552.00,510.00,519.90,0.37,"1,613.00","843,059.90"
city,City Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/city,20,2025-10-16,513.60,520.00,509.00,518.00,0.88,"5,762.00","2,956,045.70"
