symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,1,2025-11-19,"1,116.20","1,116.20","1,112.30","1,112.30",-1.91,100.00,"111,518.70"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,2,2025-11-02,"1,157.00","1,157.00","1,157.00","1,134.00",-1.99,1.00,"1,134.00"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,3,2025-10-29,"1,179.00","1,179.00","1,179.00","1,157.00",-1.87,1.00,"1,157.00"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,4,2025-10-19,"1,179.00","1,179.00","1,179.00","1,179.00",-1.79,60.00,"70,740.00"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,5,2025-10-13,"1,177.00","1,177.00","1,177.00","1,200.50",4.03,89.00,"104,870.50"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,6,2025-10-12,"1,154.00","1,154.00","1,154.00","1,154.00",-1.95,60.00,"69,240.00"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,7,2025-10-07,"1,124.00","1,177.00","1,124.00","1,177.00",4.72,182.00,"214,175.40"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,8,2025-09-28,"1,124.00","1,124.00","1,124.00","1,124.00",0.53,84.00,"94,416.00"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,9,2025-09-08,"1,118.10","1,118.10","1,118.10","1,118.10",0.08,25.00,"27,952.50"
cizbd86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/cizbd86,10,2025-09-02,"1,120.00","1,140.00","1,120.00","1,117.20",0.02,201.00,"227,117.20"
