symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,1,2025-11-19,575.20,591.60,575.00,590.00,2.59,"2,056.00","1,199,943.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,2,2025-11-18,592.40,598.00,575.10,575.10,-0.98,"3,855.00","2,269,969.40"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,3,2025-11-17,566.20,585.00,566.20,580.80,1.13,180.00,"103,725.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,4,2025-11-16,580.20,592.50,573.50,574.30,-2.92,"2,353.00","1,360,992.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,5,2025-11-13,577.00,595.00,575.60,591.60,0.78,"1,974.00","1,151,986.60"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,6,2025-11-12,597.90,597.90,581.40,587.00,-1.01,"1,305.00","768,317.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,7,2025-11-11,599.00,599.00,588.00,593.00,0.51,895.00,"528,339.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,8,2025-11-10,601.80,605.00,583.70,590.00,0.00,"3,333.00","1,973,195.40"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,9,2025-11-09,580.00,595.70,579.00,590.00,0.17,"2,777.00","1,622,051.50"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,10,2025-11-06,585.20,607.90,584.50,589.00,-1.22,"2,572.00","1,532,037.20"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,11,2025-11-05,580.10,597.90,580.10,596.30,1.41,200.00,"118,495.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,12,2025-11-04,597.90,600.00,587.30,588.00,-3.61,510.00,"301,700.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,13,2025-11-03,617.00,618.00,590.00,610.00,-1.25,"2,070.00","1,247,293.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,14,2025-11-02,590.00,624.10,590.00,617.70,2.95,"2,045.00","1,250,004.10"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,15,2025-10-30,598.00,623.00,585.00,600.00,2.04,"2,914.00","1,733,838.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,16,2025-10-29,579.00,607.00,575.00,588.00,-0.34,"3,340.00","1,962,926.40"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,17,2025-10-28,562.00,590.00,561.00,590.00,4.59,"1,915.00","1,107,121.50"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,18,2025-10-26,558.60,564.20,550.00,564.10,-1.04,"1,495.00","830,262.50"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,19,2025-10-19,570.90,582.30,560.90,570.00,-0.35,830.00,"470,642.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,20,2025-10-16,570.00,578.00,561.20,572.00,-1.21,770.00,"436,375.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,21,2025-10-15,578.20,579.00,568.80,579.00,-1.85,730.00,"419,143.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,22,2025-10-14,581.00,590.00,565.00,589.90,-0.19,"2,160.00","1,239,642.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,23,2025-10-13,579.00,591.00,561.20,591.00,3.87,"2,666.00","1,544,360.40"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,24,2025-10-12,592.00,609.00,561.00,569.00,-5.64,"4,558.00","2,650,016.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,25,2025-10-09,618.10,643.00,603.00,603.00,-0.50,"3,535.00","2,172,373.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,26,2025-10-08,637.00,637.00,603.10,606.00,-3.04,"3,080.00","1,872,482.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,27,2025-10-07,651.00,653.80,625.00,625.00,-5.87,"5,862.00","3,730,087.50"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,28,2025-09-28,660.00,664.00,651.00,664.00,0.56,"1,050.00","689,407.50"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,29,2025-09-25,646.80,672.90,646.80,660.30,0.05,"3,414.00","2,263,142.10"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,30,2025-09-24,645.00,678.30,632.20,660.00,0.30,"6,561.00","4,224,622.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,31,2025-09-23,620.00,658.00,620.00,658.00,5.06,"2,545.00","1,635,694.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,32,2025-09-21,606.00,664.00,601.10,626.33,2.51,"5,017.00","3,074,123.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,33,2025-09-18,623.00,623.00,611.00,611.00,-3.88,20.00,"12,340.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,34,2025-09-08,635.00,640.00,600.30,635.66,-0.61,"5,287.00","3,361,795.00"
ckhl,Chirkhwa Hydro Power Limited,Hydropower,https://www.sharesansar.com/company/ckhl,35,2025-09-07,639.00,650.00,639.00,639.55,-1.80,"5,297.00","3,420,334.10"
