symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,1,2025-11-19,456.00,468.00,456.00,462.60,0.57,"7,449.00","3,431,832.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,2,2025-11-18,456.10,468.00,456.10,460.00,0.24,"11,192.00","5,165,202.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,3,2025-11-17,460.00,460.00,453.00,458.90,1.24,"12,395.00","5,666,648.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,4,2025-11-16,456.00,460.00,452.00,453.30,-1.24,"10,613.00","4,830,033.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,5,2025-11-13,464.00,469.00,459.00,459.00,-1.08,"13,104.00","6,023,236.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,6,2025-11-12,469.00,471.90,460.00,464.00,-1.07,"14,033.00","6,495,895.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,7,2025-11-11,461.00,476.00,461.00,469.00,-0.21,"8,385.00","3,903,851.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,8,2025-11-10,476.00,476.00,460.00,470.00,0.64,"13,926.00","6,441,788.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,9,2025-11-09,466.00,472.00,463.10,467.00,-1.06,"14,669.00","6,839,444.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,10,2025-11-06,470.00,474.00,464.00,472.00,0.43,"32,783.00","15,387,051.50"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,11,2025-11-05,463.00,470.00,461.10,470.00,1.08,"14,565.00","6,756,101.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,12,2025-11-04,462.00,472.00,462.00,465.00,-1.06,"16,112.00","7,514,838.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,13,2025-11-03,475.00,481.00,465.10,470.00,-0.63,"35,499.00","16,779,991.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,14,2025-11-02,465.00,475.00,457.30,473.00,3.73,"41,273.00","19,445,961.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,15,2025-10-30,442.00,460.00,438.00,456.00,2.24,"28,517.00","12,884,470.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,16,2025-10-29,451.00,460.00,445.90,446.00,-1.11,"21,143.00","9,562,689.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,17,2025-10-28,435.00,451.80,435.00,451.00,3.56,"20,808.00","9,300,427.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,18,2025-10-26,434.00,438.40,425.00,435.50,0.35,"13,214.00","5,695,613.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,19,2025-10-19,434.00,440.00,432.00,434.00,-0.28,"4,413.00","1,924,376.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,20,2025-10-16,437.00,443.00,435.00,435.20,-1.09,"9,782.00","4,263,979.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,21,2025-10-15,434.00,442.00,434.00,440.00,-0.48,"11,634.00","5,093,393.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,22,2025-10-14,443.00,448.00,435.10,442.10,-2.15,"6,680.00","2,960,308.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,23,2025-10-13,435.00,451.80,430.00,451.80,3.39,"30,391.00","13,264,265.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,24,2025-10-12,445.00,446.00,430.00,437.00,-3.32,"50,727.00","22,143,206.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,25,2025-10-09,450.00,474.00,448.00,452.00,0.89,"25,229.00","11,498,578.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,26,2025-10-08,450.00,451.00,440.00,448.00,-1.56,"28,417.00","12,591,472.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,27,2025-10-07,463.00,464.00,453.00,455.10,-1.85,"14,749.00","6,746,718.50"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,28,2025-09-28,477.10,477.10,462.00,463.70,-0.88,"13,303.00","6,173,002.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,29,2025-09-25,459.00,468.00,451.00,467.80,-0.04,"14,296.00","6,573,408.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,30,2025-09-24,448.00,483.90,448.00,468.00,2.47,"16,446.00","7,617,298.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,31,2025-09-23,444.00,461.90,442.00,456.70,2.83,"15,528.00","7,089,852.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,32,2025-09-21,412.00,450.00,411.00,444.12,7.80,"40,268.00","17,430,184.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,33,2025-09-18,447.00,447.00,412.00,412.00,-9.46,"3,632.00","1,516,126.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,34,2025-09-08,458.50,461.00,454.00,455.07,-1.27,"21,810.00","9,964,243.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,35,2025-09-07,460.10,465.00,460.00,460.92,-0.44,"12,299.00","5,675,025.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,36,2025-09-04,467.83,467.83,461.40,462.95,-1.04,"28,983.00","13,428,689.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,37,2025-09-03,465.00,473.00,465.00,467.83,-0.32,"11,181.00","5,229,325.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,38,2025-09-02,468.00,470.00,468.00,469.34,-0.26,"17,077.00","8,011,165.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,39,2025-09-01,470.00,473.00,466.70,470.57,-0.34,"8,486.00","3,987,552.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,40,2025-08-31,468.00,475.00,468.00,472.19,-0.22,"14,040.00","6,628,694.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,41,2025-08-28,490.60,490.60,471.10,473.22,-1.62,"20,473.00","9,817,811.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,42,2025-08-27,477.00,483.00,473.00,481.00,1.13,"17,738.00","8,492,142.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,43,2025-08-26,477.90,478.00,471.50,475.64,-0.02,"8,212.00","3,897,546.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,44,2025-08-25,470.00,482.20,470.00,475.74,0.23,"16,206.00","7,677,123.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,45,2025-08-24,470.90,480.00,470.20,474.67,-0.37,"14,349.00","6,817,258.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,46,2025-08-21,477.00,484.90,476.00,476.45,-0.67,"13,474.00","6,426,981.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,47,2025-08-20,480.00,484.50,475.10,479.67,-0.06,"13,164.00","6,316,434.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,48,2025-08-19,476.00,484.00,476.00,479.98,0.66,"19,832.00","9,547,104.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,49,2025-08-18,482.40,482.40,471.00,476.83,0.81,"17,603.00","8,364,861.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,50,2025-08-17,477.00,482.00,472.00,472.99,-1.02,"30,430.00","14,486,807.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,51,2025-08-14,476.10,480.00,476.10,477.85,-0.38,"17,474.00","8,348,541.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,52,2025-08-13,480.00,483.00,479.00,479.65,-0.60,"40,480.00","19,495,130.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,53,2025-08-12,481.00,484.00,480.00,482.56,-0.88,"19,723.00","9,503,373.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,54,2025-08-11,485.50,499.80,485.00,486.85,-0.43,"21,121.00","10,343,416.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,55,2025-08-07,494.90,495.00,484.00,488.96,0.77,"33,008.00","16,095,145.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,56,2025-08-06,483.00,490.00,480.20,485.23,-0.28,"20,709.00","10,039,106.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,57,2025-08-05,500.00,500.00,486.00,486.58,-1.72,"27,125.00","13,294,007.90"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,58,2025-08-04,490.00,499.00,488.00,495.12,0.54,"35,568.00","17,494,303.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,59,2025-08-03,502.00,503.00,491.00,492.46,-1.77,"54,212.00","26,808,141.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,60,2025-07-31,511.00,512.00,500.00,501.33,-1.79,"68,061.00","34,338,408.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,61,2025-07-30,521.00,527.00,509.00,510.47,-2.02,"42,873.00","22,078,635.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,62,2025-07-29,513.00,531.40,513.00,520.98,1.94,"90,308.00","47,239,594.40"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,63,2025-07-28,504.00,515.00,499.80,511.07,-0.49,"96,972.00","49,029,516.30"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,64,2025-07-27,522.00,530.00,512.20,513.58,-1.63,"77,167.00","40,147,860.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,65,2025-07-24,526.00,530.00,517.00,522.09,-0.81,"52,910.00","27,591,627.60"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,66,2025-07-23,536.70,540.00,514.50,526.33,0.02,"92,177.00","48,539,741.80"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,67,2025-07-22,509.50,527.00,499.50,526.23,5.35,"133,592.00","69,116,153.50"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,68,2025-07-21,495.00,503.50,490.00,499.53,0.73,"59,830.00","29,802,948.50"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,69,2025-07-20,502.00,507.00,492.20,495.92,0.61,"82,750.00","41,432,490.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,70,2025-07-17,480.00,497.80,480.00,492.93,3.94,"91,456.00","44,997,042.50"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,71,2025-07-16,470.00,482.50,470.00,474.24,0.03,"39,814.00","18,999,841.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,72,2025-07-15,472.00,479.00,471.00,474.12,0.73,"35,684.00","16,872,314.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,73,2025-07-14,470.00,477.00,470.00,470.70,-1.26,"25,243.00","11,918,072.70"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,74,2025-07-13,487.10,489.90,473.40,476.71,-0.18,"50,554.00","24,278,440.10"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,75,2025-07-10,472.00,481.40,472.00,477.55,0.91,"35,658.00","16,999,049.20"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,76,2025-07-09,470.00,477.80,470.00,473.26,0.66,"41,605.00","19,664,568.00"
cli,Citizen Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/cli,77,2025-07-08,466.10,473.00,466.10,470.18,-0.58,"24,674.00","11,605,592.30"
