symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,1,2019-05-21,22.00,22.00,22.00,22.00,0.00,"328,568.00","7,228,496.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,2,2018-09-26,22.00,22.00,22.00,22.00,0.00,"1,570,175.00","34,543,848.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,3,2018-09-25,22.00,22.00,22.00,22.00,0.00,"564,931.00","12,428,482.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,4,2018-09-23,0.00,0.00,0.00,0.00,0.00,"398,977.00","8,777,494.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,5,2011-06-07,144.00,142.00,140.00,140.00,0.00,"1,631.00","228,420.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,6,2011-05-04,146.00,144.00,144.00,144.00,0.00,20.00,"2,880.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,7,2011-04-27,148.00,146.00,146.00,146.00,0.00,517.00,"75,482.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,8,2011-04-20,150.00,148.00,148.00,148.00,0.00,680.00,"100,640.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,9,2011-04-19,156.00,153.00,150.00,150.00,0.00,"204,289.00","30,686,216.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,10,2011-04-10,150.00,156.00,153.00,156.00,0.00,20.00,"3,090.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,11,2011-04-07,148.00,150.00,150.00,150.00,0.00,10.00,"1,500.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,12,2011-04-06,138.00,148.00,144.00,148.00,0.00,30.00,"4,380.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,13,2011-04-05,126.00,138.00,132.00,138.00,0.00,65.00,"8,850.00"
cmb,Capital Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/cmb,14,2011-03-20,127.00,126.00,126.00,126.00,0.00,500.00,"63,000.00"
