symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,1,2025-11-19,"1,240.00","1,254.00","1,211.10","1,235.00",-0.87,"3,670.00","4,490,258.50"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,2,2025-11-18,"1,213.00","1,256.90","1,213.00","1,245.90",0.72,"7,048.00","8,702,306.40"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,3,2025-11-17,"1,249.00","1,249.00","1,210.00","1,237.00",1.00,"5,303.00","6,506,403.70"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,4,2025-11-16,"1,238.20","1,238.20","1,203.00","1,224.80",-1.08,"4,716.00","5,730,791.60"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,5,2025-11-13,"1,214.00","1,238.20","1,181.10","1,238.20",1.93,"15,129.00","18,162,283.90"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,6,2025-11-12,"1,206.00","1,254.00","1,180.00","1,214.80",-1.24,"13,778.00","16,531,453.20"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,7,2025-11-11,"1,216.00","1,289.00","1,216.00","1,230.00",-0.81,"5,804.00","7,137,917.80"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,8,2025-11-10,"1,230.00","1,259.00","1,212.00","1,240.00",0.02,"8,662.00","10,674,662.00"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,9,2025-11-09,"1,295.70","1,299.20","1,239.80","1,239.80",-4.47,"14,513.00","18,272,029.40"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,10,2025-11-06,"1,325.00","1,325.00","1,280.00","1,297.80",-0.55,"14,470.00","18,697,315.40"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,11,2025-11-05,"1,300.00","1,378.00","1,276.10","1,305.00",0.38,"12,601.00","16,495,243.10"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,12,2025-11-04,"1,340.00","1,340.00","1,300.00","1,300.00",-2.62,"19,829.00","26,004,988.90"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,13,2025-11-03,"1,420.00","1,420.00","1,322.20","1,335.00",-5.92,"33,686.00","45,030,980.20"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,14,2025-11-02,"1,340.00","1,419.00","1,300.00","1,419.00",7.91,"50,755.00","66,879,913.70"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,15,2025-10-30,"1,285.00","1,345.00","1,254.50","1,315.00",1.23,"36,448.00","47,626,780.40"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,16,2025-10-29,"1,355.00","1,360.00","1,290.00","1,299.00",-2.62,"24,326.00","32,348,618.00"
crest,Crest Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/crest,17,2025-10-28,"1,253.50","1,340.00","1,229.00","1,334.00",4.30,"37,147.00","48,270,081.40"
