symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,1,2025-11-19,"1,490.00","1,500.00","1,481.00","1,496.00",-0.27,"1,626.00","2,419,855.10"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,2,2025-11-18,"1,515.90","1,519.00","1,488.70","1,500.00",0.67,"1,161.00","1,742,301.80"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,3,2025-11-17,"1,470.00","1,507.00","1,466.20","1,490.00",0.01,"2,819.00","4,186,538.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,4,2025-11-16,"1,481.00","1,499.00","1,480.00","1,489.90",-0.94,"1,851.00","2,749,006.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,5,2025-11-13,"1,500.00","1,522.90","1,485.00","1,504.00",-0.46,"4,298.00","6,431,004.40"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,6,2025-11-12,"1,560.00","1,560.00","1,511.00","1,511.00",-3.02,"4,587.00","6,992,674.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,7,2025-11-11,"1,590.00","1,660.40","1,556.00","1,558.00",-0.45,"1,738.00","2,752,648.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,8,2025-11-10,"1,585.00","1,585.00","1,529.00","1,565.00",-0.94,"5,887.00","9,120,554.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,9,2025-11-09,"1,600.00","1,600.00","1,549.00","1,579.90",-1.26,"3,283.00","5,166,033.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,10,2025-11-06,"1,600.00","1,604.00","1,569.00","1,600.00",0.06,"8,020.00","12,753,793.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,11,2025-11-05,"1,600.00","1,615.00","1,597.10","1,599.00",-0.06,713.00,"1,141,819.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,12,2025-11-04,"1,577.30","1,675.00","1,577.30","1,600.00",-0.56,"1,646.00","2,633,063.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,13,2025-11-03,"1,599.20","1,615.00","1,599.00","1,609.00",-1.23,"1,761.00","2,829,129.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,14,2025-11-02,"1,580.00","1,632.00","1,580.00","1,629.00",1.69,"1,836.00","2,979,889.60"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,15,2025-10-30,"1,551.00","1,610.00","1,551.00","1,602.00",1.32,"1,870.00","2,968,293.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,16,2025-10-29,"1,575.00","1,590.00","1,541.00","1,581.10",0.39,"1,920.00","3,002,365.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,17,2025-10-28,"1,534.00","1,580.00","1,534.00","1,575.00",3.14,"1,184.00","1,847,674.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,18,2025-10-26,"1,492.00","1,612.00","1,473.00","1,527.00",0.46,"2,743.00","4,092,858.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,19,2025-10-19,"1,502.00","1,530.00","1,502.00","1,520.00",0.90,677.00,"1,024,256.10"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,20,2025-10-16,"1,520.00","1,550.00","1,505.10","1,506.50",-0.23,"1,212.00","1,834,993.90"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,21,2025-10-15,"1,583.00","1,583.00","1,500.10","1,510.00",-2.77,"2,816.00","4,289,679.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,22,2025-10-14,"1,550.00","1,581.00","1,550.00","1,553.00",-1.08,985.00,"1,538,490.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,23,2025-10-13,"1,525.00","1,577.90","1,518.30","1,570.00",1.36,"1,200.00","1,864,794.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,24,2025-10-12,"1,551.00","1,610.00","1,520.00","1,549.00",-1.96,"2,517.00","3,895,635.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,25,2025-10-09,"1,605.00","1,669.80","1,580.00","1,580.00",-0.37,"4,529.00","7,266,631.90"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,26,2025-10-08,"1,590.00","1,610.00","1,555.00","1,585.90",-1.44,"4,459.00","7,009,989.70"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,27,2025-10-07,"1,644.00","1,644.00","1,600.00","1,609.00",-2.13,851.00,"1,369,128.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,28,2025-09-28,"1,639.00","1,675.00","1,615.50","1,644.00",2.11,"1,510.00","2,459,546.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,29,2025-09-25,"1,600.00","1,629.90","1,596.40","1,610.00",0.25,731.00,"1,179,804.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,30,2025-09-24,"1,591.00","1,640.00","1,591.00","1,606.00",-0.86,"1,724.00","2,784,509.90"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,31,2025-09-23,"1,612.90","1,628.00","1,600.00","1,620.00",2.43,"2,971.00","4,775,568.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,32,2025-09-21,"1,532.00","1,620.00","1,500.00","1,581.58",3.03,"3,966.00","6,180,395.10"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,33,2025-09-18,"1,596.30","1,596.30","1,510.00","1,535.00",-5.57,409.00,"630,081.00"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,34,2025-09-08,"1,641.75","1,663.00","1,609.00","1,625.52",-0.99,"1,512.00","2,461,851.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,35,2025-09-07,"1,623.00","1,666.50","1,618.00","1,641.75",1.18,"1,957.00","3,222,750.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,36,2025-09-04,"1,623.00","1,665.00","1,590.00","1,622.64",-0.68,"4,359.00","7,046,501.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,37,2025-09-03,"1,635.10","1,665.00","1,620.00","1,633.76",-0.53,"3,403.00","5,569,874.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,38,2025-09-02,"1,693.87","1,704.00","1,630.00","1,642.39",-3.04,"5,615.00","9,308,147.90"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,39,2025-09-01,"1,700.00","1,730.00","1,683.00","1,693.87",-1.17,"4,142.00","7,044,572.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,40,2025-08-31,"1,711.00","1,833.30","1,695.00","1,713.96",-0.80,"3,503.00","6,019,008.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,41,2025-08-28,"1,752.00","1,784.00","1,726.00","1,727.72",-3.00,"5,543.00","9,625,944.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,42,2025-08-27,"1,800.50","1,829.00","1,755.00","1,781.17",-3.05,"4,489.00","7,966,637.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,43,2025-08-26,"1,723.10","1,860.00","1,723.10","1,837.23",4.53,"6,131.00","10,772,252.50"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,44,2025-08-25,"1,849.00","1,855.00","1,741.10","1,757.56",-3.50,"11,213.00","19,825,884.20"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,45,2025-08-24,"1,705.00","1,879.00","1,705.00","1,821.23",4.74,"4,881.00","8,618,686.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,46,2025-08-21,"1,767.00","1,770.00","1,727.00","1,738.82",-1.79,"4,460.00","7,754,914.80"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,47,2025-08-20,"1,771.00","1,819.00","1,749.00","1,770.50",-1.09,"4,064.00","7,145,039.90"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,48,2025-08-19,"1,758.00","1,850.00","1,690.00","1,790.00",-0.21,"3,748.00","6,654,169.40"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,49,2025-08-18,"1,783.41","1,814.80","1,755.10","1,793.83",0.58,"4,903.00","8,765,097.80"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,50,2025-08-17,"1,799.10","1,833.90","1,770.00","1,783.41",-2.05,"5,902.00","10,584,969.30"
cycl,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/cycl,51,2025-08-14,"1,772.00","1,905.00","1,771.00","1,820.81",1.33,"5,826.00","10,500,422.50"
