symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,1,2025-11-12,109.00,109.00,109.00,109.00,0.00,3.00,321.00
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,2,2025-11-02,109.00,109.00,109.00,109.00,0.93,"31,607.00","4,654,007.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,3,2025-10-09,108.00,108.00,108.00,108.00,0.00,"51,926.00","5,608,008.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,4,2025-05-06,111.00,111.00,111.00,111.00,0.00,"40,000.00","4,440,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,5,2025-02-06,116.00,116.00,116.00,116.00,-1.86,"228,807.00","26,541,612.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,6,2025-01-20,118.20,118.20,118.20,118.20,-1.99,"200,000.00","23,640,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,7,2025-01-13,120.60,120.60,120.60,120.60,-1.95,"200,000.00","24,120,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,8,2024-12-31,123.00,123.00,123.00,123.00,0.00,"29,440.00","3,621,120.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,9,2024-09-29,102.00,102.00,102.00,102.00,0.00,"220,000.00","22,440,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,10,2024-08-29,102.00,102.00,102.00,102.00,0.00,"105,000.00","10,710,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,11,2024-07-04,102.00,102.00,102.00,102.00,0.00,"56,580.00","5,771,160.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,12,2024-07-03,102.00,102.00,102.00,102.00,-2.86,"100,000.00","10,200,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,13,2024-04-02,105.00,105.00,105.00,105.00,2.94,"50,000.00","5,250,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,14,2024-03-27,102.00,102.00,102.00,102.00,-4.67,"70,490.00","7,189,980.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,15,2024-01-08,107.00,107.00,107.00,107.00,7.00,"4,490.00","480,430.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,16,2024-01-02,100.00,100.00,100.00,100.00,0.00,"4,490.00","449,000.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,17,2023-12-28,125.00,125.00,125.00,125.00,0.00,"6,317.00","789,625.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,18,2023-10-01,108.00,108.00,108.00,108.00,8.00,"34,337.00","3,708,396.00"
czbilp,Citizens Bank International Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/czbilp,19,2023-09-24,100.00,100.00,100.00,100.00,0.00,"500,000.00","67,500,000.00"
