symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,1,2019-12-29,103.00,103.00,102.00,102.00,43.66,"82,538.00","8,440,216.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,2,2019-12-25,71.00,71.00,71.00,71.00,-31.07,"99,245.00","7,046,395.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,3,2019-11-03,103.00,103.00,103.00,103.00,-1.90,"139,600.00","14,378,800.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,4,2019-10-03,105.00,105.00,105.00,105.00,0.00,"26,626.00","2,795,730.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,5,2019-09-02,105.00,105.00,105.00,105.00,40.00,"1,318.00","138,390.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,6,2019-08-22,75.00,75.00,75.00,75.00,-28.57,"131,498.00","9,862,350.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,7,2019-04-09,105.00,105.00,105.00,105.00,0.00,"1,972.00","207,060.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,8,2018-09-04,105.00,105.00,105.00,105.00,0.00,"9,000.00","945,000.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,9,2018-06-20,105.00,105.00,105.00,105.00,0.00,"1,267.00","133,035.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,10,2018-05-07,105.00,105.00,105.00,105.00,0.00,"11,532.00","1,210,860.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,11,2018-04-24,105.00,105.00,105.00,105.00,0.00,"17,000.00","1,785,000.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,12,2018-04-17,105.00,105.00,105.00,105.00,0.00,"131,498.00","13,807,290.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,13,2017-10-16,155.00,152.00,152.00,152.00,0.00,"1,267.00","192,584.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,14,2016-12-22,181.00,181.00,181.00,181.00,0.00,"9,795.00","1,772,895.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,15,2016-12-18,170.00,181.00,172.00,181.00,0.00,"36,674.00","6,592,406.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,16,2016-12-05,170.00,170.00,170.00,170.00,0.00,"4,672.00","794,240.00"
dbblpo,Deva Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/dbblpo,17,2016-07-27,160.00,160.00,160.00,160.00,0.00,"60,671.00","9,707,360.00"
