symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,1,2025-11-19,840.10,853.90,840.10,841.20,-0.57,"3,209.00","2,708,100.60"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,2,2025-11-18,840.00,852.80,837.00,846.00,1.18,"5,565.00","4,725,510.00"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,3,2025-11-17,836.00,847.00,836.00,836.10,-0.59,"2,506.00","2,112,829.70"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,4,2025-11-16,833.00,850.00,833.00,841.10,0.13,"7,758.00","6,544,739.00"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,5,2025-11-13,850.00,854.00,835.10,840.00,-0.36,"5,281.00","4,441,166.00"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,6,2025-11-12,857.90,859.50,842.50,843.00,-0.82,"5,471.00","4,627,934.10"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,7,2025-11-11,846.00,855.00,845.00,850.00,0.47,"7,209.00","6,117,061.70"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,8,2025-11-10,840.00,855.00,840.00,846.00,1.68,"15,670.00","13,238,187.60"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,9,2025-11-09,825.20,840.90,825.20,832.00,-1.14,"1,857.00","1,549,218.00"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,10,2025-11-06,844.00,848.00,839.00,841.60,0.74,"9,304.00","7,838,361.10"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,11,2025-11-05,830.00,848.90,830.00,835.40,-0.67,"6,707.00","5,600,356.50"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,12,2025-11-04,861.00,861.00,841.00,841.00,-1.06,"5,412.00","4,567,177.90"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,13,2025-11-03,852.00,864.00,842.80,850.00,-0.23,"7,558.00","6,442,304.60"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,14,2025-11-02,835.00,865.00,825.10,852.00,1.44,"9,862.00","8,392,334.50"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,15,2025-10-30,830.00,840.00,819.20,839.90,1.19,"3,246.00","2,701,406.60"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,16,2025-10-29,835.00,850.00,830.00,830.00,0.24,"4,602.00","3,854,656.80"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,17,2025-10-28,819.50,834.00,815.00,828.00,1.85,"9,234.00","7,628,730.20"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,18,2025-10-26,821.90,821.90,805.00,813.00,0.37,"1,657.00","1,346,309.20"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,19,2025-10-19,800.70,818.00,793.00,810.00,0.50,"2,295.00","1,846,508.40"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,20,2025-10-16,804.10,818.00,804.00,806.00,-1.35,"4,831.00","3,898,922.90"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,21,2025-10-15,818.00,818.00,804.00,817.00,-0.12,"2,420.00","1,955,195.00"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,22,2025-10-14,815.00,829.70,799.10,818.00,-1.45,"10,324.00","8,340,231.90"
ddbl,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/ddbl,23,2025-10-13,821.90,831.00,806.00,830.00,0.99,"6,551.00","5,346,285.60"
