symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,1,2025-11-19,551.90,595.20,537.00,595.20,10.00,"122,135.00","70,292,740.50"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,2,2025-11-18,545.80,555.00,538.10,541.10,0.39,"44,476.00","24,290,301.30"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,3,2025-11-17,534.40,554.00,510.00,539.00,2.86,"60,615.00","31,992,259.50"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,4,2025-11-16,558.00,558.00,523.00,524.00,-6.09,"55,621.00","29,451,514.40"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,5,2025-11-13,520.00,574.00,502.00,558.00,6.88,"56,540.00","30,759,008.80"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,6,2025-11-12,580.00,580.00,520.00,522.10,-8.72,"123,835.00","65,747,144.00"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,7,2025-11-11,545.80,588.70,545.80,572.00,6.88,"149,771.00","85,254,641.90"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,8,2025-11-10,491.20,535.20,491.20,535.20,9.99,"3,280.00","1,754,256.00"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,9,2025-11-09,451.00,486.60,451.00,486.60,9.99,970.00,"470,413.00"
dhel,Daramkhola Hydro Energy Limited,Hydropower,https://www.sharesansar.com/company/dhel,10,2025-11-06,402.20,442.40,402.20,442.40,10.00,460.00,"201,909.00"
