symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,1,2025-11-19,304.90,309.40,296.00,299.90,0.30,"10,800.00","3,235,683.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,2,2025-11-18,288.10,306.00,288.10,299.00,2.75,"30,484.00","9,156,171.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,3,2025-11-17,286.20,295.00,286.20,291.00,0.10,"13,243.00","3,848,671.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,4,2025-11-16,285.20,296.79,281.00,290.70,-0.10,"4,445.00","1,287,109.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,5,2025-11-13,283.20,300.90,283.20,291.00,1.04,"12,264.00","3,594,542.60"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,6,2025-11-12,286.20,291.90,286.20,288.00,-1.37,"6,564.00","1,896,499.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,7,2025-11-11,283.00,295.80,283.00,292.00,1.39,"16,760.00","4,882,807.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,8,2025-11-10,292.70,292.70,284.00,288.00,0.35,"4,702.00","1,347,209.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,9,2025-11-09,287.70,300.00,283.20,287.00,-2.21,"4,864.00","1,408,684.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,10,2025-11-06,285.20,301.00,280.00,293.50,0.86,"13,240.00","3,924,467.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,11,2025-11-05,295.90,296.00,286.50,291.00,-0.34,"3,721.00","1,079,613.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,12,2025-11-04,293.70,293.70,285.00,292.00,-1.95,"5,128.00","1,485,442.60"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,13,2025-11-03,307.00,307.00,292.00,297.80,-1.19,"7,973.00","2,356,646.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,14,2025-11-02,292.00,304.00,291.10,301.40,1.48,"18,150.00","5,441,649.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,15,2025-10-30,291.20,300.00,286.20,297.00,1.92,"12,178.00","3,583,782.40"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,16,2025-10-29,288.00,296.90,284.00,291.40,-0.03,"12,620.00","3,629,878.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,17,2025-10-28,280.40,296.90,278.00,291.50,1.92,"7,602.00","2,188,408.70"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,18,2025-10-26,278.00,286.00,273.00,286.00,1.06,"2,862.00","798,342.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,19,2025-10-19,290.00,290.00,280.00,283.00,-0.70,"2,741.00","777,326.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,20,2025-10-16,282.00,297.80,276.00,285.00,-0.70,"7,509.00","2,102,651.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,21,2025-10-15,290.00,299.50,279.10,287.00,-2.65,"5,269.00","1,517,798.20"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,22,2025-10-14,305.50,305.90,274.80,294.80,-2.03,"15,721.00","4,508,261.50"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,23,2025-10-13,280.00,309.00,278.40,300.90,6.70,"9,364.00","2,684,011.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,24,2025-10-12,289.00,289.00,278.10,282.00,-2.42,"6,386.00","1,802,620.20"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,25,2025-10-09,293.70,310.00,288.00,289.00,0.35,"9,676.00","2,841,300.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,26,2025-10-08,286.30,292.00,286.30,288.00,-1.03,"6,685.00","1,925,904.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,27,2025-10-07,294.00,298.20,288.70,291.00,-3.00,"4,213.00","1,231,444.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,28,2025-09-28,301.90,307.00,296.00,300.00,1.35,"2,756.00","827,337.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,29,2025-09-25,294.00,304.00,293.10,296.00,-1.33,"8,063.00","2,387,440.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,30,2025-09-24,297.20,302.00,295.00,300.00,-0.86,"5,399.00","1,603,210.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,31,2025-09-23,300.00,303.00,297.00,302.60,1.21,"16,749.00","5,037,848.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,32,2025-09-21,272.50,299.70,265.00,298.99,9.72,"30,233.00","8,504,926.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,33,2025-09-18,278.00,278.00,272.50,272.50,-3.92,70.00,"19,185.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,34,2025-09-08,285.40,295.00,283.00,283.62,-2.21,"8,045.00","2,312,515.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,35,2025-09-07,298.90,299.50,288.10,290.04,-1.17,"10,265.00","3,018,339.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,36,2025-09-04,305.00,305.90,291.30,293.48,-3.45,"21,735.00","6,422,683.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,37,2025-09-03,310.00,310.00,303.30,303.96,-0.56,"6,316.00","1,921,964.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,38,2025-09-02,303.50,315.00,303.50,305.66,-1.30,"10,463.00","3,203,638.50"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,39,2025-09-01,310.00,314.00,308.00,309.68,-0.98,"8,965.00","2,769,971.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,40,2025-08-31,318.00,318.00,308.00,312.74,-0.46,"18,585.00","5,815,569.60"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,41,2025-08-28,314.00,320.00,314.00,314.18,-1.46,"10,752.00","3,389,682.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,42,2025-08-27,311.00,322.90,310.00,318.84,2.29,"13,236.00","4,184,570.70"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,43,2025-08-26,310.00,313.00,308.00,311.71,0.16,"5,902.00","1,829,765.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,44,2025-08-25,309.00,317.90,306.00,311.20,-0.17,"13,240.00","4,108,937.60"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,45,2025-08-24,322.00,328.00,310.00,311.74,-3.25,"26,109.00","8,180,432.30"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,46,2025-08-21,326.00,337.60,320.00,322.22,-0.98,"30,222.00","9,780,813.40"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,47,2025-08-20,315.00,332.00,315.00,325.41,1.74,"36,697.00","11,953,528.70"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,48,2025-08-19,317.00,322.00,314.00,319.85,1.19,"16,583.00","5,266,457.20"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,49,2025-08-18,306.10,324.00,306.10,316.10,3.19,"20,777.00","6,494,414.10"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,50,2025-08-17,308.00,317.10,305.20,306.34,0.47,"11,123.00","3,421,867.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,51,2025-08-14,305.10,309.00,303.00,304.90,-0.16,"13,530.00","4,131,314.50"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,52,2025-08-13,308.00,312.00,303.30,305.40,-0.93,"16,222.00","4,954,298.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,53,2025-08-12,307.10,313.90,307.10,308.27,-1.12,"11,446.00","3,543,913.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,54,2025-08-11,324.00,324.00,310.00,311.77,-2.73,"25,828.00","8,146,331.20"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,55,2025-08-07,326.00,326.00,317.20,320.52,-0.20,"20,304.00","6,512,219.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,56,2025-08-06,320.10,325.00,320.00,321.17,0.43,"10,278.00","3,304,959.80"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,57,2025-08-05,330.00,330.00,318.20,319.79,-1.32,"8,311.00","2,681,428.50"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,58,2025-08-04,328.90,335.00,317.00,324.08,0.45,"17,744.00","5,678,790.90"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,59,2025-08-03,325.50,329.90,322.00,322.64,-1.56,"17,025.00","5,526,939.50"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,60,2025-07-31,326.50,339.20,326.00,327.76,-1.45,"18,947.00","6,219,905.00"
dhpl,Dibyashwari Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/dhpl,61,2025-07-30,338.00,343.00,331.50,332.58,-2.59,"26,398.00","8,835,760.50"
