symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,1,2025-11-19,"1,321.00","1,326.00","1,320.00","1,326.00",-0.30,382.00,"504,479.70"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,2,2025-11-18,"1,359.00","1,359.00","1,316.00","1,330.00",-0.37,318.00,"423,944.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,3,2025-11-17,"1,292.00","1,335.00","1,292.00","1,335.00",1.60,204.00,"268,120.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,4,2025-11-16,"1,308.00","1,315.00","1,308.00","1,314.00",-0.83,404.00,"529,347.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,5,2025-11-13,"1,306.10","1,342.00","1,305.10","1,325.00",-0.45,310.00,"409,470.30"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,6,2025-11-12,"1,399.80","1,399.80","1,291.80","1,331.00",-3.48,"1,017.00","1,347,811.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,7,2025-11-11,"1,352.00","1,379.00","1,350.00","1,379.00",0.80,"1,000.00","1,365,757.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,8,2025-11-10,"1,421.00","1,421.00","1,365.00","1,368.00",-5.66,797.00,"1,097,083.20"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,9,2025-11-09,"1,365.00","1,450.00","1,340.10","1,450.00",6.23,"1,099.00","1,514,192.60"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,10,2025-11-06,"1,350.00","1,453.50","1,332.00","1,365.00",1.11,"1,413.00","1,965,511.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,11,2025-11-05,"1,333.00","1,366.80","1,323.00","1,350.00",1.28,"1,012.00","1,365,085.40"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,12,2025-11-04,"1,373.00","1,428.00","1,325.00","1,333.00",-1.04,"1,135.00","1,521,998.70"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,13,2025-11-03,"1,400.00","1,400.00","1,347.00","1,347.00",-4.47,"1,388.00","1,899,034.50"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,14,2025-11-02,"1,330.00","1,463.00","1,330.00","1,410.00",6.01,"1,433.00","2,001,458.30"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,15,2025-10-30,"1,294.00","1,423.40","1,290.00","1,330.10",2.79,"1,571.00","2,085,616.50"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,16,2025-10-29,"1,309.80","1,310.00","1,294.00","1,294.00",0.70,"2,071.00","2,690,359.90"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,17,2025-10-28,"1,266.00","1,290.00","1,242.00","1,285.00",3.49,"1,290.00","1,644,671.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,18,2025-10-26,"1,268.00","1,268.00","1,241.70","1,241.70",-2.06,"1,822.00","2,297,170.60"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,19,2025-10-19,"1,240.00","1,272.00","1,240.00","1,267.80",1.62,"1,049.00","1,308,068.60"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,20,2025-10-16,"1,275.10","1,286.00","1,247.60","1,247.60",-3.88,"1,922.00","2,421,010.90"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,21,2025-10-15,"1,305.00","1,319.00","1,296.00","1,298.00",-0.54,508.00,"659,056.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,22,2025-10-14,"1,359.00","1,359.00","1,305.00","1,305.00",-3.97,"1,242.00","1,640,072.50"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,23,2025-10-13,"1,300.00","1,359.30","1,281.00","1,359.00",2.57,"1,854.00","2,463,159.80"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,24,2025-10-12,"1,369.90","1,369.90","1,305.00","1,325.00",-2.21,"1,500.00","2,015,982.00"
dlbs,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/dlbs,25,2025-10-09,"1,371.90","1,479.00","1,350.00","1,355.00",0.74,"1,858.00","2,538,151.50"
