symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,1,2025-11-19,647.00,647.00,637.70,638.00,-0.31,"11,554.00","7,386,288.50"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,2,2025-11-18,636.10,646.00,636.00,640.00,0.79,"25,395.00","16,251,685.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,3,2025-11-17,633.00,636.00,633.00,635.00,0.47,"15,079.00","9,581,046.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,4,2025-11-16,631.00,636.00,630.00,632.00,0.16,"17,606.00","11,115,576.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,5,2025-11-13,638.00,638.00,630.00,631.00,-0.47,"23,821.00","15,042,049.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,6,2025-11-12,635.00,639.00,630.10,634.00,0.11,"38,337.00","24,278,381.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,7,2025-11-11,638.00,639.00,631.00,633.30,0.05,"20,058.00","12,731,658.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,8,2025-11-10,631.10,641.00,631.00,633.00,0.72,"23,731.00","15,070,136.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,9,2025-11-09,630.00,632.00,625.10,628.50,0.88,"22,341.00","14,050,848.10"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,10,2025-11-06,625.00,636.00,623.00,623.00,-0.83,"31,406.00","19,682,467.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,11,2025-11-05,628.00,634.50,628.00,628.20,-0.44,"24,430.00","15,390,983.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,12,2025-11-04,635.00,635.00,629.50,631.00,-0.32,"18,856.00","11,898,079.10"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,13,2025-11-03,636.00,639.00,624.00,633.00,0.46,"23,526.00","14,886,368.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,14,2025-11-02,637.50,637.50,623.00,630.10,0.82,"26,776.00","16,892,055.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,15,2025-10-30,620.50,629.80,619.00,625.00,0.00,"28,412.00","17,708,937.10"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,16,2025-10-29,633.00,633.00,625.00,625.00,-0.79,"12,086.00","7,598,478.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,17,2025-10-28,627.00,632.30,620.00,630.00,0.82,"20,842.00","13,107,009.50"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,18,2025-10-26,620.00,632.00,620.00,624.90,-0.97,"26,398.00","16,441,978.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,19,2025-10-19,628.00,639.00,628.00,631.00,-1.42,"27,253.00","17,292,111.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,20,2025-10-16,636.00,642.00,630.00,640.10,0.49,"49,689.00","31,556,507.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,21,2025-10-15,643.90,643.90,634.00,637.00,-0.31,"32,284.00","20,568,992.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,22,2025-10-14,643.00,649.90,636.00,639.00,-0.47,"30,565.00","19,522,076.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,23,2025-10-13,665.00,665.00,632.00,642.00,-1.53,"58,961.00","37,830,211.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,24,2025-10-12,670.00,672.00,650.00,652.00,-3.61,"149,895.00","98,216,465.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,25,2025-10-09,724.80,738.00,716.00,717.00,0.90,"195,074.00","140,544,859.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,26,2025-10-08,720.00,720.00,710.60,710.60,-1.31,"79,337.00","56,635,364.50"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,27,2025-10-07,724.00,724.00,710.00,720.00,0.00,"89,590.00","64,430,158.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,28,2025-09-28,715.00,722.00,713.00,720.00,0.73,"27,218.00","19,556,486.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,29,2025-09-25,705.00,716.00,702.00,714.80,0.68,"21,113.00","14,992,798.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,30,2025-09-24,712.00,720.00,708.30,710.00,-0.28,"55,779.00","39,804,810.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,31,2025-09-23,705.00,719.00,701.10,712.00,1.00,"48,632.00","34,611,223.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,32,2025-09-21,672.00,717.00,671.00,704.96,5.05,"200,039.00","139,831,095.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,33,2025-09-18,698.00,698.00,656.60,671.10,-5.69,"17,943.00","11,976,122.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,34,2025-09-08,724.00,724.00,703.90,711.56,-1.70,"90,889.00","64,872,426.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,35,2025-09-07,742.00,742.00,715.00,723.88,-2.32,"307,228.00","221,592,043.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,36,2025-09-04,744.00,753.90,737.00,741.06,-1.24,"125,233.00","93,152,532.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,37,2025-09-03,760.00,762.00,748.20,750.39,-1.45,"74,732.00","56,279,892.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,38,2025-09-02,780.60,780.60,760.00,761.41,-0.51,"79,636.00","60,946,260.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,39,2025-09-01,766.70,777.00,747.10,765.33,1.81,"319,582.00","244,488,803.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,40,2025-08-31,746.10,754.00,740.10,751.71,0.54,"169,668.00","127,118,094.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,41,2025-08-28,745.00,755.00,745.00,747.67,-0.52,"80,293.00","60,081,358.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,42,2025-08-27,749.00,753.00,746.20,751.56,0.42,"95,651.00","71,777,378.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,43,2025-08-26,754.00,754.00,734.00,748.45,0.74,"110,366.00","82,556,555.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,44,2025-08-25,738.90,753.00,722.00,742.98,1.37,"108,125.00","79,972,344.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,45,2025-08-24,748.00,754.00,729.00,732.96,-1.98,"104,700.00","77,188,872.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,46,2025-08-21,740.00,750.00,735.90,747.77,1.17,"170,311.00","126,693,728.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,47,2025-08-20,739.50,741.00,728.00,739.14,0.63,"130,752.00","96,462,190.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,48,2025-08-19,730.00,736.00,721.00,734.54,1.22,"77,985.00","57,151,302.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,49,2025-08-18,724.90,730.00,718.30,725.71,0.81,"83,163.00","60,266,060.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,50,2025-08-17,722.00,725.00,710.40,719.87,0.58,"108,739.00","78,129,292.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,51,2025-08-14,722.00,722.00,714.00,715.69,0.08,"84,348.00","60,566,064.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,52,2025-08-13,714.00,719.00,712.00,715.14,0.80,"79,983.00","57,222,944.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,53,2025-08-12,715.00,718.00,701.10,709.49,-0.01,"143,996.00","101,772,278.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,54,2025-08-11,721.00,735.50,708.00,709.53,0.28,"196,948.00","140,969,023.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,55,2025-08-07,701.00,717.00,701.00,707.57,0.27,"71,174.00","50,495,190.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,56,2025-08-06,703.80,713.90,703.80,705.66,-0.63,"46,603.00","33,000,320.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,57,2025-08-05,725.00,725.00,705.00,710.14,-0.94,"81,510.00","58,069,861.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,58,2025-08-04,715.00,719.90,700.00,716.91,0.83,"109,388.00","77,693,168.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,59,2025-08-03,731.40,731.40,710.10,711.01,-0.85,"98,110.00","70,049,148.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,60,2025-07-31,715.00,729.30,713.00,717.09,-0.70,"156,655.00","112,588,247.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,61,2025-07-30,749.90,749.90,719.00,722.16,-1.94,"125,621.00","91,433,913.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,62,2025-07-29,740.00,750.00,734.00,736.48,0.02,"173,450.00","128,289,147.60"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,63,2025-07-28,750.00,750.00,728.00,736.35,-1.15,"205,878.00","151,162,154.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,64,2025-07-27,756.00,760.00,742.00,744.89,-1.56,"366,891.00","274,786,215.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,65,2025-07-24,766.00,766.00,745.10,756.72,-1.06,"264,650.00","199,156,713.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,66,2025-07-23,770.00,770.00,750.00,764.84,0.12,"292,455.00","221,828,784.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,67,2025-07-22,745.00,775.00,745.00,763.92,2.51,"283,754.00","215,831,624.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,68,2025-07-21,722.00,750.00,722.00,745.19,1.34,"283,558.00","209,983,681.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,69,2025-07-20,735.00,747.00,725.10,735.33,0.60,"283,091.00","209,195,095.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,70,2025-07-17,702.00,735.00,695.00,730.96,4.19,"231,952.00","166,604,695.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,71,2025-07-16,705.00,707.90,692.10,701.56,1.01,"380,520.00","265,780,976.00"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,72,2025-07-15,688.00,696.00,683.00,694.53,0.71,"80,041.00","55,235,389.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,73,2025-07-14,700.00,700.00,682.00,689.66,-1.51,"116,806.00","80,290,585.70"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,74,2025-07-13,683.60,704.00,680.00,700.22,4.47,"358,057.00","248,585,581.50"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,75,2025-07-10,666.00,678.00,660.80,670.29,1.46,"108,835.00","72,895,371.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,76,2025-07-09,665.00,665.00,656.00,660.66,0.47,"64,837.00","42,820,684.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,77,2025-07-08,667.90,667.90,652.00,657.54,0.37,"78,838.00","51,808,586.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,78,2025-07-07,664.80,666.00,653.00,655.14,-0.68,"118,386.00","78,175,719.80"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,79,2025-07-06,655.00,662.80,648.00,659.61,0.42,"73,221.00","48,122,376.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,80,2025-07-03,645.10,662.90,640.30,656.82,1.08,"100,633.00","65,824,785.40"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,81,2025-07-02,645.10,651.00,644.10,649.79,0.99,"43,324.00","28,026,889.20"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,82,2025-07-01,642.50,647.90,640.10,643.42,0.14,"29,297.00","18,815,603.30"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,83,2025-06-30,650.00,650.00,635.00,642.50,-0.21,"22,403.00","14,385,231.50"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,84,2025-06-29,640.00,645.00,636.10,643.87,1.37,"22,263.00","14,253,815.90"
ebl,Everest Bank Limited,Commercial Bank,https://www.sharesansar.com/company/ebl,85,2025-06-26,635.00,637.00,634.00,635.17,-0.02,"28,083.00","17,834,016.90"
