symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,1,2025-11-19,"1,075.00","1,076.00","1,075.00","1,076.00",-1.28,175.00,"188,200.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,2,2025-11-18,"1,108.00","1,108.00","1,090.00","1,090.00",-3.54,55.00,"60,400.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,3,2025-11-17,"1,101.00","1,130.00","1,101.00","1,130.00",2.63,769.00,"868,963.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,4,2025-11-16,"1,100.00","1,101.00","1,100.00","1,101.00",-0.18,325.00,"357,800.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,5,2025-11-13,"1,082.00","1,103.00","1,082.00","1,103.00",1.83,50.00,"54,625.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,6,2025-11-12,"1,069.00","1,069.00","1,069.00","1,083.20",2.00,59.00,"63,198.80"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,7,2025-11-10,"1,062.00","1,062.00","1,062.00","1,062.00",-1.76,50.00,"53,100.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,8,2025-11-09,"1,081.00","1,081.00","1,081.00","1,081.00",-1.82,25.00,"27,025.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,9,2025-11-06,"1,080.00","1,101.00","1,067.00","1,101.00",0.27,75.00,"81,200.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,10,2025-11-05,"1,098.00","1,098.00","1,098.00","1,098.00",-1.96,20.00,"21,960.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,11,2025-11-04,"1,120.00","1,120.00","1,120.00","1,120.00",-0.62,25.00,"28,000.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,12,2025-11-03,"1,100.00","1,127.00","1,100.00","1,127.00",1.99,"1,734.00","1,951,663.00"
ebld91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,https://www.sharesansar.com/company/ebld91,13,2025-11-02,"1,100.00","1,105.00","1,090.00","1,105.00",0.45,255.00,"279,375.00"
