symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,1,2025-11-18,"1,110.00","1,110.00","1,110.00","1,110.00",1.83,30.00,"33,300.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,2,2025-11-16,"1,090.00","1,090.00","1,090.00","1,090.00",0.00,25.00,"27,250.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,3,2025-11-13,"1,090.00","1,090.00","1,090.00","1,090.00",1.87,25.00,"27,250.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,4,2025-11-05,"1,070.00","1,070.00","1,070.00","1,070.00",-1.47,27.00,"28,890.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,5,2025-11-04,"1,086.00","1,086.00","1,086.00","1,086.00",-1.99,25.00,"27,150.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,6,2025-11-03,"1,054.00","1,108.00","1,054.00","1,108.00",5.12,254.00,"281,279.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,7,2025-10-28,"1,054.00","1,054.00","1,054.00","1,054.00",-1.86,25.00,"26,350.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,8,2025-10-19,"1,070.00","1,074.00","1,070.00","1,074.00",-1.47,75.00,"80,450.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,9,2025-10-13,"1,045.00","1,104.00","1,045.00","1,090.00",4.31,385.00,"423,923.10"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,10,2025-10-12,"1,045.00","1,045.00","1,045.00","1,045.00",0.29,25.00,"26,125.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,11,2025-10-07,"1,062.00","1,062.30","1,041.10","1,042.00",0.05,135.00,"142,891.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,12,2025-09-28,"1,041.50","1,041.50","1,041.50","1,041.50",1.87,100.00,"104,150.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,13,2025-09-25,"1,022.40","1,022.40","1,022.40","1,022.40",2.00,25.00,"25,560.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,14,2025-09-23,"1,002.40","1,002.40","1,002.40","1,002.40",-0.78,25.00,"25,060.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,15,2025-09-07,"1,006.10","1,006.10","1,006.10","1,010.30",0.42,3.00,"3,030.90"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,16,2025-09-04,"1,006.10","1,006.10","1,006.10","1,006.10",0.31,25.00,"25,152.50"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,17,2025-09-03,"1,003.00","1,003.00","1,003.00","1,003.00",-0.69,25.00,"25,075.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,18,2025-09-01,"1,010.00","1,010.00","1,010.00","1,010.00",0.00,25.00,"25,250.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,19,2025-08-28,"1,010.00","1,010.00","1,010.00","1,010.00",0.55,25.00,"25,250.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,20,2025-08-25,"1,004.50","1,004.50","1,004.50","1,004.50",0.00,25.00,"25,112.50"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,21,2025-08-18,"1,004.50","1,004.50","1,004.50","1,004.50",-2.00,25.00,"25,112.50"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,22,2025-08-13,"1,010.00","1,025.00","1,010.00","1,025.00",2.90,50.00,"50,875.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,23,2025-08-12,996.10,996.10,996.10,996.10,-0.89,25.00,"24,902.50"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,24,2025-08-07,"1,005.00","1,005.00","1,005.00","1,005.00",-0.01,25.00,"25,125.00"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,25,2025-08-03,"1,005.10","1,005.10","1,005.10","1,005.10",0.00,25.00,"25,127.50"
ebleb89,7.5% Everest Bank Limited Urja Rinpatra (Energy Bond) 2089,Corporate Debentures,https://www.sharesansar.com/company/ebleb89,26,2025-07-30,"1,010.00","1,010.00","1,005.10","1,005.10",-0.49,50.00,"50,377.50"
