symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,1,2025-11-19,600.00,606.00,594.10,594.10,-1.48,"12,004.00","7,175,127.70"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,2,2025-11-18,600.00,608.00,588.00,603.00,1.52,"11,296.00","6,777,132.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,3,2025-11-17,586.00,599.90,585.30,594.00,1.71,"13,857.00","8,159,426.80"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,4,2025-11-16,586.10,598.00,584.00,584.00,-0.36,"3,688.00","2,173,981.60"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,5,2025-11-13,573.40,596.30,573.40,586.10,0.17,"10,482.00","6,138,034.70"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,6,2025-11-12,591.00,614.00,584.00,585.10,-2.97,"18,313.00","10,835,980.20"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,7,2025-11-11,584.20,619.00,584.20,603.00,1.16,"3,076.00","1,836,117.10"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,8,2025-11-10,581.20,640.00,581.20,596.10,0.52,"11,171.00","6,679,772.40"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,9,2025-11-09,600.80,666.00,588.90,593.00,-3.26,"9,419.00","5,715,411.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,10,2025-11-06,625.00,625.00,605.10,613.00,-2.39,"30,571.00","18,787,397.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,11,2025-11-05,607.40,665.00,607.40,628.00,1.34,"47,547.00","29,386,289.10"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,12,2025-11-04,653.70,653.70,604.10,619.70,-7.09,"20,369.00","12,654,306.90"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,13,2025-11-03,600.00,667.00,600.00,667.00,9.98,"81,822.00","50,463,949.70"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,14,2025-11-02,592.00,607.90,590.10,606.50,0.75,"22,372.00","13,495,463.90"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,15,2025-10-30,596.00,607.70,595.00,602.00,-0.17,"17,376.00","10,383,968.70"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,16,2025-10-29,605.70,666.00,593.60,603.00,-2.43,"22,621.00","13,707,845.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,17,2025-10-28,568.90,618.00,568.90,618.00,9.98,"16,486.00","9,673,990.30"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,18,2025-10-26,553.50,563.00,545.00,561.90,-0.37,"2,220.00","1,228,796.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,19,2025-10-19,567.40,567.40,547.10,564.00,1.38,"8,999.00","5,007,000.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,20,2025-10-16,562.40,572.00,555.00,556.30,-3.05,"6,890.00","3,835,125.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,21,2025-10-15,579.90,581.60,556.00,573.80,-0.07,"1,855.00","1,049,931.90"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,22,2025-10-14,569.00,574.20,557.80,574.20,0.91,"8,283.00","4,655,351.80"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,23,2025-10-13,568.00,572.00,561.40,569.00,2.15,"7,622.00","4,304,663.70"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,24,2025-10-12,576.60,577.00,550.00,557.00,-5.27,"12,994.00","7,248,148.60"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,25,2025-10-09,601.60,613.60,575.10,588.00,-0.32,"8,692.00","5,126,660.60"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,26,2025-10-08,608.90,621.00,560.00,589.90,-1.19,"21,186.00","12,168,716.90"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,27,2025-10-07,612.60,613.10,596.30,597.00,-4.48,"7,066.00","4,273,437.10"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,28,2025-09-28,615.10,625.00,615.00,625.00,1.63,"8,123.00","5,028,656.10"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,29,2025-09-25,645.70,645.70,610.00,615.00,-3.00,"4,558.00","2,828,304.00"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,30,2025-09-24,615.00,677.00,615.00,634.00,1.44,"69,289.00","43,268,939.20"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,31,2025-09-23,616.50,637.00,605.00,625.00,3.20,"10,312.00","6,367,327.40"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,32,2025-09-21,580.00,617.00,577.20,605.63,3.00,"33,219.00","19,850,918.60"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,33,2025-09-18,600.00,600.00,588.00,588.00,-3.96,"1,303.00","766,764.00"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,34,2025-09-08,623.00,629.80,611.20,612.23,-1.29,"71,275.00","44,205,513.00"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,35,2025-09-07,618.10,630.90,616.00,620.23,-0.17,"7,198.00","4,496,357.50"
edbl,Excel Development Bank Limited,Development Bank,https://www.sharesansar.com/company/edbl,36,2025-09-04,618.50,630.70,618.10,621.27,-0.37,"10,148.00","6,297,896.90"
