symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,1,2025-11-19,428.40,428.40,411.30,423.00,0.71,"76,330.00","31,816,932.40"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,2,2025-11-18,408.00,431.00,408.00,420.00,1.01,"53,418.00","22,451,110.40"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,3,2025-11-17,416.00,421.00,411.40,415.80,-1.70,"88,467.00","36,830,551.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,4,2025-11-16,417.00,431.00,415.00,423.00,1.44,"146,592.00","62,073,847.70"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,5,2025-11-13,433.00,433.00,409.00,417.00,-3.70,"56,787.00","23,765,988.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,6,2025-11-12,446.00,446.00,428.00,433.00,-1.81,"54,486.00","23,627,350.90"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,7,2025-11-11,420.00,450.00,407.00,441.00,6.29,"218,500.00","94,812,529.90"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,8,2025-11-10,397.90,415.00,395.00,414.90,4.27,"107,571.00","43,355,566.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,9,2025-11-09,398.40,403.00,393.20,397.90,-2.12,"92,027.00","36,485,784.70"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,10,2025-11-06,423.00,423.00,402.00,406.50,-2.98,"45,631.00","18,669,709.80"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,11,2025-11-05,430.40,430.40,418.00,419.00,-0.71,"46,357.00","19,527,486.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,12,2025-11-04,407.50,445.00,385.00,422.00,1.49,"341,830.00","138,223,309.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,13,2025-11-03,453.00,453.00,415.80,415.80,-10.00,"54,220.00","22,566,609.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,14,2025-11-02,459.80,469.00,441.70,462.00,-1.49,"6,149.00","2,845,017.70"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,15,2025-10-30,458.70,477.30,445.00,469.00,0.21,"5,031.00","2,292,165.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,16,2025-10-29,489.10,489.10,461.00,468.00,-2.42,"1,494.00","701,160.10"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,17,2025-10-28,438.70,479.60,431.00,479.60,7.15,"8,436.00","3,767,472.40"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,18,2025-10-26,445.00,449.00,422.70,447.60,-0.51,"5,670.00","2,459,075.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,19,2025-10-19,448.00,459.00,441.00,449.90,-1.55,856.00,"385,609.10"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,20,2025-10-16,474.00,479.00,455.00,457.00,-2.97,"1,722.00","791,524.40"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,21,2025-10-15,460.60,471.00,455.00,471.00,0.21,"3,330.00","1,534,998.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,22,2025-10-14,487.00,487.00,462.00,470.00,-2.08,"4,715.00","2,200,144.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,23,2025-10-13,475.00,483.00,474.00,480.00,-0.83,526.00,"250,393.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,24,2025-10-12,495.00,495.00,469.00,484.00,-2.22,"4,880.00","2,304,664.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,25,2025-10-09,515.00,525.00,493.00,495.00,-2.52,970.00,"490,780.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,26,2025-10-08,508.00,508.50,497.90,507.80,-1.95,"2,727.00","1,376,589.70"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,27,2025-10-07,519.70,520.00,502.00,517.90,-2.28,"5,338.00","2,738,338.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,28,2025-09-28,531.00,533.00,526.40,530.00,-1.85,"4,080.00","2,160,877.90"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,29,2025-09-25,543.00,553.80,533.00,540.00,-0.55,"1,987.00","1,065,434.50"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,30,2025-09-24,536.00,550.00,526.10,543.00,-0.71,"2,707.00","1,462,585.10"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,31,2025-09-23,538.00,547.00,521.00,546.90,3.07,"3,001.00","1,608,502.20"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,32,2025-09-21,516.00,540.00,485.70,530.60,0.81,"7,551.00","3,871,863.90"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,33,2025-09-08,519.50,527.00,497.50,526.35,-0.33,"1,655.00","843,136.10"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,34,2025-09-07,534.00,534.50,523.50,528.09,0.72,"1,566.00","826,191.00"
ehpl,Eastern Hydropower Limited,Hydropower,https://www.sharesansar.com/company/ehpl,35,2025-09-04,528.30,536.00,521.00,524.29,-2.73,"5,624.00","2,967,869.10"
