symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,1,2022-05-08,338.50,338.50,325.20,325.20,-5.85,435.00,"143,740.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,2,2022-05-05,364.50,364.50,345.40,345.40,-7.13,"1,327.00","467,805.80"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,3,2022-05-04,387.10,387.10,371.90,371.90,-5.82,222.00,"84,213.80"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,4,2022-04-28,381.00,394.90,381.00,394.90,1.70,838.00,"319,417.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,5,2022-04-27,388.30,388.30,388.30,388.30,1.92,10.00,"3,883.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,6,2022-04-26,388.30,388.60,381.00,381.00,-0.03,611.00,"237,163.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,7,2022-04-25,404.70,404.70,381.10,381.10,-7.70,730.00,"278,752.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,8,2022-04-24,396.00,420.20,382.40,412.90,2.20,"3,311.00","1,311,737.70"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,9,2022-04-20,388.90,404.00,366.40,404.00,1.81,550.00,"215,647.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,10,2022-04-19,381.40,396.80,373.90,396.80,1.98,780.00,"293,493.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,11,2022-04-18,397.00,397.00,389.10,389.10,-1.99,320.00,"124,596.00"
eicpo,Everest Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/eicpo,12,2022-04-17,405.00,405.00,397.00,397.00,-2.70,520.00,"207,420.00"
