symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,1,2025-08-12,280.50,280.50,280.50,280.50,0.00,"30,000.00","8,404,500.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,2,2025-03-16,370.00,370.00,370.00,370.00,0.00,"140,000.00","39,270,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,3,2025-02-16,370.00,370.00,370.00,370.00,0.00,"71,915.00","20,172,157.50"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,4,2024-07-08,370.00,370.00,370.00,370.00,0.00,"9,000.00","3,330,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,5,2024-05-05,300.00,300.00,300.00,300.00,0.00,"150,000.00","45,000,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,6,2023-09-17,349.00,349.00,349.00,349.00,0.00,"15,400.00","5,374,600.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,7,2023-05-23,292.00,292.00,292.00,292.00,0.00,"65,000.00","18,980,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,8,2023-05-22,292.00,292.00,292.00,292.00,0.00,"19,000.00","5,548,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,9,2023-05-21,292.00,292.00,292.00,292.00,0.00,"24,620.00","7,189,040.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,10,2022-01-16,447.00,447.00,447.00,447.00,0.00,"14,054.00","6,282,138.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,11,2022-01-09,447.00,447.00,447.00,447.00,0.00,"18,000.00","8,046,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,12,2021-11-18,447.00,447.00,447.00,447.00,0.00,"8,000.00","2,497,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,13,2021-10-25,447.00,447.00,447.00,447.00,0.00,"4,000.00","1,230,720.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,14,2021-10-03,447.00,447.00,447.00,447.00,0.00,"77,500.00","23,258,525.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,15,2021-09-27,447.00,447.00,447.00,447.00,0.00,"1,500.00","525,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,16,2021-07-14,447.00,447.00,447.00,447.00,0.00,"25,300.00","11,309,100.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,17,2021-01-28,295.00,295.00,295.00,295.00,7.27,"150,000.00","44,250,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,18,2020-07-14,275.00,275.00,275.00,275.00,108.33,500.00,"137,500.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,19,2019-09-29,132.00,132.00,132.00,132.00,-45.00,"17,110.00","2,258,520.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,20,2018-10-04,240.00,240.00,240.00,240.00,0.00,"30,000.00","7,200,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,21,2018-07-11,314.00,314.00,308.00,308.00,-3.75,"6,678.00","2,060,892.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,22,2018-03-27,360.00,360.00,360.00,360.00,0.00,"10,000.00","3,600,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,23,2018-01-10,360.00,360.00,360.00,360.00,0.00,"2,300.00","828,000.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,24,2018-01-09,380.00,373.00,360.00,360.00,0.00,"34,500.00","12,429,500.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,25,2018-01-08,401.00,393.00,380.00,380.00,0.00,"17,250.00","6,564,500.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,26,2018-01-07,425.00,417.00,401.00,401.00,0.00,"17,250.00","6,929,250.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,27,2018-01-04,425.00,425.00,425.00,425.00,0.00,"11,500.00","4,887,500.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,28,2017-09-04,600.00,600.00,600.00,600.00,0.00,"12,567.00","7,540,200.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,29,2016-12-06,650.00,650.00,650.00,650.00,0.00,"83,786.00","54,460,900.00"
fmdblp,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/fmdblp,30,2016-11-17,650.00,650.00,650.00,650.00,0.00,200.00,"130,000.00"
