symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,1,2025-11-19,378.00,380.00,372.10,374.00,-0.27,"16,556.00","6,189,939.20"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,2,2025-11-18,374.00,378.40,370.00,375.00,1.11,"36,662.00","13,676,128.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,3,2025-11-17,371.00,374.00,367.40,370.90,-0.03,"38,796.00","14,356,246.30"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,4,2025-11-16,369.00,372.00,368.00,371.00,0.27,"22,495.00","8,316,488.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,5,2025-11-13,374.00,374.90,368.00,370.00,-0.80,"26,601.00","9,855,725.80"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,6,2025-11-12,380.00,380.00,370.00,373.00,-0.80,"24,064.00","8,970,827.90"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,7,2025-11-11,384.90,385.00,373.00,376.00,-1.29,"37,017.00","13,918,016.30"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,8,2025-11-10,385.00,385.90,377.00,380.90,-0.55,"21,783.00","8,286,145.70"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,9,2025-11-09,394.20,394.20,382.20,383.00,-0.91,"20,641.00","7,933,230.90"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,10,2025-11-06,390.00,392.00,379.30,386.50,-0.13,"31,796.00","12,234,662.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,11,2025-11-05,387.10,392.00,385.00,387.00,-1.30,"21,710.00","8,402,103.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,12,2025-11-04,393.40,402.90,389.00,392.10,-0.33,"37,516.00","14,783,192.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,13,2025-11-03,422.90,422.90,416.20,417.00,0.46,"71,195.00","29,780,952.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,14,2025-11-02,423.80,425.00,413.10,415.10,-0.22,"66,309.00","27,792,589.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,15,2025-10-30,422.60,422.60,412.00,416.00,0.24,"46,354.00","19,275,411.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,16,2025-10-29,419.70,424.30,415.00,415.00,0.22,"44,443.00","18,592,801.60"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,17,2025-10-28,404.00,418.00,402.00,414.10,2.50,"35,629.00","14,636,588.90"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,18,2025-10-26,397.00,404.40,397.00,404.00,-0.22,"31,682.00","12,665,371.70"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,19,2025-10-19,404.00,408.00,400.00,404.90,0.47,"27,160.00","10,940,064.90"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,20,2025-10-16,410.00,415.00,401.80,403.00,-1.71,"50,045.00","20,462,168.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,21,2025-10-15,417.00,422.90,405.00,410.00,-1.18,"24,986.00","10,267,616.60"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,22,2025-10-14,416.00,420.00,411.00,414.90,-0.74,"31,779.00","13,128,671.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,23,2025-10-13,406.00,418.00,406.00,418.00,1.98,"24,213.00","10,021,780.90"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,24,2025-10-12,412.60,418.00,405.00,409.90,-2.38,"85,262.00","34,826,622.20"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,25,2025-10-09,425.40,441.00,417.10,419.90,0.67,"39,313.00","16,763,480.40"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,26,2025-10-08,421.00,425.00,412.90,417.10,-1.63,"48,034.00","20,113,885.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,27,2025-10-07,428.00,430.00,422.10,424.00,-1.62,"28,695.00","12,186,836.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,28,2025-09-28,430.00,433.00,428.00,431.00,0.94,"13,886.00","5,965,339.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,29,2025-09-25,426.00,432.00,425.10,427.00,0.00,"33,594.00","14,341,700.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,30,2025-09-24,432.50,439.40,426.00,427.00,-1.39,"30,583.00","13,127,991.60"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,31,2025-09-23,420.00,437.00,420.00,433.00,2.46,"28,135.00","12,171,081.60"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,32,2025-09-21,395.00,428.00,395.00,422.61,6.99,"52,934.00","21,870,254.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,33,2025-09-18,418.00,418.00,395.00,395.00,-7.38,"1,898.00","786,612.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,34,2025-09-08,430.10,434.90,423.00,426.47,-0.93,"56,215.00","24,037,745.50"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,35,2025-09-07,428.10,435.80,428.10,430.46,0.25,"28,322.00","12,227,426.40"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,36,2025-09-04,430.00,436.80,425.10,429.40,-0.69,"53,248.00","22,878,648.20"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,37,2025-09-03,433.00,436.00,428.00,432.37,0.21,"74,056.00","32,063,223.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,38,2025-09-02,431.00,435.00,427.00,431.45,0.91,"28,738.00","12,356,139.00"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,39,2025-09-01,425.00,432.90,422.00,427.56,0.35,"63,901.00","27,321,759.20"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,40,2025-08-31,435.00,435.00,425.20,426.06,-1.68,"26,896.00","11,502,153.40"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,41,2025-08-28,441.00,446.00,432.10,433.32,-1.45,"119,069.00","52,310,941.10"
gbbl,Garima Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/gbbl,42,2025-08-27,433.90,441.90,431.70,439.68,2.78,"74,294.00","32,375,886.10"
