symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,1,2024-04-09,"1,040.00","1,040.00","1,040.00","1,040.00",0.00,200.00,"208,000.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,2,2024-04-07,"1,038.00","1,058.00","1,038.00","1,040.00",0.19,380.00,"397,805.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,3,2024-04-03,"1,032.00","1,038.00","1,032.00","1,038.00",0.78,65.00,"67,165.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,4,2024-03-31,"1,015.00","1,015.00","1,015.00","1,015.00",1.48,5.00,"5,150.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,5,2024-03-28,"1,015.00","1,015.00","1,015.00","1,015.00",0.50,25.00,"25,375.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,6,2024-03-20,"1,010.00","1,010.00","1,010.00","1,010.00",-1.36,25.00,"25,250.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,7,2024-03-17,"1,020.00","1,023.90","1,020.00","1,023.90",0.88,71.00,"72,657.90"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,8,2024-03-12,"1,015.00","1,015.00","1,015.00","1,015.00",1.00,50.00,"50,750.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,9,2024-03-10,"1,005.00","1,005.00","1,005.00","1,005.00",-0.01,25.00,"25,125.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,10,2024-02-29,"1,005.10","1,005.10","1,005.10","1,005.10",-1.94,25.00,"25,127.50"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,11,2024-02-27,"1,005.00","1,025.00","1,005.00","1,025.00",0.74,265.00,"269,250.00"
gbd80,10.25% Global IME Bank Limited Debenture 2080/81,Corporate Debentures,https://www.sharesansar.com/company/gbd80/81,12,2024-02-26,"1,010.10","1,017.50","1,010.10","1,017.50",0.73,80.00,"81,030.00"
