symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,1,2025-11-19,"1,157.40","1,157.40","1,157.40","1,157.40",-2.00,10.00,"11,574.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,2,2025-11-18,"1,160.00","1,181.00","1,158.40","1,181.00",-0.08,297.00,"346,416.80"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,3,2025-11-11,"1,182.00","1,182.00","1,182.00","1,182.00",0.42,"1,000.00","1,182,000.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,4,2025-11-09,"1,160.00","1,177.00","1,151.10","1,177.00",1.94,390.00,"455,542.50"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,5,2025-11-05,"1,132.00","1,132.00","1,132.00","1,154.60",0.01,33.00,"37,536.80"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,6,2025-11-04,"1,131.90","1,131.90","1,131.90","1,154.50",2.00,2.00,"2,309.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,7,2025-11-02,"1,155.00","1,155.00","1,131.90","1,131.90",-2.00,468.00,"534,994.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,8,2025-10-30,"1,160.00","1,160.00","1,150.00","1,155.00",0.43,171.00,"197,208.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,9,2025-10-29,"1,151.00","1,151.00","1,150.10","1,150.00",-1.71,31.00,"35,662.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,10,2025-10-28,"1,173.10","1,173.10","1,170.00","1,170.00",-2.26,65.00,"76,205.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,11,2025-10-26,"1,196.00","1,197.00","1,196.00","1,197.00",-0.99,50.00,"59,825.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,12,2025-10-16,"1,220.00","1,220.00","1,209.00","1,209.00",0.42,70.00,"85,144.80"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,13,2025-10-13,"1,202.90","1,204.00","1,202.90","1,204.00",1.95,141.00,"169,640.80"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,14,2025-10-12,"1,205.00","1,205.00","1,181.00","1,181.00",-1.17,125.00,"149,350.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,15,2025-10-08,"1,195.00","1,195.00","1,195.00","1,195.00",0.00,100.00,"119,500.00"
gbild84,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,https://www.sharesansar.com/company/gbild84/85,16,2025-10-07,"1,194.00","1,195.00","1,194.00","1,195.00",0.83,115.00,"137,335.00"
