symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,1,2025-11-09,100.00,100.00,100.00,100.00,-1.96,"747,616.00","74,761,600.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,2,2025-09-21,102.00,102.00,102.00,102.00,0.00,"7,554.00","770,508.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,3,2025-09-03,102.00,102.00,102.00,102.00,-1.92,"1,922.00","196,044.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,4,2025-08-24,104.00,104.00,104.00,104.00,-1.89,"34,490.00","3,586,960.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,5,2025-08-19,106.00,106.00,106.00,106.00,-1.85,"5,187.00","549,822.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,6,2025-08-14,108.00,108.00,108.00,108.00,0.00,"15,000.00","1,620,000.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,7,2025-08-13,108.00,108.00,108.00,108.00,-1.82,"12,000.00","1,296,000.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,8,2025-08-12,110.00,110.00,110.00,110.00,0.00,"10,335.00","1,136,850.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,9,2025-07-28,110.00,110.00,110.00,110.00,-1.79,"17,244.00","1,896,840.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,10,2025-07-27,112.00,112.00,112.00,112.00,0.00,"3,450.00","386,400.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,11,2025-07-24,112.00,112.00,112.00,112.00,-1.75,"16,479.00","1,845,648.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,12,2025-07-22,114.00,114.00,114.00,114.00,0.00,"16,000.00","1,824,000.00"
gbimep,Global IME Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gbimep,13,2025-07-02,114.00,114.00,114.00,114.00,0.26,"2,500.00","285,000.00"
