symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,1,2025-10-16,808.00,808.00,770.00,780.00,-1.89,"14,510.00","11,390,016.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,2,2025-10-15,802.20,831.00,793.00,795.00,1.08,"29,502.00","23,853,099.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,3,2025-10-14,729.20,786.50,729.20,786.50,10.00,"39,875.00","30,605,196.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,4,2025-10-13,710.00,719.00,698.00,715.00,1.13,"4,001.00","2,830,523.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,5,2025-10-12,725.00,725.00,705.00,707.00,-3.56,"7,284.00","5,172,483.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,6,2025-10-09,744.60,759.00,732.00,733.10,0.42,"2,776.00","2,049,669.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,7,2025-10-08,740.00,741.00,717.00,730.00,-1.35,"4,654.00","3,391,363.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,8,2025-10-07,758.00,758.00,740.00,740.00,-2.37,"6,095.00","4,531,614.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,9,2025-09-28,764.00,764.00,750.00,758.00,0.53,"1,448.00","1,092,271.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,10,2025-09-25,742.00,760.00,742.00,754.00,0.94,"1,922.00","1,451,688.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,11,2025-09-24,760.10,765.00,745.00,747.00,-1.72,"5,350.00","4,009,118.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,12,2025-09-23,746.00,775.00,746.00,760.10,1.99,"3,484.00","2,645,006.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,13,2025-09-21,710.00,748.70,710.00,745.27,2.91,"9,433.00","6,926,731.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,14,2025-09-18,738.90,738.90,724.20,724.20,-3.94,30.00,"22,020.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,15,2025-09-08,774.00,774.00,746.20,753.93,-0.77,"4,835.00","3,643,187.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,16,2025-09-07,782.00,783.10,757.20,759.80,-1.08,"5,003.00","3,821,772.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,17,2025-09-04,756.00,770.00,755.10,768.12,0.61,"4,572.00","3,475,668.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,18,2025-09-03,765.00,773.00,762.00,763.46,-0.54,"2,942.00","2,251,754.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,19,2025-09-02,780.00,780.00,767.00,767.62,-0.54,"7,933.00","6,100,055.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,20,2025-09-01,760.00,774.00,760.00,771.81,0.78,"2,250.00","1,728,181.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,21,2025-08-31,791.90,791.90,764.50,765.87,-1.37,"8,461.00","6,519,979.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,22,2025-08-28,783.00,789.00,776.00,776.51,-1.83,"8,015.00","6,255,797.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,23,2025-08-27,780.00,793.90,780.00,791.02,1.39,"9,117.00","7,175,991.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,24,2025-08-26,775.10,799.00,775.10,780.21,-1.23,"8,000.00","6,268,288.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,25,2025-08-25,797.30,813.00,775.10,789.91,1.03,"9,153.00","7,203,881.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,26,2025-08-24,792.00,792.00,780.10,781.84,-0.62,"4,564.00","3,570,527.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,27,2025-08-21,798.50,798.50,785.00,786.75,-1.16,"4,996.00","3,942,022.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,28,2025-08-20,805.00,810.00,795.20,795.99,-0.59,"3,167.00","2,527,807.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,29,2025-08-19,819.60,819.60,800.00,800.71,-0.72,"5,493.00","4,425,094.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,30,2025-08-18,800.10,812.00,800.10,806.53,0.78,"5,255.00","4,243,373.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,31,2025-08-17,825.00,825.00,800.00,800.30,-1.96,"12,457.00","10,071,060.20"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,32,2025-08-14,843.00,876.00,815.00,816.33,-1.34,"9,882.00","8,117,126.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,33,2025-08-13,850.00,852.80,825.00,827.39,-1.05,"5,105.00","4,234,706.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,34,2025-08-12,842.00,842.00,831.00,836.17,-0.66,"5,938.00","4,969,775.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,35,2025-08-11,860.00,860.00,840.00,841.69,-1.99,"8,101.00","6,871,460.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,36,2025-08-07,860.60,869.00,858.00,858.80,-0.83,"9,048.00","7,797,517.20"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,37,2025-08-06,850.00,874.90,850.00,865.98,1.63,"13,379.00","11,587,967.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,38,2025-08-05,866.90,885.00,835.00,852.07,-1.09,"13,779.00","11,851,152.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,39,2025-08-04,860.10,867.00,836.00,861.49,0.60,"15,064.00","12,795,294.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,40,2025-08-03,873.20,886.00,855.00,856.34,-3.07,"20,185.00","17,439,671.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,41,2025-07-31,908.50,908.50,880.00,883.46,-0.81,"16,573.00","14,764,194.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,42,2025-07-30,925.00,930.50,890.00,890.70,-3.79,"27,439.00","24,913,963.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,43,2025-07-29,911.90,950.00,900.00,925.75,3.51,"49,157.00","45,528,840.20"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,44,2025-07-28,890.00,896.00,876.00,894.34,0.26,"20,093.00","17,784,424.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,45,2025-07-27,910.00,918.00,888.00,892.06,-0.77,"45,786.00","41,513,951.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,46,2025-07-24,930.00,930.00,885.00,898.96,-1.42,"20,461.00","18,479,594.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,47,2025-07-23,932.00,940.00,895.20,911.95,-2.22,"25,058.00","22,902,033.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,48,2025-07-22,890.00,936.00,890.00,932.61,6.21,"45,750.00","42,122,650.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,49,2025-07-21,869.80,882.00,851.00,878.08,2.90,"21,973.00","19,115,818.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,50,2025-07-20,872.00,883.00,849.10,853.36,-1.50,"25,208.00","21,939,445.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,51,2025-07-17,841.00,874.00,841.00,866.37,1.94,"19,673.00","17,010,930.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,52,2025-07-16,843.10,865.00,843.00,849.92,0.22,"13,761.00","11,753,166.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,53,2025-07-15,840.00,854.40,838.00,848.06,0.87,"8,506.00","7,176,899.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,54,2025-07-14,850.00,865.90,840.00,840.75,-2.41,"7,183.00","6,069,688.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,55,2025-07-13,842.00,875.00,842.00,861.53,4.25,"36,987.00","31,798,533.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,56,2025-07-10,831.00,831.00,816.00,826.42,1.40,"12,165.00","10,033,747.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,57,2025-07-09,813.77,820.00,800.60,815.01,0.15,"4,971.00","4,039,989.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,58,2025-07-08,810.00,821.20,793.10,813.77,0.57,"7,785.00","6,289,557.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,59,2025-07-07,805.10,821.00,800.10,809.17,-0.73,"6,193.00","5,015,519.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,60,2025-07-06,816.00,828.00,812.20,815.16,-0.61,"7,463.00","6,107,339.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,61,2025-07-03,819.00,823.00,818.30,820.15,-1.33,"4,458.00","3,654,036.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,62,2025-07-02,822.00,835.00,818.20,831.18,1.00,"7,187.00","5,956,216.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,63,2025-07-01,803.00,830.00,801.00,822.91,2.11,"14,934.00","12,272,028.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,64,2025-06-30,813.00,813.00,788.00,805.92,0.32,"9,146.00","7,309,800.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,65,2025-06-29,780.00,810.00,780.00,803.36,2.89,"10,717.00","8,499,250.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,66,2025-06-26,781.00,794.90,780.00,780.83,-0.38,"4,865.00","3,809,264.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,67,2025-06-25,794.90,798.50,782.00,783.77,-0.76,"2,716.00","2,144,847.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,68,2025-06-24,799.00,799.00,782.20,789.75,0.78,"3,287.00","2,583,565.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,69,2025-06-23,795.00,795.00,780.00,783.63,0.40,"2,274.00","1,782,502.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,70,2025-06-22,799.00,820.00,776.70,780.52,-0.47,"14,954.00","11,863,269.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,71,2025-06-19,780.00,792.00,778.00,784.20,-1.17,"4,613.00","3,609,015.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,72,2025-06-18,804.00,805.00,788.60,793.49,-1.50,"10,529.00","8,378,401.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,73,2025-06-17,782.00,817.00,782.00,805.61,1.77,"12,392.00","10,005,679.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,74,2025-06-16,780.00,792.90,772.10,791.62,1.83,"6,618.00","5,175,426.70"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,75,2025-06-15,766.10,790.00,766.10,777.37,0.04,"6,764.00","5,277,471.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,76,2025-06-12,780.00,790.00,773.00,777.04,-0.71,"7,835.00","6,133,653.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,77,2025-06-11,780.00,802.00,780.00,782.56,-1.03,"6,745.00","5,339,700.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,78,2025-06-10,775.00,794.00,772.00,790.74,1.27,"9,565.00","7,522,465.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,79,2025-06-09,775.10,785.00,775.00,780.82,0.47,"6,841.00","5,335,247.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,80,2025-06-08,800.00,800.00,773.00,777.20,-1.39,"8,919.00","7,000,771.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,81,2025-06-05,799.00,800.00,785.00,788.16,-0.50,"4,257.00","3,366,119.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,82,2025-06-04,801.00,803.00,786.00,792.10,-1.19,"6,670.00","5,299,408.30"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,83,2025-06-03,815.00,820.00,796.50,801.64,-2.72,"4,701.00","3,792,115.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,84,2025-06-02,822.00,837.70,821.10,824.06,0.82,"4,864.00","4,031,895.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,85,2025-05-28,800.50,821.00,800.50,817.34,0.21,"3,817.00","3,101,858.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,86,2025-05-27,819.00,828.00,812.00,815.63,-2.30,"8,999.00","7,380,385.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,87,2025-05-26,849.00,860.00,827.30,834.85,-0.62,"20,206.00","17,099,780.40"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,88,2025-05-25,830.00,850.60,830.00,840.10,1.20,"12,164.00","10,231,920.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,89,2025-05-22,799.00,835.00,793.00,830.17,4.91,"23,542.00","19,439,504.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,90,2025-05-21,810.00,825.00,787.00,791.28,-0.71,"9,126.00","7,332,418.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,91,2025-05-20,778.00,799.90,778.00,796.93,0.57,"2,170.00","1,714,064.80"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,92,2025-05-19,797.00,807.90,781.00,792.42,-0.48,"3,993.00","3,160,109.00"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,93,2025-05-18,770.20,806.60,770.20,796.22,2.38,"8,348.00","6,649,394.90"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,94,2025-05-15,771.30,785.00,770.50,777.70,-0.37,"3,569.00","2,759,337.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,95,2025-05-14,794.60,799.90,779.00,780.58,0.19,"4,289.00","3,364,729.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,96,2025-05-13,793.00,795.00,778.20,779.07,-1.72,"4,249.00","3,333,323.60"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,97,2025-05-11,787.00,810.00,787.00,792.70,-0.20,"4,670.00","3,702,473.10"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,98,2025-05-08,797.10,812.80,791.00,794.30,-2.24,"6,872.00","5,484,173.50"
gblbs,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gblbs,99,2025-05-07,790.00,815.00,785.00,812.52,1.73,"5,947.00","4,773,672.60"
