symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,1,2023-06-18,564.00,564.00,564.00,564.00,0.00,"274,982.00","103,943,196.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,2,2022-06-28,564.00,564.00,564.00,564.00,0.00,400.00,"176,000.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,3,2022-04-05,564.00,564.00,564.00,564.00,0.00,"12,000.00","4,210,000.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,4,2022-02-16,564.00,564.00,564.00,564.00,0.00,"1,272.00","717,408.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,5,2021-09-02,634.00,634.00,634.00,634.00,0.00,"1,100.00","331,155.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,6,2021-08-10,634.00,634.00,634.00,634.00,0.00,159.00,"100,806.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,7,2021-07-22,634.00,634.00,634.00,634.00,0.00,"1,372.00","869,848.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,8,2021-04-26,187.00,187.00,187.00,187.00,0.00,"3,700.00","1,065,400.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,9,2020-12-28,192.00,211.00,192.00,187.00,0.00,"3,194.00","637,748.00"
gblbsp,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gblbsp,10,2019-12-08,187.00,187.00,187.00,187.00,0.00,"25,000.00","4,675,000.00"
