symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,1,2025-11-19,422.00,429.90,422.00,423.30,-0.63,"6,601.00","2,803,543.20"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,2,2025-11-18,431.00,433.00,425.00,426.00,-0.26,"10,637.00","4,574,224.80"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,3,2025-11-17,424.00,427.90,418.70,427.10,0.54,"4,532.00","1,921,835.80"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,4,2025-11-16,420.00,427.00,420.00,424.80,-0.16,"6,648.00","2,813,643.50"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,5,2025-11-13,422.00,425.50,419.00,425.50,0.83,"13,298.00","5,617,122.70"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,6,2025-11-12,427.00,432.70,421.20,422.00,-1.17,"14,244.00","6,060,353.20"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,7,2025-11-11,421.00,431.00,421.00,427.00,0.47,"7,083.00","3,019,303.00"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,8,2025-11-10,425.00,430.00,420.10,425.00,-0.09,"8,742.00","3,710,410.70"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,9,2025-11-09,425.60,431.00,425.30,425.40,-1.53,"10,896.00","4,659,692.00"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,10,2025-11-06,428.10,439.50,428.00,432.00,0.70,"24,941.00","10,849,572.60"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,11,2025-11-05,428.10,437.00,428.00,429.00,-0.65,"12,518.00","5,398,879.40"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,12,2025-11-04,438.10,449.00,430.00,431.80,-1.98,"20,315.00","8,923,217.30"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,13,2025-11-03,440.00,451.60,436.00,440.50,0.69,"23,610.00","10,477,561.60"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,14,2025-11-02,430.00,442.00,425.00,437.50,1.74,"13,409.00","5,842,185.90"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,15,2025-10-30,411.00,435.00,411.00,430.00,2.63,"16,661.00","7,112,293.80"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,16,2025-10-29,428.00,428.00,416.60,419.00,-0.71,"13,627.00","5,748,728.50"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,17,2025-10-28,404.00,425.00,404.00,422.00,2.93,"14,050.00","5,854,105.70"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,18,2025-10-26,411.70,415.10,400.00,410.00,-2.38,"24,718.00","10,037,112.40"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,19,2025-10-19,415.00,425.00,415.00,420.00,0.12,"8,138.00","3,411,752.20"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,20,2025-10-16,438.00,438.00,419.50,419.50,-2.42,"14,899.00","6,311,351.40"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,21,2025-10-15,432.30,438.00,425.50,429.90,-1.62,"13,436.00","5,788,037.80"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,22,2025-10-14,445.00,445.00,434.00,437.00,-1.80,"7,665.00","3,365,805.30"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,23,2025-10-13,440.00,449.90,428.70,445.00,0.32,"15,338.00","6,723,344.70"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,24,2025-10-12,445.00,453.00,430.30,443.60,-2.25,"29,248.00","12,813,284.20"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,25,2025-10-09,456.70,470.00,451.00,453.80,1.34,"17,993.00","8,248,424.70"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,26,2025-10-08,448.00,449.90,438.00,447.80,-0.20,"26,042.00","11,540,778.60"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,27,2025-10-07,464.00,465.90,448.60,448.70,-2.46,"26,188.00","11,909,451.40"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,28,2025-09-28,459.00,464.00,457.00,460.00,0.20,"8,766.00","4,031,909.30"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,29,2025-09-25,460.60,464.00,457.20,459.10,-1.06,"11,031.00","5,082,053.30"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,30,2025-09-24,470.00,472.90,463.00,464.00,-1.28,"24,354.00","11,341,128.90"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,31,2025-09-23,465.00,477.00,465.00,470.00,0.03,"28,250.00","13,350,759.20"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,32,2025-09-21,432.20,475.00,432.20,469.87,6.55,"56,321.00","25,841,011.40"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,33,2025-09-18,467.10,467.10,441.00,441.00,-7.46,"2,850.00","1,278,165.00"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,34,2025-09-08,480.00,480.00,475.00,476.56,-1.05,"18,196.00","8,674,427.80"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,35,2025-09-07,480.00,485.00,479.00,481.64,-0.22,"12,749.00","6,141,752.30"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,36,2025-09-04,476.00,489.00,476.00,482.69,-0.51,"17,461.00","8,433,791.60"
gcil,Ghorahi Cement Industry Limited,Manufacturing and Processing,https://www.sharesansar.com/company/gcil,37,2025-09-03,490.53,491.90,485.00,485.17,-1.09,"20,956.00","10,199,193.90"
