symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,1,2025-11-19,216.00,216.00,212.20,213.00,-1.34,"22,077.00","4,710,375.70"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,2,2025-11-18,213.00,217.50,213.00,215.90,2.32,"34,316.00","7,383,764.90"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,3,2025-11-17,214.00,214.00,208.30,211.00,0.43,"28,337.00","5,979,761.30"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,4,2025-11-16,210.70,212.00,209.90,210.10,-1.13,"16,088.00","3,386,239.20"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,5,2025-11-13,214.00,214.00,209.80,212.50,0.09,"23,624.00","5,005,196.90"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,6,2025-11-12,215.00,215.00,211.00,212.30,-0.28,"18,163.00","3,848,996.90"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,7,2025-11-11,218.20,218.20,211.00,212.90,-0.51,"28,698.00","6,118,051.90"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,8,2025-11-10,213.00,216.90,210.00,214.00,-0.47,"44,859.00","9,553,905.30"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,9,2025-11-09,217.30,217.30,214.10,215.00,-1.38,"33,106.00","7,120,200.70"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,10,2025-11-06,220.80,223.00,218.00,218.00,-0.32,"75,722.00","16,649,821.00"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,11,2025-11-05,217.00,219.70,213.70,218.70,0.78,"48,703.00","10,491,327.90"
ghl,Ghalemdi Hydro Limited,Hydropower,https://www.sharesansar.com/company/ghl,12,2025-11-04,219.00,224.00,215.30,217.00,-0.91,"41,368.00","9,010,175.10"
