symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,1,2025-11-19,9.95,10.01,9.93,9.95,0.20,"12,000.00","119,399.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,2,2025-11-18,9.95,9.95,9.91,9.93,-0.10,400.00,"3,970.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,3,2025-11-17,9.89,9.94,9.89,9.94,0.61,"1,500.00","14,888.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,4,2025-11-16,9.86,10.01,9.86,9.88,0.30,"3,900.00","38,727.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,5,2025-11-13,9.82,9.85,9.82,9.85,-1.50,"1,300.00","12,789.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,6,2025-11-12,9.81,10.00,9.81,10.00,0.00,"18,300.00","180,818.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,7,2025-11-11,9.96,10.00,9.77,10.00,0.60,"7,900.00","78,909.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,8,2025-11-10,9.95,9.95,9.93,9.94,0.10,700.00,"6,962.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,9,2025-11-09,9.93,9.93,9.93,9.93,-0.90,400.00,"3,972.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,10,2025-11-06,10.00,10.12,10.00,10.02,0.91,"11,450.00","115,817.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,11,2025-11-05,9.93,9.93,9.93,9.93,-1.19,300.00,"2,979.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,12,2025-11-04,10.09,10.09,9.97,10.05,-0.40,"2,050.00","20,574.50"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,13,2025-11-03,10.05,10.09,10.05,10.09,-0.49,"1,300.00","13,113.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,14,2025-11-02,10.00,10.19,9.95,10.14,1.30,"32,250.00","324,478.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,15,2025-10-30,10.04,10.14,10.00,10.01,-0.30,"11,800.00","118,730.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,16,2025-10-29,10.00,10.19,10.00,10.04,-0.59,970.00,"9,804.30"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,17,2025-10-28,9.94,10.10,9.94,10.10,-0.39,"1,200.00","11,945.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,18,2025-10-26,10.19,10.19,10.00,10.14,1.40,"5,000.00","50,738.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,19,2025-10-19,10.00,10.00,10.00,10.00,-1.96,"7,260.00","72,600.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,20,2025-10-16,10.05,10.20,9.96,10.20,0.99,"93,504.00","947,387.55"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,21,2025-10-15,9.99,10.15,9.99,10.10,3.06,"119,150.00","1,206,686.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,22,2025-10-14,9.75,9.80,9.75,9.80,-0.91,"4,100.00","40,175.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,23,2025-10-13,9.70,9.89,9.70,9.89,0.92,"10,600.00","104,731.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,24,2025-10-12,9.85,10.05,9.73,9.80,-0.61,"12,999.00","127,599.20"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,25,2025-10-09,9.87,9.90,9.86,9.86,-1.40,"55,370.00","546,014.60"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,26,2025-10-08,9.91,10.10,9.89,10.00,0.00,"88,399.00","882,755.12"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,27,2025-10-07,10.00,10.00,9.90,10.00,0.00,"1,900.00","18,950.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,28,2025-09-28,9.81,10.00,9.81,10.00,0.60,"20,715.00","206,956.40"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,29,2025-09-25,9.95,9.95,9.93,9.94,1.84,"26,230.00","260,902.90"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,30,2025-09-24,9.71,9.93,9.70,9.76,0.83,"21,600.00","212,024.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,31,2025-09-23,9.38,9.69,9.38,9.68,3.20,"55,200.00","518,714.50"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,32,2025-09-21,9.48,9.66,9.30,9.38,-3.00,"8,879.00","84,316.42"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,33,2025-09-18,9.67,9.67,9.67,9.67,-1.93,170.00,"1,643.90"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,34,2025-09-08,11.22,11.22,11.03,11.06,0.45,"16,200.00","179,319.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,35,2025-09-07,11.37,11.37,11.00,11.01,-1.26,"36,949.00","414,395.84"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,36,2025-09-04,11.14,11.24,11.14,11.15,0.36,"49,070.00","547,380.50"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,37,2025-09-03,11.00,11.16,11.00,11.11,-0.09,"45,500.00","506,231.49"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,38,2025-09-02,11.10,11.14,11.10,11.12,0.18,"41,000.00","455,818.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,39,2025-09-01,11.11,11.15,11.10,11.10,0.00,"41,444.00","460,402.28"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,40,2025-08-31,11.32,11.32,11.10,11.10,0.00,"108,705.00","1,207,415.50"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,41,2025-08-28,10.98,11.12,10.91,11.10,-0.89,"4,100.00","45,204.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,42,2025-08-27,11.00,11.29,10.97,11.20,0.63,"76,850.00","847,174.50"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,43,2025-08-26,11.01,11.15,11.01,11.13,0.00,"102,880.00","1,141,910.80"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,44,2025-08-25,11.00,11.20,11.00,11.13,-0.62,"7,000.00","78,202.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,45,2025-08-24,11.14,11.57,11.02,11.20,0.54,"20,000.00","223,285.00"
gibf1,Global IME Balanced Fund-I,Mutual Fund,https://www.sharesansar.com/company/gibf1,46,2025-08-21,11.07,11.30,11.07,11.14,-1.33,"1,800.00","20,043.00"
