symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,1,2023-03-23,9.69,9.70,9.50,9.63,0.63,"89,504.00","861,086.50"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,2,2023-03-22,9.66,9.66,9.51,9.57,0.84,"133,486.00","1,276,546.62"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,3,2023-03-20,9.44,9.49,9.20,9.49,1.82,"47,780.00","443,353.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,4,2023-03-19,9.60,9.65,9.32,9.32,-1.69,"47,728.00","456,680.46"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,5,2023-03-16,9.53,9.54,9.48,9.48,-1.25,"36,250.00","344,412.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,6,2023-03-15,9.60,9.64,9.55,9.60,0.31,"56,215.00","538,601.04"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,7,2023-03-14,9.54,9.57,9.54,9.57,-1.24,"12,200.00","116,736.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,8,2023-03-13,9.50,9.73,9.50,9.69,0.62,"78,075.00","750,711.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,9,2023-03-12,9.70,9.70,9.60,9.63,-1.63,"29,575.00","284,534.50"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,10,2023-03-09,9.50,9.79,9.50,9.79,1.98,"33,300.00","324,951.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,11,2023-03-07,9.50,9.60,9.50,9.60,1.80,"40,200.00","382,013.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,12,2023-03-05,9.62,9.62,9.43,9.43,-2.08,"44,720.00","424,947.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,13,2023-03-02,9.50,9.63,9.48,9.63,0.10,"19,100.00","181,339.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,14,2023-03-01,9.63,9.74,9.49,9.62,1.80,"44,936.00","429,372.82"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,15,2023-02-28,9.78,9.89,9.41,9.45,-1.46,"68,310.00","652,248.80"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,16,2023-02-27,9.42,9.59,9.41,9.59,1.91,"26,677.00","252,690.66"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,17,2023-02-26,9.50,9.50,9.37,9.41,-2.79,"54,250.00","510,900.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,18,2023-02-23,9.82,9.90,9.68,9.68,-0.21,"90,554.00","889,339.52"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,19,2023-02-22,9.70,10.00,9.51,9.70,0.62,"64,301.00","625,538.81"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,20,2023-02-20,9.96,10.00,9.47,9.64,-1.43,"54,812.00","537,675.34"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,21,2023-02-16,9.70,9.97,9.70,9.78,-0.71,"102,000.00","996,072.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,22,2023-02-15,10.05,10.05,9.85,9.85,-0.71,"10,320.00","101,804.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,23,2023-02-14,10.10,10.11,9.73,9.92,-0.70,"28,412.00","281,141.70"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,24,2023-02-12,9.92,10.00,9.91,9.99,-1.09,"164,042.00","1,629,554.20"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,25,2023-02-09,10.05,10.10,10.05,10.10,0.50,"22,846.00","230,394.60"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,26,2023-02-08,10.10,10.15,10.00,10.05,0.50,"132,573.00","1,336,013.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,27,2023-02-07,10.11,10.18,10.00,10.00,-0.89,"82,400.00","835,768.20"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,28,2023-02-06,9.82,10.09,9.82,10.09,0.90,"50,773.00","505,724.90"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,29,2023-02-05,9.85,10.00,9.70,10.00,-0.40,"93,033.00","919,786.22"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,30,2023-02-02,9.90,10.04,9.85,10.04,-0.10,"133,199.00","1,321,533.46"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,31,2023-02-01,10.00,10.14,10.00,10.05,0.60,"30,700.00","307,239.14"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,32,2023-01-31,10.20,10.30,9.81,9.99,-1.58,"45,000.00","453,649.80"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,33,2023-01-30,10.01,10.15,10.01,10.15,0.00,"35,420.00","356,982.20"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,34,2023-01-29,9.95,10.15,9.95,10.15,0.00,"36,491.00","369,282.15"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,35,2023-01-26,10.18,10.18,10.01,10.15,1.50,"66,939.00","673,565.62"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,36,2023-01-25,10.03,10.04,9.95,10.00,0.81,"31,982.00","319,032.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,37,2023-01-24,10.00,10.00,9.86,9.92,-0.70,"69,921.00","692,522.06"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,38,2023-01-23,9.86,10.00,9.86,9.99,0.91,"90,629.00","902,234.27"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,39,2023-01-19,9.60,10.00,9.60,9.90,3.13,"121,897.00","1,207,573.10"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,40,2023-01-18,9.90,9.95,9.55,9.60,-3.52,"44,947.00","434,426.85"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,41,2023-01-17,9.63,9.95,9.50,9.95,5.29,"303,658.00","2,974,389.54"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,42,2023-01-12,9.89,9.89,9.45,9.45,-2.58,"85,550.00","821,253.00"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,43,2023-01-10,9.90,9.90,9.70,9.70,-2.02,"39,445.00","385,900.65"
gimes1,Global IME Samunnat Scheme 1,Mutual Fund,https://www.sharesansar.com/company/gimes1,44,2023-01-09,9.91,9.93,9.66,9.90,-0.10,"104,527.00","1,026,793.20"
