symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,1,2025-11-19,"2,050.00","2,050.00","2,016.00","2,018.00",-1.51,364.00,"739,793.90"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,2,2025-11-18,"2,045.00","2,050.00","2,025.00","2,049.00",0.89,237.00,"482,368.00"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,3,2025-11-17,"1,975.00","2,031.00","1,975.00","2,031.00",2.84,"1,225.00","2,466,189.00"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,4,2025-11-16,"2,052.00","2,093.00","1,975.00","1,975.00",-1.84,690.00,"1,383,496.00"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,5,2025-11-13,"1,960.00","2,060.20","1,955.00","2,012.00",1.56,706.00,"1,405,707.80"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,6,2025-11-12,"2,020.00","2,020.00","1,980.00","1,981.00",-1.83,950.00,"1,895,060.50"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,7,2025-11-11,"2,075.00","2,080.00","2,009.10","2,018.00",-0.84,"1,719.00","3,513,063.90"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,8,2025-11-10,"2,050.10","2,050.10","2,019.00","2,035.00",-1.21,"1,069.00","2,179,313.20"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,9,2025-11-09,"2,086.00","2,117.00","2,050.00","2,060.00",-2.83,"3,403.00","7,048,833.60"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,10,2025-11-06,"2,132.00","2,165.00","2,100.00","2,120.00",-0.56,303.00,"642,543.00"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,11,2025-11-05,"2,091.20","2,200.00","2,091.20","2,132.00",3.99,"8,707.00","18,752,401.10"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,12,2025-11-04,"2,040.00","2,077.90","2,018.80","2,050.20",0.50,"1,432.00","2,922,072.70"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,13,2025-11-03,"2,081.00","2,081.00","2,021.00","2,040.00",-1.97,"2,147.00","4,390,853.90"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,14,2025-11-02,"2,062.30","2,220.00","2,062.30","2,081.00",2.92,"5,004.00","10,726,360.10"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,15,2025-10-30,"2,142.00","2,310.00","2,100.00","2,310.00",10.00,"19,893.00","45,302,836.40"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,16,2025-10-29,"2,095.10","2,179.00","2,039.00","2,100.00",-0.66,"2,997.00","6,276,546.10"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,17,2025-10-28,"2,090.00","2,199.00","2,077.10","2,114.00",2.52,"2,108.00","4,494,128.50"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,18,2025-10-26,"2,033.00","2,110.00","1,991.90","2,062.00",1.43,"1,508.00","3,081,685.80"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,19,2025-10-19,"2,004.90","2,044.00","2,004.90","2,033.00",3.41,"1,423.00","2,866,357.70"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,20,2025-10-16,"2,000.00","2,009.60","1,965.00","1,966.00",-3.06,"1,923.00","3,808,948.10"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,21,2025-10-15,"2,031.20","2,064.80","2,000.00","2,028.00",-2.03,"2,053.00","4,125,179.70"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,22,2025-10-14,"2,081.00","2,090.00","2,052.00","2,070.00",-2.36,"1,877.00","3,883,110.50"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,23,2025-10-13,"2,124.70","2,125.00","2,086.00","2,120.00",-2.21,"1,278.00","2,682,342.10"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,24,2025-10-12,"2,155.20","2,168.00","2,114.00","2,168.00",-1.23,671.00,"1,436,326.40"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,25,2025-10-09,"2,223.00","2,280.00","2,170.60","2,195.00",0.69,"1,469.00","3,233,662.20"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,26,2025-10-08,"2,141.10","2,225.00","2,140.00","2,180.00",0.14,"2,884.00","6,352,206.50"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,27,2025-10-07,"2,200.00","2,219.00","2,177.00","2,177.00",-2.94,"1,929.00","4,228,076.80"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,28,2025-09-28,"2,210.00","2,245.00","2,186.00","2,243.00",0.58,"2,351.00","5,217,497.30"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,29,2025-09-25,"2,138.00","2,295.00","2,116.00","2,230.00",6.29,"4,713.00","10,413,819.50"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,30,2025-09-24,"2,091.00","2,115.00","2,050.10","2,098.00",-1.50,"1,376.00","2,877,278.60"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,31,2025-09-23,"2,079.00","2,161.80","2,077.10","2,130.00",4.50,788.00,"1,661,405.20"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,32,2025-09-21,"1,950.00","2,045.00","1,912.00","2,038.37",3.10,"3,634.00","7,120,601.40"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,33,2025-09-18,"2,018.00","2,018.00","1,977.00","1,977.00",-2.03,40.00,"79,497.00"
glbsl,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/glbsl,34,2025-09-08,"2,072.10","2,072.10","2,016.10","2,017.92",-2.61,"1,133.00","2,297,437.50"
