symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,1,2022-03-16,382.00,382.00,382.00,382.00,0.00,"46,118.00","17,617,076.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,2,2022-02-15,382.00,382.00,382.00,382.00,0.00,"55,220.00","21,094,040.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,3,2021-11-08,334.00,334.00,334.00,334.00,0.00,"10,439.00","3,486,626.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,4,2021-11-03,334.00,334.00,334.00,334.00,0.00,"1,917.00","640,278.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,5,2021-11-02,334.00,334.00,334.00,334.00,0.00,"122,067.00","40,770,378.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,6,2021-07-07,494.00,494.00,494.00,494.00,0.00,"15,000.00","7,410,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,7,2021-06-13,494.00,494.00,494.00,494.00,-0.01,"25,000.00","12,350,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,8,2018-01-16,520.00,520.00,520.00,520.00,0.00,"24,750.00","12,870,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,9,2017-11-13,517.00,300.00,300.00,300.00,0.00,"374,755.00","112,426,496.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,10,2017-10-29,517.00,300.00,300.00,300.00,0.00,"138,539.00","41,561,700.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,11,2017-09-06,517.00,300.00,300.00,300.00,0.00,"174,977.00","52,493,100.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,12,2017-08-30,517.00,300.00,300.00,300.00,0.00,"162,642.00","48,792,600.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,13,2017-08-22,517.00,0.00,0.00,0.00,0.00,"66,500.00","19,950,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,14,2017-08-17,517.00,300.00,300.00,300.00,0.00,"45,597.00","13,679,100.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,15,2017-07-06,527.00,517.00,517.00,517.00,0.00,112.00,"57,904.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,16,2017-07-02,569.00,558.00,527.00,527.00,0.00,"8,525.00","4,541,475.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,17,2017-06-28,615.00,603.00,569.00,569.00,0.00,800.00,"468,600.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,18,2017-06-18,615.00,615.00,615.00,615.00,0.00,"10,000.00","6,150,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,19,2017-06-04,615.00,615.00,615.00,615.00,0.00,"18,105.00","11,134,575.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,20,2017-05-31,615.00,615.00,615.00,615.00,0.00,200.00,"123,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,21,2016-06-16,450.00,450.00,450.00,450.00,0.00,"13,888.00","6,249,600.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,22,2016-01-24,335.00,335.00,335.00,335.00,0.00,"5,000.00","1,675,000.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,23,2015-07-22,308.00,302.00,278.00,278.00,0.00,"15,975.00","4,447,650.00"
gliclp,Gurans Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/gliclp,24,2014-10-27,100.00,308.00,308.00,308.00,0.00,"6,478.00","1,995,224.00"
