symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,1,2025-11-19,"1,520.00","1,520.00","1,490.00","1,517.00",-0.19,493.00,"742,526.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,2,2025-11-18,"1,500.00","1,520.00","1,500.00","1,519.90",2.63,96.00,"144,489.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,3,2025-11-17,"1,472.20","1,505.00","1,472.20","1,481.00",-0.74,892.00,"1,327,409.80"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,4,2025-11-16,"1,539.00","1,539.00","1,491.30","1,492.00",-1.19,"1,334.00","2,007,976.90"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,5,2025-11-13,"1,554.90","1,554.90","1,509.30","1,510.00",-0.98,279.00,"424,264.30"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,6,2025-11-12,"1,530.00","1,530.00","1,507.40","1,525.00",-0.85,447.00,"676,300.90"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,7,2025-11-11,"1,530.10","1,538.10","1,520.00","1,538.10",-1.40,219.00,"334,767.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,8,2025-11-10,"1,580.00","1,580.00","1,517.00","1,560.00",-1.88,"1,255.00","1,935,359.10"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,9,2025-11-09,"1,612.40","1,612.40","1,511.00","1,589.90",0.58,532.00,"820,047.80"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,10,2025-11-06,"1,569.90","1,580.80","1,509.20","1,580.80",1.20,"3,485.00","5,393,126.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,11,2025-11-05,"1,555.40","1,585.00","1,524.40","1,562.00",-1.58,740.00,"1,138,645.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,12,2025-11-04,"1,531.00","1,587.10","1,525.00","1,587.10",2.00,"1,322.00","2,053,036.40"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,13,2025-11-03,"1,616.00","1,616.00","1,535.00","1,556.00",-1.83,"1,345.00","2,119,894.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,14,2025-11-02,"1,649.00","1,649.00","1,540.00","1,585.00",-2.16,"1,094.00","1,724,239.60"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,15,2025-10-30,"1,451.00","1,620.00","1,451.00","1,620.00",9.46,"2,596.00","3,879,960.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,16,2025-10-29,"1,505.00","1,505.00","1,451.00","1,480.00",-0.66,"2,340.00","3,466,637.00"
gmfbs,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/gmfbs,17,2025-10-28,"1,450.00","1,490.00","1,445.00","1,489.90",2.43,"1,232.00","1,803,684.00"
