symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,1,2025-11-19,460.00,460.00,440.10,448.40,-1.23,"8,357.00","3,725,624.10"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,2,2025-11-18,455.00,460.00,446.90,454.00,1.57,"16,642.00","7,535,808.90"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,3,2025-11-17,444.10,453.90,440.10,447.00,-0.45,"13,716.00","6,083,410.50"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,4,2025-11-16,456.80,456.80,441.00,449.00,-0.22,"9,656.00","4,299,195.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,5,2025-11-13,455.00,464.10,447.00,450.00,-2.17,"8,715.00","3,980,313.80"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,6,2025-11-12,445.20,462.00,445.00,460.00,1.43,"14,888.00","6,731,971.90"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,7,2025-11-11,460.00,460.00,445.40,453.50,-0.11,"7,510.00","3,369,126.60"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,8,2025-11-10,462.00,467.90,450.00,454.00,-1.90,"19,229.00","8,725,315.80"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,9,2025-11-09,470.40,470.40,454.00,462.80,-3.58,"22,362.00","10,323,875.30"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,10,2025-11-06,486.80,495.00,470.40,480.00,0.57,"63,326.00","30,746,922.80"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,11,2025-11-05,479.20,488.70,458.00,477.30,1.57,"43,197.00","20,277,234.70"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,12,2025-11-04,492.60,492.60,456.00,469.90,-2.71,"37,310.00","17,420,830.70"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,13,2025-11-03,485.00,504.00,473.00,483.00,0.31,"41,108.00","19,939,800.10"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,14,2025-11-02,430.10,481.50,430.10,481.50,9.98,"69,220.00","32,431,561.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,15,2025-10-30,428.00,438.60,425.30,437.80,3.01,"16,173.00","7,033,178.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,16,2025-10-29,439.70,440.00,420.00,425.00,-1.62,"13,328.00","5,713,943.90"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,17,2025-10-28,421.00,432.00,421.00,432.00,3.23,"6,092.00","2,596,155.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,18,2025-10-26,415.60,422.00,409.00,418.50,-1.27,"3,235.00","1,328,826.50"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,19,2025-10-19,425.00,425.00,410.00,423.90,1.41,"2,214.00","916,015.90"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,20,2025-10-16,419.00,421.20,393.10,418.00,1.21,"13,874.00","5,693,197.50"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,21,2025-10-15,419.00,420.00,412.10,413.00,-0.96,"4,345.00","1,816,874.30"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,22,2025-10-14,438.30,438.30,417.00,417.00,-3.02,"7,922.00","3,347,147.80"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,23,2025-10-13,424.00,438.40,421.40,430.00,0.00,"6,258.00","2,679,801.90"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,24,2025-10-12,445.90,454.80,427.40,430.00,-5.49,"15,570.00","6,753,508.40"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,25,2025-10-09,454.90,473.00,450.80,455.00,2.02,"9,114.00","4,166,246.50"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,26,2025-10-08,460.00,460.00,436.10,446.00,-3.88,"11,471.00","5,127,152.40"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,27,2025-10-07,467.00,481.00,462.00,464.00,-2.11,"5,731.00","2,660,757.70"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,28,2025-09-28,484.90,484.90,467.50,474.00,-1.23,"8,455.00","3,972,948.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,29,2025-09-25,478.50,486.80,467.60,479.90,-1.70,"5,520.00","2,634,153.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,30,2025-09-24,491.00,491.90,465.20,488.20,0.68,"8,961.00","4,251,507.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,31,2025-09-23,469.00,485.00,460.00,484.90,4.98,"9,275.00","4,445,483.20"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,32,2025-09-21,445.50,475.00,440.00,461.90,1.63,"18,238.00","8,381,259.70"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,33,2025-09-18,454.50,454.50,454.50,454.50,-1.98,400.00,"181,800.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,34,2025-09-08,474.00,475.50,462.10,463.70,-1.39,"6,559.00","3,048,225.00"
gmfil,Guheswori Merchant Banking & Finance Limited,Finance,https://www.sharesansar.com/company/gmfil,35,2025-09-07,475.00,476.30,466.20,470.26,0.41,"5,234.00","2,472,160.00"
