symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,1,2025-11-19,"1,850.00","1,851.10","1,825.10","1,825.10",-1.35,"1,310.00","2,409,249.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,2,2025-11-18,"1,887.90","1,964.00","1,850.00","1,850.10",-0.05,"3,576.00","6,758,775.50"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,3,2025-11-17,"1,801.30","1,870.50","1,792.10","1,851.00",0.87,"6,642.00","12,322,075.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,4,2025-11-16,"1,755.10","1,924.00","1,755.10","1,835.00",3.09,"5,406.00","9,942,564.50"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,5,2025-11-13,"1,770.00","1,820.00","1,760.00","1,780.00",-0.81,"4,892.00","8,751,617.20"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,6,2025-11-12,"1,801.00","1,805.00","1,770.30","1,794.50",-1.13,"2,126.00","3,804,679.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,7,2025-11-11,"1,849.00","1,850.00","1,801.50","1,815.00",-1.79,"1,219.00","2,212,702.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,8,2025-11-10,"1,878.00","1,878.00","1,782.00","1,848.00",-1.60,"8,975.00","16,377,672.10"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,9,2025-11-09,"1,855.00","1,882.00","1,831.10","1,878.00",0.15,"83,419.00","153,703,019.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,10,2025-11-06,"1,899.60","1,899.80","1,862.00","1,875.10",-0.21,"1,751.00","3,297,072.40"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,11,2025-11-05,"1,876.00","1,880.00","1,855.00","1,879.00",0.37,"1,005.00","1,877,026.50"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,12,2025-11-04,"1,900.00","1,905.00","1,872.10","1,872.10",-1.21,"3,441.00","6,514,544.00"
gmli,Guardian Micro Life Insurance Limited,Life Insurance,https://www.sharesansar.com/company/gmli,13,2025-11-03,"1,918.00","1,929.90","1,892.00","1,895.00",-1.10,"3,012.00","5,734,046.60"
