symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,1,2014-06-11,120.00,120.00,120.00,120.00,0.00,"162,705.00","19,524,600.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,2,2014-06-05,112.00,120.00,114.00,120.00,0.00,"150,546.00","18,065,280.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,3,2014-03-17,108.00,112.00,112.00,112.00,0.00,"224,658.00","25,161,696.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,4,2014-03-12,120.00,118.00,108.00,108.00,0.00,"18,059.00","1,950,972.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,5,2014-02-26,112.00,120.00,114.00,120.00,0.00,"93,857.00","11,262,606.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,6,2014-02-20,111.00,112.00,112.00,112.00,0.00,"199,800.00","22,377,600.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,7,2014-02-18,105.00,111.00,107.00,111.00,0.00,100.00,"10,920.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,8,2014-02-17,101.00,105.00,103.00,105.00,0.00,100.00,"10,400.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,9,2013-08-20,101.00,101.00,101.00,101.00,0.00,"90,000.00","9,090,000.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,10,2013-07-22,101.00,101.00,101.00,101.00,0.00,"119,055.00","12,024,555.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,11,2013-07-21,109.00,107.00,101.00,101.00,0.00,"60,320.00","6,095,152.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,12,2013-04-11,111.00,109.00,109.00,109.00,0.00,"100,595.00","10,964,855.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,13,2013-04-09,123.00,121.00,111.00,111.00,0.00,60.00,"6,960.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,14,2013-04-08,131.00,129.00,123.00,123.00,0.00,40.00,"5,040.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,15,2013-04-04,133.00,131.00,131.00,131.00,0.00,10.00,"1,310.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,16,2013-04-03,139.00,137.00,133.00,133.00,0.00,30.00,"4,050.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,17,2013-04-01,147.00,145.00,139.00,139.00,0.00,40.00,"5,680.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,18,2013-03-31,158.00,155.00,147.00,147.00,0.00,40.00,"6,030.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,19,2013-03-27,175.00,172.00,158.00,158.00,0.00,60.00,"9,880.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,20,2013-03-25,184.00,181.00,175.00,175.00,0.00,30.00,"5,340.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,21,2013-03-24,203.00,199.00,184.00,184.00,0.00,60.00,"11,490.00"
grandp,Grand Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/grandp,22,2013-03-21,0.00,221.00,203.00,203.00,0.00,60.00,"12,680.00"
