symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,1,2025-11-20,8.82,9.13,8.82,8.95,-0.11,"5,950.00","53,221.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,2,2025-11-19,9.05,9.05,8.82,8.96,0.90,"21,635.00","192,813.59"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,3,2025-11-18,8.92,9.12,8.83,8.88,-0.78,"2,800.00","24,958.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,4,2025-11-17,8.92,9.09,8.92,8.95,0.11,"2,915.00","26,171.35"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,5,2025-11-16,8.83,9.08,8.83,8.94,-0.45,"3,800.00","34,047.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,6,2025-11-13,8.95,9.00,8.95,8.98,0.22,"1,400.00","12,567.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,7,2025-11-12,8.82,9.00,8.82,8.96,-0.44,"5,000.00","44,570.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,8,2025-11-11,8.83,9.10,8.83,9.00,0.00,"10,550.00","94,707.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,9,2025-11-10,8.78,9.15,8.78,9.00,1.12,"3,200.00","28,852.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,10,2025-11-09,8.95,9.10,8.85,8.90,-1.11,"8,985.00","80,311.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,11,2025-11-06,8.84,9.10,8.84,9.00,-0.11,"26,600.00","239,485.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,12,2025-11-05,8.90,9.10,8.90,9.01,0.00,"6,640.00","59,794.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,13,2025-11-04,8.92,9.10,8.92,9.01,-0.77,"12,800.00","115,277.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,14,2025-11-03,8.92,9.08,8.91,9.08,1.23,"16,400.00","146,764.80"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,15,2025-11-02,8.83,9.00,8.83,8.97,-0.33,"5,535.00","49,235.30"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,16,2025-10-30,8.99,9.17,8.90,9.00,-1.85,"2,590.00","23,328.20"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,17,2025-10-29,9.00,9.17,8.83,9.17,1.89,"14,200.00","126,905.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,18,2025-10-28,8.80,9.09,8.80,9.00,0.90,"3,200.00","28,845.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,19,2025-10-26,8.88,8.92,8.85,8.92,-1.11,"13,900.00","123,420.70"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,20,2025-10-19,8.82,9.02,8.82,9.02,0.22,"3,700.00","33,155.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,21,2025-10-16,9.00,9.11,8.79,9.00,0.67,"3,240.00","29,084.40"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,22,2025-10-15,8.78,8.97,8.78,8.94,0.22,"27,700.00","247,394.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,23,2025-10-14,8.97,9.08,8.86,8.92,-0.56,"3,250.00","29,146.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,24,2025-10-13,8.97,9.00,8.97,8.97,-0.33,"4,050.00","36,343.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,25,2025-10-12,8.97,9.00,8.97,9.00,0.00,"4,000.00","35,933.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,26,2025-10-09,8.98,9.10,8.98,9.00,-0.55,"10,770.00","97,282.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,27,2025-10-08,9.01,9.10,9.01,9.05,0.56,"12,485.00","112,836.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,28,2025-10-07,8.90,9.26,8.83,9.00,-0.88,"4,400.00","40,058.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,29,2025-09-28,9.07,9.42,9.07,9.08,-1.84,"7,850.00","72,357.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,30,2025-09-25,8.85,9.28,8.85,9.25,2.78,"9,350.00","86,176.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,31,2025-09-24,9.00,9.00,8.92,9.00,-1.96,"1,900.00","17,065.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,32,2025-09-23,8.91,9.18,8.91,9.18,0.99,"3,400.00","30,624.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,33,2025-09-21,8.75,9.10,8.75,9.09,1.91,"36,300.00","321,605.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,34,2025-09-18,8.92,8.92,8.92,8.92,-1.98,"10,000.00","89,200.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,35,2025-09-08,8.90,9.24,8.90,9.10,0.44,"6,000.00","54,123.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,36,2025-09-07,9.10,9.20,9.00,9.06,-1.20,"7,420.00","67,203.60"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,37,2025-09-04,9.11,9.23,9.00,9.17,0.77,"3,400.00","30,850.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,38,2025-09-03,9.20,9.25,9.00,9.10,-0.76,"16,990.00","155,940.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,39,2025-09-02,9.10,9.20,9.10,9.17,0.99,"4,450.00","40,638.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,40,2025-09-01,9.00,9.33,8.87,9.08,-0.77,"88,320.00","806,840.60"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,41,2025-08-31,9.11,9.20,8.82,9.15,-1.40,"36,070.00","328,481.30"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,42,2025-08-28,9.40,9.40,9.25,9.28,-0.11,"18,050.00","167,797.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,43,2025-08-27,9.25,9.43,9.25,9.29,-1.17,"13,500.00","125,546.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,44,2025-08-26,9.40,9.43,9.15,9.40,0.00,"13,100.00","121,159.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,45,2025-08-25,9.18,9.40,9.18,9.40,0.43,"5,400.00","49,960.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,46,2025-08-24,9.10,9.51,9.10,9.36,1.19,"12,750.00","118,471.50"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,47,2025-08-21,9.26,9.30,9.25,9.25,-2.01,"4,100.00","37,952.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,48,2025-08-20,9.22,9.44,9.22,9.44,0.64,"13,080.00","121,147.00"
gsy,Garima Samriddhi Yojana,Mutual Fund,https://www.sharesansar.com/company/gsy,49,2025-08-19,9.15,9.38,9.15,9.38,0.86,"5,350.00","49,625.50"
