symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,1,2025-11-19,515.00,515.00,500.00,500.50,-1.67,"7,782.00","3,935,963.90"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,2,2025-11-18,515.00,515.00,505.00,509.00,0.79,"8,584.00","4,350,461.00"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,3,2025-11-17,506.80,506.80,490.20,505.00,1.63,"7,108.00","3,540,069.30"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,4,2025-11-16,502.00,505.00,492.10,496.90,-1.02,"5,447.00","2,707,549.00"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,5,2025-11-13,510.00,510.00,495.10,502.00,-0.20,"10,852.00","5,438,620.10"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,6,2025-11-12,520.00,520.00,503.00,503.00,-1.37,"6,733.00","3,448,425.50"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,7,2025-11-11,515.00,519.80,510.00,510.00,-0.97,"8,179.00","4,188,444.10"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,8,2025-11-10,510.00,524.00,510.00,515.00,-0.96,"5,761.00","2,967,934.90"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,9,2025-11-09,525.10,527.00,507.00,520.00,-2.26,"18,880.00","9,764,031.30"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,10,2025-11-06,550.00,559.00,528.30,532.00,-2.03,"27,395.00","15,054,895.90"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,11,2025-11-05,530.40,572.00,515.00,543.00,4.42,"48,159.00","25,532,405.00"
gufl,Gurkhas Finance Limited,Finance,https://www.sharesansar.com/company/gufl,12,2025-11-04,547.00,547.00,519.00,520.00,-3.54,"12,871.00","6,798,884.40"
