symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,1,2025-04-21,331.00,331.00,331.00,331.00,0.00,"5,820.00","1,926,420.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,2,2024-12-19,385.00,385.00,385.00,385.00,0.00,"5,000.00","1,925,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,3,2024-09-16,474.00,474.00,474.00,474.00,0.00,30.00,"14,220.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,4,2024-09-09,474.00,474.00,474.00,474.00,0.00,"5,938.00","2,814,612.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,5,2024-06-19,355.00,355.00,355.00,355.00,0.00,"55,000.00","19,525,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,6,2024-03-27,432.00,432.00,432.00,432.00,0.00,"1,587.00","685,584.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,7,2023-05-07,289.00,289.00,289.00,289.00,1.76,"12,563.00","3,630,707.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,8,2022-12-15,284.00,284.00,284.00,284.00,0.00,"42,632.00","12,107,488.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,9,2022-08-10,255.00,255.00,255.00,255.00,0.00,"7,000.00","1,785,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,10,2022-07-14,255.00,255.00,255.00,255.00,0.00,"77,931.00","19,872,405.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,11,2022-05-31,255.00,255.00,255.00,255.00,-1.16,"3,094.00","788,970.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,12,2022-04-25,258.00,258.00,258.00,258.00,0.00,"39,668.00","10,234,344.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,13,2021-08-04,649.00,649.00,649.00,649.00,0.00,600.00,"389,400.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,14,2021-07-20,649.00,649.00,649.00,649.00,0.00,"26,523.00","17,213,427.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,15,2021-05-09,259.00,259.00,259.00,259.00,0.00,"9,281.00","2,403,779.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,16,2021-01-21,176.00,176.00,176.00,176.00,0.00,"6,000.00","1,056,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,17,2019-06-27,100.00,100.00,100.00,100.00,0.00,"181,259.00","18,125,900.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,18,2018-10-29,100.00,100.00,100.00,100.00,0.00,"257,850.00","25,785,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,19,2018-10-25,100.00,100.00,100.00,100.00,0.00,"5,085.00","508,500.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,20,2018-10-02,100.00,100.00,100.00,100.00,0.00,"2,750.00","275,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,21,2018-09-27,100.00,100.00,100.00,100.00,0.00,"34,647.00","3,464,700.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,22,2018-09-17,100.00,100.00,100.00,100.00,0.00,"8,647.00","864,700.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,23,2018-08-13,100.00,100.00,100.00,100.00,0.00,"4,563.00","456,300.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,24,2018-08-07,100.00,100.00,100.00,100.00,0.00,"17,881.00","1,788,100.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,25,2018-06-10,100.00,100.00,100.00,100.00,0.00,"29,260.00","2,926,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,26,2018-05-24,100.00,100.00,100.00,100.00,0.00,"77,043.00","7,704,300.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,27,2018-04-24,100.00,100.00,100.00,100.00,0.00,"2,100.00","210,000.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,28,2018-03-20,100.00,100.00,100.00,100.00,0.00,"104,999.00","10,499,900.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,29,2018-01-31,100.00,100.00,100.00,100.00,0.00,"29,675.00","2,967,500.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,30,2018-01-01,100.00,100.00,100.00,100.00,0.00,"41,317.00","4,131,700.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,31,2017-11-23,100.00,100.00,100.00,100.00,0.00,"122,893.00","12,289,300.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,32,2017-11-20,100.00,100.00,100.00,100.00,0.00,"65,016.00","6,501,600.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,33,2017-11-14,100.00,100.00,100.00,100.00,0.00,"141,593.00","14,159,300.00"
guflpo,Gurkhas Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/guflpo,34,2017-11-08,102.00,100.00,100.00,100.00,0.00,"108,158.00","10,815,800.00"
